Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
1411,MH09MH1411,JAM,1996,Jam,Katol,TE,24,3460,107,28050,7565,23550,I,1564
1412,MH09MH1412,LODHE,1996,Kapur,Tasgaon,TE,16.76,1114,219,4.63,1071,3.17,I,1593
1413,MH09MH1413,GHORVADI,1996,Ghorwadi,Purandar,TE,19.81,960,1911.6,1911.6,464.1,1585.5,I,1911.6
1414,MH09MH1414,BALLALWADI,1996,Ramnagar,Junnar,TE,20.16,430,1.95,1.95,,1.81,I,1968
1415,MH09MH1415,VIR NALLA,1996,Rudra nalla,Purandar,TE,21.81,975,3185.8,3585.8,1255,3585.77,I,3585.77
1416,MH09LH1416,WAIGOUL,1996,Local Nallah,Manora,TE,11.85,1226,160,1217,124,2107,I,
1417,MH09MH1417,VIDHE,1997,Masuricha Nalla,Murbad,TE,18.2,495,113,1610.46,315,,I,33
1418,MH09MH1418,RAWALGAON*,1997,Local Nallah,Dindori,TE,17.71,355,99.35,1200,264,1200,,58
1419,MH09MH1419,AAD,1997,Local Nallah,Peth,TE,23.8,520,291,1653,28,1551,,70
1420,MH09MH1420,NANDLA,1997,Local Nallah,Murud,TE,19.46,299,162,1619.54,23,,I,72
1421,MH09LH1421,UMARI,1997,Umari,Chandrapur,TE,10.02,1222,105.75,2700,1365,2520,I,78.36
1422,MH09LH1422,BHASBHORAN,1997,Bhasbhoran,Chandrapur,TE,10,1380,165.87,3060,1453,1770,I,83.99
1423,MH09MH1423,KUNSAWALI,1997,Local Nallah,Tuljapur,TE,15.04,466,,1165,229.4,1061,I,113.08
1424,MH09LH1424,CHOUSALA,1997,Local Nallah,Manora,TE,13.61,298,73,1726,52,1590,I,117
1425,MH09MH1425,HARANGAON,1997,Local Nallah,Peth,TE,28.3,694,695.7,5143,,5100,,119.56
1426,MH09MH1426,BOTHA,1997,Bondal Nalla,Khamgaon,TE,18.08,610,234,2000,552,1850,I,175
1427,MH09MH1427,PADASALI,1997,Local Nallah,Panhala,TE,29.15,450,638,6900,956,3830,I,188.3
1428,MH09MH1428,SONKHADKI,1997,Local Nallah,Nawapur,TE,18.48,705,320,3279,500,3203,I,195.8
1429,MH09MH1429,DIGGI,1997,Local Nallah,Omerga,TE,15.16,,,1598,348,1427,I,201.61
1430,MH09LH1430,KESARJAWADA,1997,Local Nallah,Omerga,TE,13.27,620,,1245,241,1169,I,206.52
1431,MH09MH1431,TALEGAON TRAMBAK,1997,Local Nallah,Nashik,TE,18,1225,186,4250,12,3690,I,216.32
1432,MH09LH1432,PAWANA,1997,Local Nallah,Nanded,TE,14.96,1081,164,2150,,2083,I,217
1433,MH09HH1433,SINGASPUR,1997,Local Nallah,Nawapur,TE,31.68,255,202.94,2270,340,2115,I,276.7
1434,MH09MH1434,KALSHTTIPADA,1997,Local Nallah,Javhar,TE,23.83,211,106.63,2128.56,312.5,1713,I/S,286.44
1435,MH09LH1435,PATHRUD,1997,Local Nallah,Bhoom,TE,13.8,960,,2352,200,2043,I,319.5
1436,MH09MH1436,MATKULI,1997,Local Nallah,Ashti,TE,15.39,,,1758,,1490,I,447.54
1437,MH09MH1437,JONDHALKHEDA,1997,Local Nallah,Edlabad,TE,20.55,1045,188,2110,323,1825,I,501
1438,MH09MH1438,WAI,1997,Local Nallah,Kelapur,TE,18.02,2086,716,9316,2292,8904,I,553
1439,MH09MH1439,WARUD,1997,Local Nallah,Ralegaon,TE,18.32,1110,425,8942,1841,8230,I,576
1440,MH09MH1440,KRISHNAPURI,1997,Local Nallah,Chaligaon,TE,15.75,960,,2.74,,2.33,I,600.33
