Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
361,MH09LH0361,BHUTANIHIPPARGA,1973,Local Nallah,Degloor,TE,14.62,2246,,2280,,2050,I,353
362,MH09MH0362,WAI,1973,Bel,Warud,TE,16.3,1311,156,2780,2100,2530,I/s,362
363,MH09MH0363,KARI,1973,Local Nallah,Barshi,TE,15.72,945,,1700,,1470,I,365
364,MH09MH0364,KELGAON,1973,Local Nallah,Sillod,TE,16.15,888,,2130,,,I,396
365,MH09MH0365,HATGAON-I,1973,Bedali,Chalisgaon,TE,17.04,570,80.77,1568,389,1326,I,407
366,MH09MH0366,GIROLI,1973,Goki,Manora,TE,17.9,495,342,3100,612,2710,I,417
367,MH09LH0367,MALUNJA,1973,Local Nallah,Sangamnar,TE,13.02,1060,69,1100,395,865,I,430
368,MH09MH0368,SARSWATI,1973,Saraswati,Chandur Rly,TE,15.6,810,137,1890,672,1640,I,437
369,MH09LH0369,RAMPUR,1973,Local Nallah,Southsolapur,TE,10.64,1646,112,3060,,2760,I,521
370,MH09MH0370,BARDARI,1973,Mehakari,A'Nagar,TE,16.18,420,116,1860,385,1540,I,561
371,MH09MH0371,DAHIWADI,1973,Local Nallah,Shirur,TE,17.68,350,83,1350,,103,I,567
372,MH09LH0372,LANDGEWADI,1973,Local Nallah,Kavathe-mahankal,TE,11.37,408,,1040,2720,970,I,633
373,MH09MH0373,HATTI,1973,Nai,Sakri,TE,18.75,533,694,2740,71,2350,I,659
374,MH09MH0374,KAUDGAON,1973,Jamb,A'Nagar,TE,15.55,450,143,2487,495,2107,I,770
375,MH09MH0375,CHANDRABHAGA,1973,Chandrabhaga,Kalmeshwar,TE,21.1,2194,451,8886,199.72,8015,I,771.51
376,MH09LH0376,SHEMALI,1973,Kanher,Satana,TE,13.18,293,48.88,1510,360,1180,I,782
377,MH09MH0377,MASALWADI,1973,Local Nallah,Man,TE,15.25,463,67,2410,708,2020,I,840
378,MH09MH0378,PADAWALKARWADI,1973,Mangal,Mangalwedha,TE,15.17,702,143,2990,,2120,I,843
379,MH09MH0379,DAHIKUTE,1973,Local Nallah,Malegaon,TE,15,409,145,3570,889,2900,I,896
380,MH09MH0380,BHALWANI,1973,Kapori,Parnar,TE,17.74,505,112,2605,61,1926,I,946
381,MH09MH0381,KHANDALA,1973,Local Nallah,Tuljapur,TE,20.5,448,,6260,940,5240,I,978
382,MH09MH0382,BHUTWADA,1973,Wincharna,Jamkhed,TE,23.46,305,253,3060,258,2491,I,1087
383,MH09MH0383,CHAVADI,1973,Panzara,Sakri,TE,17.2,793,257,4420,97,3500,I,1243
384,MH09HH0384,UPPER VAITARANA,1973,Vaitarna,Igatpuri,TE/PG,41,2531,1520,331630,37130,331000,I,1440
385,MH09HH0385,PANZARA,1973,Panzara,Sakri,TE,33.5,1430,1597,43500,5590,35800,I,1768
386,MH09MH0386,YERALWADI,1973,Yerala,Khatav,TE,19.5,2115,663,33020,,18060,I,2083
387,MH09HH0387,MANYAD,1973,Manyad,Chalisgaon,TE,45,1677,896.5,53980,8710,40257,I,3755
388,MH09LH0388,MALWADI,1973,Local Nallah,Omerga,TE,12.5,335,,736,149,664,I,4439
389,MH09LH0389,ARASNAN,1973,Local Nallah,Udgir,TE,11.6,1067,,1330,469,1230,I,
390,MH09LH0390,IRRACHIWADI,1973,Local Nallah,Bhoom,TE,11.15,1097,,1841,,1670,I,
