"Sl
No",Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur pose,Designed Spillway capacity
1,AN15HH0001,DHANIKHARI,1973,Dhanikhari,Port Blair,CG,30,132,?,5193.76,611.524,4369.75,DW,141.5
2,AN30HH0002,KALPONG (NHPC),2001,Kalpong,Diglipur,ER&PG,31.5,139,?,15270,1840,14241,I/H,405
