Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
931,MH09MH0931,TINTRAJ,1982,Local Nallah,Paranda,TE,15.5,535,134,1390,,1137,I,430
932,MH09LH0932,DASTAPUR,1982,Local Nallah,Amravati,TE,14.02,640,147,2310,718,2050,I,447
933,MH09LH0933,GONDEGAON,1982,Local Nallah,Soygaon,TE,11.28,,,2715,,2462,I,450
934,MH09MH0934,MURBADI,1982,Murbadi,Murbad,TE/PG,17.5,650,114.92,1600,15920,1100,S,492
935,MH09MH0935,JAMBHULANI (SATARA),1982,Local Nallah,Man,TE,15.21,1040,11,2420,,2270,I,515
936,MH09LH0936,MASSAWADI,1982,Local Nallah,Beed,TE,13.3,995,,2189,98,1857,I,531
937,MH09MH0937,YELAVI,1982,Local Nallah,Jath,TE,15.25,764,111,22260,,2180,I,557
938,MH09LH0938,SAROLA,1982,Local Nallah,Ausa,TE,11.64,1580,,3478,143,3106,I,589
939,MH09HH0939,SHEKHDARI,1982,Shakti,Warud,TE,30.36,730,4140,5204,764,4540,I/S,591
940,MH09LH0940,HIVARKHEDA,1982,Local Nallah,Jamner,TE,12,1393,360,4028,335,3663,I,609
941,MH09MH0941,AJANTA ANDHERI,1982,Ajanta,Sillod,TE,21,1260,372,753,180,6650,I,781
942,MH09MH0942,RANGAWALI,1982,Rangawali,Dhule,TE,25.63,1878,1289,15020,329,12890,I,1168
943,MH09HH0943,OZARKHED,1982,Unanda,Dindori,TE,35.3,3266,2052,67950,6880,60320,I,1610
944,MH09LH0944,TAWARJA,1982,Tawarja,Latur,TE,14.3,2222,361,20520,741,16950,I,1903
945,MH09HH0945,TILLARI (PROJ.),1982,Tillari,Sawantwadi,TE/PG,73,943,9274,462170,16250,447290,I/S,2465
946,MH09MH0946,MANJARA,1982,Manjara,Kaij&Kalamb,TE,25,4203,2213,250700,,173320,I,6000
947,MH09HH0947,ISAPUR,1982,Penganga,Nanded,TE,57,4120.1,11216,1254000,,951000,I,10480
948,MH09MH0948,HATNUR,1982,Tapi,Bhusawal,TE,25.5,2580,3850,388000,48160,255000,I,26415
949,MH09LH0949,TAKALI,1982,Local Nallah,Kultabad,TE,13.9,422,,1133,,1049,I,
950,MH09LH0950,RAIDHOK,1982,Local Nallah,Khangaon,TE,12.31,795,,,,,I,
951,MH09MH0951,SHINDE,1983,Local Nallah,Surgana,TE,21.26,349,148.27,1690,291.6,1664,I,80.54
952,MH09LH0952,RASA,1983,Local Nallah,Vani,TE,10.66,848,,1310,,1090,I,92
953,MH09LH0953,DEOCOPE,1983,Local Nallah,Palghar,TE,14.21,740,,2940,509.6,2370,I,101
954,MH09LH0954,WANI,1983,Local Nallah,Bhiwapur,TE,11.08,434,58,2123,32,2020,I,111
955,MH09LH0955,BOMNALI,1983,Local Nallah,Nanded,TE,12.5,698,108,1120,,1090,I,132
956,MH09MH0956,WADIWARHE,1983,Local Nallah,Igatpur,TE,18.64,515,,1740,32,1650,,140
957,MH09MH0957,BHADANE,1983,Tambdi,Kalwan,TE,18.1,788,184,1519,316.36,1440,I,144.76
958,MH09MH0958,MALGAON,1983,Darchabud,Kalwan,TE,23.39,331,128,2820,461.75,2720,I,188
959,MH09MH0959,HIWARKHED,1983,Local Nallah,Khamgaon,TE,15.03,423,108,,,950,I,192
960,MH09MH0960,ANCHALE,1983,Kanheri,Dhule,TE,16.41,594,94,1070,200,1070,I,198.78
