"Sl
No","Project Identification
Code",Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
1,SK30HH0001,RANGIT-III (NHPC),1999,Rangit,New Jalpaiguri,PG,43,98.2,-,871,172,796,H,2725
2,SK30HH0002,TEESTA -V  (NHPC),2007,Teesta,Siliguri,PG,86.8,176.5,407,13520,677,6300,H,9500
