Sl. No.,Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,"Volume content of
dam",Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Design pur-pose,Designed Spillway capacity
121,MH09LH0121,DEGLOOR,1966,Local Nallah,Degloor,TE,12.8,513,,1240,,1100,I,234
122,MH09MH0122,KARLA,1966,Local,Bhokar,TE,15.14,767,,1880,,,I,319
123,MH09LH0123,DHANGARJAWALA,1966,Local Nallah,Patoda,TE,13.32,899,,2108,70,1832,I,383
124,MH09MH0124,TISANGI,1966,Local Nallah,Pandharpur,TE,20.82,2866,,24460,,22760,I,410
125,MH09LH0125,LOHARE KASARE,1966,Khad,Sangamner,TE,10.6,370,349,1218,71,1104,I,451
126,MH09LH0126,PAREWADI,1966,Local Nallah,Karmala,TE,12.58,1050,,5190,,4040,I,470
127,MH09LH0127,BHANDALWADI,1966,Local Nallah,Indapur,TE,13.2,796,73,4560,,4540,I,877
128,MH09LH0128,CHINCHOLI GURAV,1965,Chirni,Sangammer,TE,14.24,320,43,961,31,821,I,440
129,MH09MH0129,WUNNA,1966,Wunna,Nagpur,TE,18.18,2525,390,23560,569,21640,I,1326.64
130,MH09LH0130,GALHATI,1966,Galhati,Ambad,TE,13.1,2987,,13840,,,I,2152
131,MH09MH0131,MANGI,1966,Kanola,Karmala,TE,22.95,1475,,32720,,32720,I,2232
132,MH09MH0132,MEHAKARI,1966,Mehakari,Ashti,TE,27.63,1308,163.5,16130,38,13000,I,2233
133,MH09MH0133,WAN,1966,Wan,Ambejogai,TE,19,2798,1358,25180,,2190,I,2340
134,MH09MH0134,BHUDIHAL,1966,Belwan,Sangola,TE,18.5,2975,,32050,,27950,I,2350
135,MH09LH0135,MALEGAON,1966,Local Nallah,Nilanga,TE,11,1288,,2530,979,2230,I,
136,MH09LH0136,ADEGAON,1967,Local Nallah,Mauda,TE,10.67,1097,77,1480,81.34,1370,I,105.3
137,MH09MH0137,RUI,1967,Local Nallah,Digras,TE,16.15,134,37,555,,500,I,111
138,MH09LH0138,NAWEGAONBANDH,1967,Local Nallah,Navegaon,TE,11.58,625,-,45943,10344,29590,I,124.2
139,MH09LH0139,MUKHED,1967,Local Nallah,Mukhed,TE,14.61,602,,1415,,1302,I,234
140,MH09LH0140,KINI,1967,Local Nallah,Ashti,TE,11.43,648,,1360,514,1235,I,262
141,MH09LH0141,BEDRALI,1967,Local Nallah,Bhokar,TE,13.87,113,,1940,,1804,I,277
142,MH09MH0142,RISALA,1967,Risala,Tiroda,TE,16.62,205,246,6359,1562,6126,I,337.48
143,MH09MH0143,DURUG,1967,Local Nallah,Kalamb,TE,15.55,503,265,3590,142,3250,I,354
144,MH09LH0144,DEOGAON,1967,Local Nallah,Paithan,TE,13.2,1129,48,1627,573,1470,I,359
145,MH09MH0145,NIRGUDI,1967,Nirgudi,Khultabad,TE,19.35,148,,2430,207,2220,I,404
146,MH09MH0146,KHATIJAPUR,1967,Gandhari,Achalpur,TE,17.25,311,117,1940,409,1690,I/S,409
147,MH09MH0147,PANDHERBODI,1967,Local Nallah,Umrer,TE,15.24,1769,284,13860,425,13120,I,432
148,MH09MH0148,SOYGAON,1967,Local Nallah,Soygaon,TE,17.5,837,2.1,2540,,2290,I,480
149,MH09MH0149,SANJUL,1967,Sanjul,A'bad,TE,21,482,152,3080,,2780,I,542
150,MH09MH0150,BHUTAKARWADI,1967,Local Nallah,Ahmadpur,TE,16.5,1128,,3310,89,2890,I,593
