"Sl
No",Project Identification Code,Name of Dam,Year of completi on,River,Nearest city,T ype,Height above low est foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillw ay capacity
121,RA11MH0121,CHATRA KUNTA,1984,Local nallah,Chatra Kunty,TE,15.4,388,NA,1138,26.54,1060,I,95.16
122,RA11LH0122,PANGHATIYA,1984,Local nallah,Mandalgarh,TE,13.9,210,NA,1274,1130,1133,I,143
123,RA11MH0123,TALIYA,1984,Local nallah,Pratapgarh,TE,20,457,NA,10100,860.4,9960,I,219
124,RA11LH0124,LUHARIA,1984,Local nallah,Chittorgarh,TE,11.9,2973.6,NA,2917,1547,2832,I,299
125,RA11MH0125,BORIA,1984,Local nallah,Pratapgarh,TE,24.53,658.68,NA,4418,897,4106,I,318.37
126,RA11MH0126,KOTHARI  STAGE 1,1989,Kothari,Kotri,TE/PG,25.4,4326,NA,26000,7600,21500,I,6005
127,RA11MH0127,NAGDA,1985,Local Nalla,Kushalgarh,PG,17.3,407,NA,1440,2080,1336,I,87.37
128,RA11MH0128,BARKHERI,1985,Local nallah,Chittorgarh,TE,15.58,889,NA,1598,520.44,1473,I,135.93
129,RA11HH0129,BASSI,1986,Corail Berach,Chittorgarh,TE,36,1044,NA,23200,2800,20240,I,2294
130,RA11LH0130,PACHANPURA,1990,Local Nalla,Bhilwara,TE/PG,14.7,905,NA,10050,2515,9280,I,549
131,RA11MH0131,BHIMSAGAR,1997,Kalisindh,Jhalawar,PG,40.54,67.99,NA,79690,18020,75730,I,2011
132,RA11LH0132,JEERAWAL,1986,Local Nalla,Reodar,TE/PG,12.76,621,NA,1623,1410,1423,I,146.14
133,RA11MH0133,SAWAN BHADO,2001,Ara,Sangod,TE,29.8,4692,NA,30000,4400,27850,I,1346
134,RA11HH0134,JAKHAM  MAIN DAM,1986,Jakham(mahi),Dhariawad,PG,82,253,NA,142020,10147,132280,I,7950
135,RA11LH0135,BHATIA,1987,Local nallah,Ghatol,TE,12,284,NA,1080,2790,990,I,120.87
136,RA11MH0136,DUDKA II,1987,Local nallah,Ghatol,TE,15.6,275,NA,1270,NA,1150,I,132.08
137,RA11MH0137,ANGORE,1987,Krishnawati,Sirohi,TE/PG,15.5,1340,NA,3236,2266,3030,I,178.86
138,RA11HH0138,SOM KAMLA AMBA .,2000,Som and Gomti,Aspur,PG,34.5,620,NA,172800,36180,160300,I,20045
139,RA11MH0139,DUNGLAWANI,1988,Local nallah,Ghatol,TE,18.59,210.3,NA,1590,NA,1470,I,155.6
140,RA11LH0140,PHACHARIA,1988,Mangu,Sirohi,TE,12.73,384,NA,1760,940,1420,I,611.28
141,RA11LH0141,MAHADEV  NALLA,1988,Mahadev Nalla,Abu Road,TE/PG,14.56,1200,NA,1450,633,1420,I,127
142,RA11LH0142,MOONGTHALA,1989,West Banas,Abu Road,TE/PG,10.25,1100,NA,1415,974,1256,I,239
143,RA11LH0143,PATIYAL,1991,Local nallah,Mandalgarh,TE,13.9,765,NA,1708,380,1529,I,5.3
144,RA11LH0144,SUSHIL SAGAR,1991,Local nallah,Mandalgarh,TE,12.84,430,NA,2202,690,1982,I,216
145,RA11MH0145,BIYA PADA,1991,Local nallah,Kushalgarh,TE,17.3,736,NA,4930,120,4738,I,260.61
146,RA11MH0146,AMLI KHEDA,1992,Local nallah,Pipalkunt,TE,18,243.5,NA,1770,NA,1620,I,50.2
147,RA11MH0147,WAGERI-TANK,1992,Local nallah,Rajasmand,PG/TE,22.2,430,NA,2390,326,2190,I,160
148,RA11MH0148,SHIV-SAGAR,1991,Local Nalla,Bhilwara,TE,19.5,500,NA,2095,313,2038,I,218
149,RA11MH0149,MALE,1993,Local Nalla,Banswara,PG,20.4,404,NA,5660,653,5110,I,480
150,RA11MH0150,NVAGAON,1994,Local Nalla,Sajjangarh,TE,18.5,1886,NA,1720,1910,1720,I,177
