"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
1,HP27VH0001,BHAKRA (BBMB),1963,Satluj,Nangal,PG,226,518,4130,9620000,168350,7190000,I/H,8212
2,HP19VH0002,PONG,1974,Beas,Mukerian,TE/ER,133,1951,35500,8570000,260000,7290000,I/H,12375
3,HP27HH0003,PANDOH (BBMB),1977,Beas,Mandi,ER,76,255,1580,41000,1750,,I/H,9939
4,HP30HH0004,BAIRA SIUL (NHPC),1981,Baira,Chamba,ER,53,160,351,3750,152,1270,H,2380
5,HP30VH0005,CHAMERA I (NHPC),1994,Ravi,Banikhet,PG,140,295,1342,391300,9500,109550,H,21760
6,HP440006,MALANA I (Bhilwara),2001,Malana,Kullu,,,,,,,,H,
7,HP43MH0007,BASPA II (Jaypee),2002,Baspa,Rekong Peo,PG,21.15,61,69.64,1378.6,238.1,750,H,1150
8,HP30HH0008,CHAMERA -II (NHPC),2003,Ravi,Chamba,PG,39,119,,2247,2250,1838,,8950
9,HP19MH0009,"LARGI DIVERSION
BARRAGE",2006,Beas,Mandi,RCC,26.5,49.5,111.57,3430,475,2300,H,8100
10,HP33HH0010,NATHPA JHAKRI (SJVNL),2008,Satluj,Shimla,PG,62.5,185.45,200,3430,234.5,3030,H,5660
11,HP38HH0011,DEHAR (PSEB),"1977 /
1983",Beas,Mandi,TE/ER,76.2,255,,41000,,18560,H,
12,HP30HH0012,CHAMERA III (NHPC),UC,Ravi,Chamba,PG,68,98,,3460,,1780,H,8030
13,HP43HH0013,KARCHAM (Jaypee),UC,Sutluj,Rekong Peo,PG,98,182.5,550,8582.9,588.4,5449.7,H,7400
14,HP32VH0014,KOL (NTPC),UC,Sutlej,Bilaspur,ER,167,500,11000,576000,13020,90000,H,16500
15,HP44HH0015,MALANA II (Bhilwara),UC,Malana,Kullu,PG,45,140,,,,,H,
16,HP30HH0016,PARBATI II (NHPC),UC,Parbati,Kiratpur,PG,85,,,6550,2198,,H,1850
17,HP30HH0017,PARBATI III (NHPC),UC,"Sainj /
Beas",Kiratpur,ER,43,229,,,,,H,
18,HP31HH0018,BAJOLI HOLI (HPSEB),NA,Ravi,Chamba,Bar- rage,33,100,,,1994,799.5,,3050
19,HP33HH0019,LUHRI (SJVNL),NA,Satluj,Mandi,PG,86,231.5,,35000000,,,H,8000
