"Sl
No",Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur pose,Designed Spillway capacity
1,KL29HH0001,KUNDALA(EB),1947,Palar,Munnar,PG,46.94,259,54,7787,647.5,7630,H,183.95
2,KL29MH0002,SENGULAM (EB),1954,Tr.of Kallar,Munnar,PG,26.82,143.26,18.4,708,291,708,H,70.8
3,KL07HH0003,MALAMPUZHA   (ID),1955,Malampuzha(Tribut ory of Bharathapuzha),Palakkad,TE/PG,38.1,1848.91,554,228400,22500,226000,I,367.5
4,KL07HH0004,WALAYAR  (ID),1956,Walayar(Tributory of Bharathapuzha),Palakkad,TE/PG,30.48,1478,1754,18901.8,2590,18400,I,396.4
5,K29HH0005,MADUPETTY (EB),1956,Palar,Munnar,PG,85.34,237.74,155,54770,3237.5,54770,H,453.07
6,KL29HH0006,PORINGALKUTHU (EB),1957,Chalakkudy,Chalakkudy,PG,36.89,365.76,62.03,32000,2820,30300,H,2265.32
7,KL07MH0007,VAZHANI  (ID),1957,Wadakkanchery(Tri butory of Keechery),Thrissur,TE,26.91,792.48,1814,18121,1820,16650,I,294.04
8,KL07HH0008,PEECHI  (ID),1958,"Manali(Tributory of
Karuvannur)",Thrissur,PG,41.85,213.3,68,110435,12955,108170,I,368.12
9,KL07HH0009,NEYYAR  (ID),1959,Neyyar,Trivandrum,PG,56.08,294.83,125,106200,9100,101146,I,809.4
10,KL07MH0010,MEENKARA (GAYATHRI  STAGE I) (ID),1960,Meenkara(tributory of Bharathapuzha),Palakkad,TE,18.9,964,917,11300,2495,10300,I,472.6
11,KL29HH0011,KALLARKUTTY   (EB),1961,Mudirapuzha,Adimali,PG,43,182.88,40,6880,650.3,6430,H,1982.4
12,KL29HH0012,PONMUDI  (EB),1963,Panniar,Rajakad,PG,57.61,288.8,181,51540,2787,47400,H,1359.6
13,KL07LH0013,PERIYAR VALLEY BARRAGE  (ID),1964,Periyar,Cochin,PG,11.79,211,,169790,16400,Diversion,I,7079
14,KL07HH0014,ANAYIRANKAL   (EB),1965,Panniar,Rajakad,TE/PG,32,291.7,462,50161,4855,36484,H,346
15,KL29MH0015,SHOLAYAR (FLANAKING) (EB),1965,Chalakudy,Chalakudy,PG,27.74,259.08,57,153480,8705,150080,H,1710.32
16,KL29HH0016,SHOLAYAR (MAIN ) (EB),1965,Chalakudy,Chalakudy,PG,66.14,430.53,300,153480,8705,150080,H,NA
17,KL29MH0017,SHOLAYAR (SADDLE ) (EB),1965,Chalakudy,Chalakudy,TE/PG,18.59,109.12,18,153480,8705,150080,H,NA
18,KL07HH0018,CHULLIAR (GAYATHRI  STAGEII)  (ID),1966,Chulliyar,Palakkad,TE/PG,30.5,1755,182,13700,1650,12700,I,223.7
19,KL29VH0019,KAKKI (EB),1966,Kakki,Vandiperiyar,PG,116.13,336.19,725,455020,17511,447400,H,NA
