"Sl
No",Project Identification Code,Name of Dam,Year of completion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur pose,Designed Spillway capacity
20,KL07MH0020,MANGALAM (ID),1966,Cherukunnapuzha,Thrissur,TE/PG,29.23,1057,24,25494,3960,25344,I,249.88
21,KL29HH0021,ANATHODE (FLANKING OF KAKKI) (EB),1967,Anathode,Vandiperiyar,PG,51.82,376.12,178.47,455020,17511,447400,H,1783.96
22,KL29HH0022,PAMBA (EB),1967,Pamba,Vandiperiyar,PG,57.2,281,152,39220,2006,31150,H,912
23,KL07HH0023,POTHUNDY  (ID),1967,"Ayalar(Tributory of
Bharathapuzha)",Palakkad,TE,32.61,1680,4620,50914,4190,43890,I,680
24,KL37LH0024,ARUVIKKARA  (KWA),1972,Karamana,Thiruvananthapuram,PG,14.01,83.21,,2000,480,628.26,S,
25,KL29HH0025,KUTTIYADI (HE Project)  (EB),1972,Kuttiyadi,Kozhikode,PG,39.51,228.6,113,38400,2790,33980,H,736.2
26,KL07HH0026,KUTTIYADI (IRRIGN. PROJ.)  (ID),1973,Kuttiyadi,Kozhikode,PG,35.36,170.6,58,120520,10520,113440,I,1444
27,KL29VH0027,IDUKKI (EB),1974,Periyar,Cheruthoni,"Concrete
Arch",169.16,365.76,474.57,1996000,59830,1459535,H,N/A
28,KL29VH0028,CHERUTHONI  (EB),1975,Cheruthoni,Cheruthoni,PG,138.38,655.32,1732.6,1996000,59830,1459535,H,3875
29,KL07MH0029,PAMBA BARRAGE (Maniyar)  (ID),1976,"Kakkad(Tributory  of
Maniyar)",Pathanamthitta,PG,16.76,115.22,?,8000,1080,?,I,1280
30,KL29VH0030,KULAMAVU  (EB),1976,"Kilivallithodu Tr. To
Kaliyar",Moolamattom,PG,99.97,385.57,477.15,1996000,59830,1459535,H,NA
31,KL07MH0031,KULUR BARRAGE (PAZHASSI)  (ID),1978,Valapattanam,Kannur,PG,18.99,245,?,97500,6500,97500,I,3500
32,KL29MH0032,UPPER MOOZHIYAR  (EB),1979,Moozhiyar,Vandiperiyar,TE,19,97,35,5660,?,?,H,143
33,KL07HH0033,KANJIRAPUZHZ    (ID),1983,Kanjirapuzha,Palakkad,TE/PG,30.78,2127,6240,70827.4,4650,70808,I,512.5
34,KL37HH0034,PEPPARA (KWA),1983,Karamana,Thiruvananthapuram,PG,36.5,423,180,70000,8496,68400,S,860
35,KL07HH0035,SIRUVANI   (ID),1984,Siruvani,Palakkad,PG,57,224,?,255000,1686,184200,S,435
36,KL29VH0036,IDAMALAYAR   (EB),1985,Idamalayar,Kothamangalam,PG,100,373,880,1089800,2830,1017800,H,4063.5
37,KL07HH0037,KALLADA (PARAPPAR)  (ID),1986,Kallada,Kollam,PG,85.35,335,433,524000,23000,507000,I,2830
38,KL29MH0038,ERATTAYAR  (EB),1989,Erattayar,Kattapana,PG,19.81,146,16,5352,967,5085,H,507
39,KL29MH0039,GAVI (EB),1990,Gaviar,Vandiperiyar,PG,17.07,97.54,10,2780,Not available,1130,H,NA
40,KL29MH0040,KULLAR (Flanking of GAVI) (EB),1990,Kullar,Vandiperiyar,PG,24,94,11.6,2780,?,1130,H,347
