"Country Code","Country","State Code","State","District","Arsenic breached","Chloride breached","Floride breached","EC breached","Iron  breached","Nitrate breached"
"01","INDIA","05","BIHAR","PATNA","NO","NO","NO","NO","NO","NO"
"01","INDIA","05","BIHAR","PURBA CHAMPARAN","NO","NO","NO","NO","NO","NO"
"01","INDIA","05","BIHAR","PURNIA","NO","NO","NO","NO","NO","NO"
"01","INDIA","05","BIHAR","ROHTAS","NO","NO","NO","NO","NO","NO"
"01","INDIA","05","BIHAR","SAHARSA","NO","NO","NO","NO","NO","NO"
"01","INDIA","05","BIHAR","SAMASTIPUR","NO","NO","NO","NO","NO","NO"
"01","INDIA","05","BIHAR","SARAN","NO","NO","NO","NO","NO","NO"
"01","INDIA","05","BIHAR","SHEIKHPURA","NO","NO","NO","NO","NO","NO"
"01","INDIA","05","BIHAR","SHEOHAR","NO","NO","NO","NO","NO","NO"
"01","INDIA","05","BIHAR","SITAMARHI","NO","NO","NO","NO","NO","NO"
"01","INDIA","05","BIHAR","SIWAN","NO","NO","NO","NO","NO","NO"
"01","INDIA","05","BIHAR","SUPAUL","NO","NO","NO","NO","NO","NO"
"01","INDIA","05","BIHAR","VAISHALI","NO","NO","NO","NO","NO","NO"
"01","INDIA","07","CHHATTISGARH","BASTAR","NO","NO","YES","NO","YES","YES"
"01","INDIA","07","CHHATTISGARH","BILASPUR","NO","NO","NO","NO","NO","NO"
"01","INDIA","07","CHHATTISGARH","DHAMTARI","NO","NO","NO","NO","NO","NO"
"01","INDIA","07","CHHATTISGARH","DURG","NO","NO","NO","NO","NO","NO"
"01","INDIA","07","CHHATTISGARH","JANJGIR_CHAMPA","NO","NO","NO","NO","NO","NO"
"01","INDIA","07","CHHATTISGARH","JASHPUR","NO","NO","NO","NO","NO","NO"
"01","INDIA","07","CHHATTISGARH","KANKER","NO","NO","NO","NO","NO","NO"
"01","INDIA","07","CHHATTISGARH","KAWARDHA","NO","NO","NO","NO","NO","NO"
"01","INDIA","07","CHHATTISGARH","KORBA","NO","NO","NO","NO","NO","NO"
"01","INDIA","07","CHHATTISGARH","KOREA","NO","NO","NO","NO","NO","NO"
"01","INDIA","07","CHHATTISGARH","MAHASAMUND","NO","NO","NO","NO","NO","NO"
"01","INDIA","07","CHHATTISGARH","RAIGARH","NO","NO","NO","NO","NO","NO"
"01","INDIA","07","CHHATTISGARH","RAIPUR","NO","NO","NO","NO","NO","NO"
"01","INDIA","07","CHHATTISGARH","RAJNANDGAON","YES","NO","NO","NO","NO","NO"
"01","INDIA","07","CHHATTISGARH","SURGUJA","NO","NO","NO","NO","NO","NO"
"01","INDIA","10","DELHI","CENTRAL DELHI","NO","NO","NO","NO","NO","NO"
"01","INDIA","10","DELHI","EAST DELHI","NO","NO","NO","NO","NO","NO"
"01","INDIA","10","DELHI","NEW DELHI","NO","NO","NO","NO","NO","NO"
"01","INDIA","10","DELHI","NORTH DELHI","NO","NO","NO","NO","NO","NO"
"01","INDIA","10","DELHI","NORTH EAST DELHI","NO","NO","NO","NO","NO","NO"
"01","INDIA","10","DELHI","NORTH WEST DELHI","NO","YES","NO","YES","NO","NO"
"01","INDIA","10","DELHI","SOUTH DELHI","NO","NO","NO","NO","NO","NO"
"01","INDIA","10","DELHI","SOUTH WEST DELHI","NO","NO","NO","NO","NO","NO"
"01","INDIA","10","DELHI","WEST DELHI","NO","NO","NO","NO","NO","NO"
"01","INDIA","11","GOA","NORTH GOA","NO","NO","NO","NO","YES","YES"
"01","INDIA","11","GOA","SOUTH GOA","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","AHMADABAD","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","AMRELI","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","ANAND","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","BANASKANTHA","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","BHARUCH","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","BHAVNAGAR","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","DAMAN","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","DAHOD","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","DUI","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","GANDHINAGAR","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","JAMNAGAR","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","JUNAGARH","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","KACHCHH","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","KHERA","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","MAHESANA","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","NARMADA","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","NAVSARI","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","PANCHMAHAL","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","PATAN","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","PORBANDAR","NO","NO","NO","YES","NO","NO"
"01","INDIA","12","GUJARAT","RAJKOT","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","SABAR KANTHA","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","SURAT","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","SURENDRANAGAR","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","THE DANGS","NO","NO","NO","NO","NO","NO"
"01","INDIA","12","GUJARAT","VADODARA","NO","NO","YES","NO","NO","YES"
"01","INDIA","12","GUJARAT","VALSAD","NO","NO","NO","NO","NO","NO"
"01","INDIA","13","HARYANA","AMBALA","NO","NO","NO","NO","YES","YES"
"01","INDIA","13","HARYANA","BHIWANI","NO","YES","YES","YES","NO","NO"
"01","INDIA","13","HARYANA","FARIDABAD","NO","NO","NO","NO","NO","NO"
"01","INDIA","13","HARYANA","FATEHABAD","NO","NO","NO","NO","NO","NO"
"01","INDIA","13","HARYANA","GURGAON","NO","NO","NO","NO","NO","NO"
"01","INDIA","13","HARYANA","HISAR","NO","NO","NO","NO","NO","NO"
"01","INDIA","13","HARYANA","JHAJJAR","NO","YES","NO","NO","NO","NO"
