Country Code,Country,State Code,State,District,Annual Replenishable Ground Water Resource,Domestic & Industrial Water Supply,Projected demand for Domestic and Industrial uses upto 2025,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)
1,India,12,Gujarat,Ahmedabad,61686,7203,9597,12740,78
1,India,12,Gujarat,Amreli,80836,2637,3532,26488,64
1,India,12,Gujarat,Anand,78879,5128,6875,33576,52
1,India,12,Gujarat,Banaskantha,115525,5696,7638,5917,107
1,India,12,Gujarat,Bharuch,40916,2228,2978,19710,47
1,India,12,Gujarat,Bhavnagar,94280,5638,7561,30271,64
1,India,12,Gujarat,Dang,9103,566,758,6988,17
1,India,12,Gujarat,Dohad,37254,4395,5547,16588,50
1,India,12,Gujarat,Gandhinagar,48838,3112,4257,0,120
1,India,12,Gujarat,Jamnagar,90014,4500,6033,29068,64
1,India,12,Gujarat,Junagadh,137228,6869,9203,47807,62
1,India,12,Gujarat,Kachchh,83811,4243,5694,15855,79
1,India,12,Gujarat,Kheda,78037,5866,7862,24805,64
1,India,12,Gujarat,Mahesana,88025,5562,7455,423,116
1,India,12,Gujarat,Narmada,22625,1554,2085,14583,30
1,India,12,Gujarat,Navsari,40546,2344,3117,19153,48
1,India,12,Gujarat,Panchmahals,73939,5569,7007,39666,41
1,India,12,Gujarat,Patan,28064,1921,2495,0,122
1,India,12,Gujarat,Porbandar,20743,835,1618,4809,72
1,India,12,Gujarat,Rajkot,152825,7816,10344,47790,65
1,India,12,Gujarat,Sabarkantha,124881,5614,7738,30259,73
1,India,12,Gujarat,Surat,85633,6315,8339,42816,45
1,India,12,Gujarat,Surendranagar,66303,2937,3936,24490,60
1,India,12,Gujarat,Tapi,35474,1397,1824,22243,33
1,India,12,Gujarat,Vadodara,125982,8129,10566,52515,54
1,India,12,Gujarat,Valsad,35410,2669,3578,18541,42
1,India,13,Haryana,Ambala,58101,7710,8954,5975,86
1,India,13,Haryana,Panchkula,14898,2790,4319,1135,81
1,India,13,Haryana,Fatehabad,58879,1400,1809,-39477,174
1,India,13,Haryana,Bhiwani,68084,758,832,-9571,115
1,India,13,Haryana,Hisar,68918,452,565,3914,94
1,India,13,Haryana,Gurgaon,26720,18152,18152,-30370,226
1,India,13,Haryana,Mewat,24308,1190,1755,3023,84
1,India,13,Haryana,Faridabad,21738,2232,2733,4140,76
1,India,13,Haryana,Palwal,46204,999,1310,1000,97
1,India,13,Haryana,Jhajjar,45307,291,339,131,100
1,India,13,Haryana,Jind,93541,3717,3812,-10099,112
1,India,13,Haryana,Kaithal,58702,6241,6241,-61048,214
1,India,13,Haryana,Karnal,90243,1244,1244,-39660,148
1,India,13,Haryana,Kurukshetra,38371,6737,6737,-42503,220
1,India,13,Haryana,Mahendragarh,24480,421,470,-496,102
1,India,13,Haryana,Panipat,34539,496,496,-19557,163
1,India,13,Haryana,Rewari,31546,116,126,-3733,113
1,India,13,Haryana,Rohtak,47964,100,117,13166,70
1,India,13,Haryana,Sirsa,85946,776,776,-58867,176
1,India,13,Haryana,Sonipat,85553,4630,4639,-30258,139
1,India,13,Haryana,Yamunanagar,53821,10215,10499,-18492,138
1,India,14,Himachal Pradesh,Indaura valley,10566.99,1492.35,1492.35,4774.92,52
1,India,14,Himachal Pradesh,Nurpur valley,7405.67,1511.33,1511.33,4013.86,43
1,India,14,Himachal Pradesh,Balh valley,2974.31,659.04,659.04,1912.82,32
1,India,14,Himachal Pradesh,Paonta valley,8108.39,858.44,858.44,5528.51,28
1,India,14,Himachal Pradesh,Kala amb valley,101.66,494.51,494.51,-448.74,565
1,India,14,Himachal Pradesh,Nalagarh valley,8359.85,2113.39,2113.39,3609.55,55
1,India,14,Himachal Pradesh,Una,17792.75,5485.88,5485.88,-4063.17,124
1,India,14,Himachal Pradesh,Hum valley,593.11,106.9,125.36,-16.05,100
