Country Code,Country,State Code,State,District,Annual Replenishable Ground Water Resource,Domestic & Industrial Water Supply,Projected demand for Domestic and Industrial uses upto 2025,Net Current Ground Water Availability,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)
1,India,5,Bihar,Madhubani,112617,6823,10006,105184,66345,34
1,India,5,Bihar,Munger,34362,2130,2888,31178,21271,29
1,India,5,Bihar,Muzaffarpur,118906,7511,10732,109347,45140,56
1,India,5,Bihar,Nalanda,73434,4592,5509,66699,22041,66
1,India,5,Bihar,Nawada,59417,3842,5807,53961,28604,43
1,India,5,Bihar,Patna,109459,9121,12836,99053,40421,55
1,India,5,Bihar,Purnia,97041,6167,8528,91253,46317,47
1,India,5,Bihar,Rohtas,123709,4908,7370,113206,70678,35
1,India,5,Bihar,Saharsa,60653,2963,4895,56439,33140,38
1,India,5,Bihar,Samastipur,93865,6940,10833,87518,37428,53
1,India,5,Bihar,Saran,86237,6310,8923,80871,32917,56
1,India,5,Bihar,Seikhpura,18067,1126,1390,16604,7405,54
1,India,5,Bihar,Sheohar,18553,1132,1910,17325,6178,60
1,India,5,Bihar,Sitamarhi,83206,5521,8662,77653,39023,46
1,India,5,Bihar,Siwan,83349,5118,7402,75014,28724,59
1,India,5,Bihar,Supaul,82032,3456,5391,74195,45608,36
1,India,5,Bihar,Vaishali,78027,5324,7421,72160,28687,57
1,India,5,Bihar,Pashchim champaran,157955,6285,9275,142518,101339,27
1,India,7,Chhattisgarh,Bastar,99098,3357,4121,93139,80508,13
1,India,7,Chhattisgarh,Bijapur,81905,560,750,77801,76276,2
1,India,7,Chhattisgarh,Bilaspur,64175,4526,6048,60948,30530,47
1,India,7,Chhattisgarh,Dantewara,53793,1167,1468,50119,46674,6
1,India,7,Chhattisgarh,Dhamtari,49942,2915,3679,46163,9254,78
1,India,7,Chhattisgarh,Durg,89707,7752,8890,82013,24472,69
1,India,7,Chhattisgarh,Janjgir - champa,39244,3350,4371,36770,20459,42
1,India,7,Chhattisgarh,Jashpur,50283,1890,2263,47418,30548,35
1,India,7,Chhattisgarh,Kanker,90510,1641,2104,85481,66978,21
1,India,7,Chhattisgarh,Kawardha,36589,1848,2184,34281,11224,66
1,India,7,Chhattisgarh,Korba,49107,4962,5676,46285,30945,32
1,India,7,Chhattisgarh,Koriya,54264,1530,1960,50954,39000,23
