State,DISTRICT,SEMI-CRITICAL,CRITICAL,OVER EXPLOITED
,,Kuthiyalathur,,
,,Siruvalur,,
,,Sivagiri,,
,,Thalavadi,,
,,Thingalur,,
,,Sathyamangalam,,
,,Poondurai,,
,Kancheepuram,Acchirupakkam,Chittiambakkam,Govindhavadi
,,Arumpuliyur,Jameenendathur,L.Endathur
,,Chengalpattu,Pallur,Orathi
,,Cheyyur,Thirukazhukundram,Sirukaveripakkam
,,Chithamur,Thirupulivanam,Thiruppu Kuzhi
,,Guduvancheri,,Walajabad
,,Kaliyampoondi,,
,,Kattankulathur,,
,,Kunnavakkam,,
,,Mamallapuram,,
,,Mangadu,,
,,Nerumbur,,
,,Onampakkam,,
,,Ponvilayanthakalathur,,
,,Uthiramerur,,
,Kanyakumari,,,
,Karur,Chinthalavadi,Kattalai,K.Paramathy
,,Karur,,Kadavur
,,Panjapatti,,Mailampatti
,,Thalapatti,,Pallapatti
,,Thogaimalai,,Pugalur
,,,,Thennilai
,,,,Thoranakalpatti
,,,,Vangal
,,,,Velliyanai
,Krishnagiri,Bagalur,,Alapatti
,,Barur,,Bargur
,,Berigai,,Guruparapalli
,,Hosur,,Kallavi
,,Kaveripattinam,,Krishnagiri
,,Kelamangalam,,Mathur
,,Nagarasampatti,,Palepalli
,,Periyamuthur,,Pochampalli
,,Rayakottai,,Samalpatti
,,Shoolagiri,,Samarapatti
,,Uthanapalli,,Singarapettai
,,,,Uthangarai
,,,,Veppanapalli
,Madurai,Madurai East,Sedapatti,Usilampatti
,,Madurai West,,Uthappanaickanur
,, Pudukotta,,Muduvarpatti
,,Kottampatti,,Palamedu
,,Vellalur,,
,,Athipatti,,
,,Elumalai,,
,,Peraiyur,,
,,Sivarakkottai,,
,,Kokkulam,,
,,Thirumangalam,,
,,Karumathur,,
,,Sindhupatti,,
,Nagapattinam,Thiurkannapuram,Madhanam,Kariyapattinam
,,,Sirkali,Kuttalam
,,,,Manganallur
,,,,Mayiladuthurai
,,,,Melaiyur
,,,,Palaiyur
,,,,Pattavarthi
,,,,Puthur
,,,,Sembanarkoil
,,,,Thiruvilaiyattam
,,,,Vaitheeswaran Koil
,Namakkal,Alanganatham,,Erumaipatti
,,Jedarpalayam,,Kalappanaikanpatti
,,Kumarapalayam,,Mallasamudram
,,Manickampalayam,,Mangalapuram
,,Molasi,,Mohanur
,,Pallapatti,,Mullukurichi
,,Pandamangalam,,Nallipalayam
,,Tiruchengode,,Nallur
,,,,Namagiripettai
,,,,Namakkal
,,,,Paramathi
,,,,Puduchatram
,,,,Rasipuram
,,,,Sellappampatti
,,,,Senthamagalam
,,,,Vaiyappamalai
,,,,Valaiyapatti
,,,,Vennandur
,Niligiri,,,
,Perambalur,Keelapuliyur,,Chettikulam
,,Kolakanatham,,Kurumbalur
,,Vengalam,,Pasumbalur
,,,,Perambalur
,,,,Valikandapuram
,Pudukkottai,Alangudi,Keeramangalam,
,,Arasarkulam,,
,,,,
,Ramanathapuram,,,
,Salem,Karupur,,Attur
,,Kolathur,,Edappadi
,,Patchamalai,,Ernapuram
,,Pottaneri,,Gangavalli
,,Thevur,,Kadayampatti
,,Veeraganoor,,Karippatti
,,,,Kattukkottai
,,,,Konganapuram
,,,,Malliyakarai
,,,,Mecheri
,,,,Nangavalli
,,,,Omalur
,,,,Palamalai
,,,,Panamarathuppatti
,,,,Pethanaickanpalayam
,,,,Poolampatti
,,,,Salem_Town
,,,,Sankari East
,,,,Sankari West
,,,,Semmandappatti
,,,,Suramangalam
,,,,Thalaivasal
,,,,Tharamangalam
,,,,Thirumalaigiri
,,,,Valasaiyur
,,,,Vazhappadi
,,,,Veerapandi
,,,,Vembadithalam
,,,,Yethapur
,Sivagangai,Varappur,,
,Thanjavur,Budalur,,Adirampattinam
,,Thirukkattupalli,,Aduthurai
,,Cholanmaligai,,Ammapettai
,,Thuvarankurichi,,Avanam
,,Ulur,,Ayyampettai
,,Peravurani,,Devanancheri
,,Kavalipatti,,Kabisthalam
,,Sillathur,,Kandiyur
,,,,Kathiramangalam
,,,,Kumbakonam
,,,,Kuruchi
,,,,Kuruvikarambai
,,,,Melattur
,,,,Murukkangudi
,,,,Nachiyarkoil
,,,,Nadukaveri
,,,,Nambivayal
,,,,Nanjikottai
,,,,Pandanallur
,,,,Papanasam
,,,,Pattukkottai
,,,,Ramapuram
,,,,Thanjavur
,,,,Thirumangalakottai
,,,,Thiruvaiyaru
,,,,Thiruvidamarudur
,,,,Thondarampattu
,,,,Tiruchitrambalam
,,,,Tiruppanandal
,Theni,Cumbam,Andipatti,Erasakkanaickanur
,,Devathanapatti,,Kandamanur
,,Kodangipatti,,Kodivilarpatti
,,Mayladumparai,,Rajathani
,,Rasingapuram,,Thevaram
,,Theni,,
,,Thenkarai,,
,,Uthamapalayam,,
,Thiruvallur,Arani,Ammanambakkam,Ambattur
,,Kanagammachattram,Uthukkottai,Avadi
,,Kattur,,Balapuram
,,Madhavaram,,Cherukkanoor
,,Periyapalayam,,Erumbi
,,Poonamallee,,Kadambathur
,,Poonimangadu,,Kannigaipair
,,Pothattur Pettai,,Mappedu
,,Redhills,,Pallipattu
,,Thirumazhisai,,R.K.Pet
,,Tiruttani,,Thiruninravur
,,,,Vengathur
,Thoothukudi,Kadambur,Parivallikottai,Ilayarasanendal
,,Kayathar,,Ottapidaram
,,Kovilpatti,,Pallakurichi
,,,,Sattankulam
,,,,Udangudi
,Tirunelveli,Keezhapavoor,Ayikudi,Kallurani
,,Levinjipuram,Gudalur,Karisal Kulam
,,Panagudi,Nettur,Karivaklamvandanallur
,,Puliyankudi,,Karuvantha
,,Thiruvengadem,,Kurukkalpatti
,,Valliyoor,,Pazhankottai
,,Vasudevanallur,,Pazhavoor
,,Veerakeralampudur,,Radhapuram
,,Venkadampatti,,Sankarankoil
,,,,Sernthamangalam
,,,,Surandai
,,,,Tisayanvilai
,,,,Uthumalai
,,,,Vannikonenthal
,,,,Veerasigamani
,Tiruppur,Alangiyam,Vellakoil,Avinashi(E)
,,Dharapuram,,Avinashi(W)
,,Madathukulam,,Avinashipalayam(S)
,,Nathakadaiyur,,Cheyur
,,Udumalpet,,Gudimangalam
,,,,Kangeyam
,,,,Kannivadi
,,,,Karadivavi
,,,,Kundadam
,Tiruppur,,,Kunnathur
,,,,Mulanur
,,,,Palladam
,,,,Periavalavadi
,,,,Perumanallur
,,,,Pethappampatti
,,,,Pongalur
,,,,Ponnapuram
,,,,Samalapuram
,,,,Sankarandampalayam
,,,,Tiruppur (N)
,,,,Tiruppur (S)
,,,,Uthiyur
,,,,Uthukuli
,Tiruvarur,Koothanallur,Nannilam,Agarathirumalam
,,Sannanallur,Thiruvizhimazhalai,Alangudi
,,,,Avoor
,,,,Kodavasal
,,,,Koradacheri
,,,,Kulikkarai
,,,,Peralam
,,,,Thirukkannamangai
,,,,Valangaiman
,Tiruvannamalai,Anakavoor,Kettavarampalayam,Chengam
,,Chennavaram,Malaiyur,Cheyyar
,,Desur,Nayadumangalam,Kilpennathur
,,Dusi,Osur,Melpallipattu
,,Eraiyur,Pachal,Somaspadi
,,Kadaladi,Thanipadi,Thandarampat
,,Kalasapakkam,Thatchampattu,Thurinjapuram
,,Kelur,Vadathandalam,Veraiyur
,,Kilkodungalur,,
,,Kolappalur,,
,,Mandakolathur,,
,,Modayur,,
,,Nedungunam,,
,,Peranamallur,,
,,Polur,,
,,Pudupalayam,,
,,Santhavasal,,
,,Thachambadi,,
,,T.V. Malai,,
,,T.V. Malai,,
,,Vakkadai,,
,,Vandavasi,,
,,Vanapuram,,
,,Vettavlam,,
,Trichy,Eragudi,Peruvalpur,Kannanur
,,Kattuputhur,,Kariyamanickam
,,Mannachanallur,,Koppampatti
,,Musiri,,Manapparai
,,Thottiyam,,Manikandam
,,Thuvarangurichi,,Marungapuri
,,Uppiliyapuram,,Pannappatti
,,,,Pulivalam
,,,,Sengattuppatti
,,,,Thathaiyangarpettai
,,,,Thumbalam
,,,,Thuraiyur
,,,,V.Periyapatti
,,,,Vaiyampatti
,,,,Valaieduppu
,Vellore,Agaram,Kaveripakkam,Ambalur
,,Alangayam,Pennathur,Ambur
,,Andiyappanur,Walajah,Ammanankoil
,,Arakonam(South),,Anaicut
,,Banavaram,,Arcot
,,Kandhili,,Gudiyatham (West)
,,Kaniyambadi,,Gudiyatham(East)
,,Koratti,,Jolarpet
,,Melpadi,,K.V.Kuppam
,,Natrampalli,,Kalavai
,,Odugathur,,Katpadi
,,Pallur,,Madhanur
,,Panapakkam,,Melpatti
,,Paranji,,Melasannankuppam
,,Pernampattu,,Nemili
,,Ranipet,,Pallikonda
,,Sholinghur,,Pudupadi
,,Thiruvalam,,Sathuvachari
,,Velam,,Thuthipattu
,,Visharam,,Timiri
,,,,Tirupathur
,,,,Ussoor
,,,,Vaduganthangal
,,,,Valathur
,,,,Vaniyambadi
,,,,Vellore
,Villupuram,Arakandanallur,Chinnaselam,Anniyur
,,Kallakurichi,Mailam,Arasur
,,Kanai,,Avalurpettai
,,Kandamangalam,,Brammadesam
,,Manalurpettai,,Chithalingamadam
,,Rishivandhiyam,,Elavanasurkottai
,,Sengurichi,,Eraiyur
,,Thirukovilur,,Gingee
,,Vadakanandal,,Indili
,,Villupuram,,Kalamarudur
,,,,Kanjanur
,,,,Kiliyanur
,,,,Marakkanam
,,,,Melmalaiyanur
,,,,Melolakkur
,,,,Nagalur
,,,,Nainarpalayam
,,,,Nemili
,,,,Olakkur
,,,,Sathampati 
,,,,Sathiyamangalam
,,,,Siruvadi
,,,,Sithalampattu
,,,,T.V.Nallur
,,,,Thiyagadurgam
,,,,Tindivanam
,,,,Ulundurpettai
,,,,Uppuvelur
,,,,Vadasiruvalur
,,,,Vallam
,,,,Vanur
,,,,Vikkiravandi
,Virudhunagar,Amathur,Elayiram- Pannai,Cholapuram
,,Iyankollankondan,Ethirkottai,Keelarajakularaman
,,Kottaiyur,Mallankinar,Nathampatti
,,Malli,Mangalam,Rajapalayam
,,Mandapasalai,Pillaiyarkulam,Vatchakara-Patti
,,Nalli,Salwarpatti,
,,Ondipulinaickanur,Sivakasi,
,,Srivilliputtur,,
,,Watrap,,
Uttar Pradesh,Agra,Kheragarh,Jagner,Achhnera
,,-,-,Akola
,,-,-,Barauli Ahir
,,-,-,Bichpuri
,,-,-,Etmadpur
,,-,-,Fatehabad
,,-,-,Fatehpur Sikari
,,-,-,Khandauli
,,-,-,Saiyan
,,-,-,Shamsabad
,Aligarh,-,Chandaus,Iglas
,,-,-,Khair
,Allahabad,Urwa,Baheria, Bahadurpur
,,-,Pratappur,Chaka
,,-,-,Dhanupur
,,-,-,Holagarh
,,-,-,Mau-Aima
,Ambedkar Nagar,Bhiti,-,-
,Amethi,Amethi,,-
,,Bahadurpur,-,-
,,Gauriganj,-,-
,,Jagdishpur,-,-
,,Sangrampur,-,-
,,Shahgarh,-,-
,Amroha ,Gajraula,Joya,Amroha
,,-,-,Dhanaura
,Azamgarh,Azmatgarh,Palhani,-
,,Mirzapur,Sathiaon,-
,,Rani Ki Sarai,-,-
,,Tahabarpur,-,-
,Baghpat,-,Baghpat,Binauli
,,-,Baraut,Pilana
,,-,Chaprauli,-
,,-,Khekra,-
,Ballia,-,Rasara,-
,Banda,Jaspura,Tindwari,-
,Bareilly,Ram Nagar,-,-
,Bijnor,-,-,Aaku (Nehtaur)
,,-,-,Budhanpur (Seohara)
,,-,-,Jaleelpur
,,-,-,Noorpur
,Budaun,Bisauli,Asafpur,Ambiapur
,,Ujhani,Sahaswan,Islamnagar
,Bulandshahar,Agauta,B.B.Nagar,Gulauthi
,,Lakhaoti,Danpur,Sikandrabad
,,Pahasu,Khurja,-
,,Unchagaon,Shikarpur,-
,Chitrakoot,Mau,-,Karvi
,,Ram  Nagar,-,-
,Etah,Sakeet,Awagarh,Jalesar
,,-,Nidholi Kalan,-
,Faizabad,Bikapur,-,-
,,Tarun,-,-
, Fatehpur,Deomai,Airayan,Bhitaura
,,Khajuha,Amauli,Malawan
,,Vijayeepur,Bahua,Teliyani
,,-,Dhata,-
,,-,Haswa,-
,,-,Hathgaon,-
, Firozabad,Aron,-,Firozabad
,,-,-,Khairgarh
,,-,-,Narkhi
,,-,-,Shikohabad
,,-,-,Tundla
,G B Nagar,-,-,Bisrakh
,,-,-,Jewar
, Ghaziabad,-,-,Bhojpur
,,-,-,Loni
,,-,-,Razapur
,Ghazipur,Barachawar,Ghazipur,-
,,Bhawarkol,Muhammadabad,-
,,Karanda,-,-
,,Kasimabad,-,-
,,Manihari,-,-
,,Sadat,-,-
,Hamirpur,Sareela,Sumerpur,-
,Hapur,-,-,Garh
,,-,-,Hapur
,,-,-,Simbholi
, Hardoi,Ahrauri,-,-
,,Harpalpur,-,-
,Hathras ,Sahpau,Hathras,Mursan
,,-,Sadabad,Sasni
, Jaunpur,Jalalpur,Barsathi,Badlapur
,,Khutahan,Buxa,Karanja Kalan
,,Madiyahun,Dharmapur,Kerakat
,,Ram Nagar,Dobhi,Maharajganj
,,Rampur,Muftiganj,Sirkoni
,,-,Sikrara,-
,Jhansi,Babina,,
,,Mauranipur,-,-
, Kannauj,Gugrapur,,Jalalabad
,,Kannauj,-,Talgram
,Kanpur Nagar,Chaubeypur,-,Kalyanpur
,,Ghatampur,-,-
,,Sarsaul,-,-
,,Shivrajpur,-,-
,Kasganj,-,Soron,Kasganj
,,-,-,Sahawar
,Kaushambi,Sarsawan,Manjhanpur,Chail
,,-,Newada,Kara
,,-,-,Moorat Ganj
,,-,-,Sirathu
,Lucknow,Malihabad,-,Chinhat
,Mahoba,-,Charkhari,Jaitpur
,,-,Kabrai,Panwari
,Mainpuri,-,-,Barnahal
,Mathura,-,Farah,Baldeo
,,-,-,Nohjhil
,,-,-,Raya
, Maunath Bhanjan,Badraon,-,-
,,Ranipur,-,-
,Meerut,Daurala,Kharkhoda,Rajpura
,,Hastinapur,Machhra,-
,,-,Meerut,-
,,-,Parichhat Garh,-
,Mirzapur,Chanbey,Kon,-
,,City,Majhawan,-
,,Marihan,Sikhar,-
,,Pahari,-,-
,Moradabad,Bhagatpur Tanda,-,Bilari
,,Deengarpur,-,Chhajlet
,,-,-,Dilari
,Muzaffarnagar,-,-,Bhaghara
,,-,-,Budhana
,,-,-,Charthawal
,,-,-,Shahpur
,Pratapgarh,Kalanker,Aspur-Deosara,Baba Bekhernath
,,Sangaipur,-,Gaura
,,-,-,Lakshmanpur
,,-,-,Lalganj
,,-,-,Mandhata
,,-,-,Mangraura
,,-,-,Patti
,,-,-,Pratapgarh Sadar
,,-,-,Rampur-Sangramgarg
,,-,-,Sandwa -Chandrika
,,-,-,Shivgarh
,Raibareli,Kheron,Sareni,-
,,Rahi,-,-
,Rampur,-,-,Chamraua
,,-,-,Saidnagar
,,-,-,Shahabad
,,-,-,Swar
,Saharanpur,-,Muzafarabad,Baliakheri
,,,Puwarka,Deoband
,,-,-,Gangoh
,,-,-,Nagal
,,-,-,Nakur
,,-,-,Nanauta
,,-,-,Rampur
,,-,-,Saduli  Qudim
,,-,-,Sarsawa
,Sambhal,-,Asmoli,Bahjoi
,,-,Junawai,Baniakhera
,,-,-,Gunnaur
,,-,-,Pawansa
,,-,-,Sambhal
,St. Ravidas Nagar,-,Abholi,-
,,-,Aurai,-
,,-,Bhadohi,-
,,-,Deegh,-
,,-,Gyanpur,-
,,-,Suriyawan,-
,Shamli,-,Kairana,Kandhala
,,-,Thana Bhawan,Shamli
,,,,Un
,Sitapur,Machharehta,-,-
,Sonbhadra,Babhani,Ghorawal,-
,,Chatara,-,-
,,Duddhi,-,-
,,Robertsganj,-,-
,Sultanpur,Bhadaiyan,-,-
,,Dubeypur,-,-
,Unnao,Bigha Pur,,
,,Sikandar Sirausi,-,-
,Varanasi,Baragaon,Harhuwa,Arajiline
,,Chiraigaon,Pindra,
,,Cholapur,-,-
Uttaranchal,Dehradun,-,-,-
,Haridwar,Bhagwanpur,-,-
,,Laksar,-,-
,,Khanpur,-,-
,Nainital,-,-,-
,,-,-,-
,Udamsingh nagar,Gadarpur,Jaspur,-
,,Rudrapur,Kashipur,-
West Bengal,Malda,-,-,-
,Nadia,Chapra,-,-
,,Hanskhali,-,-
,,Kaligunj,-,-
,,Karimpur-I,-,-
,,Karimpur-II,-,-
,,Nakashipara,-,-
,,Tehatta-I,-,-
,,Tehatta-II,-,-
,Kochbihar,-,-,-
,North 24 parganas,Barrackpore-II,-,-
,Dakshin dinajpur,-,-,-
,Uttar dinajpur,-,-,-
,Bankura,Bishnupur,-,-
,Purulia,-,-,-
,Jalpaiguri,-,-,-
,Barddhaman,Bhatar,-,-
,,Kalna-II,-,-
,,Katwa-II,-,-
,,Ketugram-I,-,-
,,Mangalkote,-,-
,,Memari-II,-,-
,,Monteswar,-,-
,,Raina-I,-,-
,,Raina-II,-,-
,Murshidabad,Bhagabangola-I,-,-
,,Bhagabangola-II,-,-
,,Bharatpur-I,-,-
,,Bharatpur-II,-,-
,,Burwan,-,-
,,Domkal,-,-
,,Kandi,-,-
,,Khargram,-,-
,,Lalgola,-,-
,,Mur-jiaganj,-,-
,,Nabagram,-,-
,,Raninagar-I,-,-
,,Raninagar-II,-,-
,,Sagardighi,-,-
,Birbhum,Murarai-II,-,-
,,Nalhati-II,-,-
,,Nanoor,-,-
,,Rampurhat-II,-,-
,Howrah,-,-,-
,Darjeeling,-,-,-
,Hoogly,Arambag,Goghat-II,-
,,Chinsurah-Mogra,-,-
,,Goghat-I,-,-
,,Pandua,-,-
,,Polba-Dadpur,-,-
,,Singur,-,-
,West medinipur,Ghatal,-,-
,,Pingla,-,-
,,Sabang,-,-
,East medinipur,Bhagawanpur-I,-,-
,,Bhagawanpur-II,-,-
,,Egra-I,-,-
,,Moyna,-,-
,,Panskura-I,-,-
,,Potashpur-I,-,-
,,Potashpur-II,-,-
Daman and Diu,Daman,Daman,-,-
,Diu,-,-,Diu
Lakshadweep,Agatti,Agatti,,-
,Amini,Amini,,-
,Androth,-,,-
,Chetlat,-,,-
,Kadmat,-,,-
,Kalpeni,-,,-
,Kiltan,-,,-
,Kavaratti,Kavaratti,,-
,Minicoy,,,-
Pondicherry,Puducherry,-,-,Puducherry
,Karaikal,-,-,-
,Mahe,-,-,-
,Yanam,-,-,-
