State,DISTRICT,SEMI-CRITICAL,CRITICAL,OVER EXPLOITED
,Kheda,Kapadvanj,,
,,Kathlal,,
,,Mahemdabad,,
,Mahesana,,Vadnagar,Becharaji
,,,,Kadi
,,,,Kheralu
,,,,Mahesana
,,,,Satlasan
,,,,Visanagar
,,,,Vijapur
,,,,Unjha
,Patan,,,Chanasma
,,,,Patan
,,,,Sidhpur
,,,,
,Pobandar,Porbandar,,
,Rajkot,,,
,Sabarkantha,Prantij,,
,,Talod,,
,,Idar,,
,,Vadali,,
,Surendranagar,,,
,Vadodara,Vadodara,,
Haryana,Ambala,,Shazadpur,Barara
,,,,Naraingarh
,,,,Saha
,Panchkula,,Pinjore,
,,,Raipur Rani,
,,,Barwala,
,Fatehabad,,Bhattu Kalan,Fatehabad
,,,,Ratia
,,,,Tohana 
,,,,Jakhal
,,,,Bhuna
,Bhiwani,Dadri-II,,Badra
,,,,Dadri-I
,,,,Kairu
,,,,Loharu
,,,,Siwani
,Hissar,Uklana,,Narnaund
,,,,Hansi-II
,,,,
,,,,
,,,,
,Gurgaon,,,Farukhnagar
,,,,Gurgaon
,,,,Pataudi
,,,,Sohna
,Mewat,Punhana,Ferozepur Zhirka,Tauru
,,,Nuh,
,,,,
,Faridabad,,Ballabhgarh,
,,,Faridabad,
,Palwal,,Hathin,Hassanpur
,,,Hodel,Palwal
,Jhajjar,Bhadurgarh,,
,,,,
,Jind,Pilukhera,Uchana,Alewa
,,,,Narwana
,,,,Safidon
,,,,Jind
,Kaithal,,,Gulha
,,,,Kaithal
,,,,Kalyat
,,,,Pundri
,,,,Rajaund
,Karnal,,,Assandh
,,,,Gharaunda
,,,,Indri
,,,,Karnal
,,,,Nilokheri
,,,,Nissang
,Kurukshetra,,,Babain
,,,,Ladwa
,,,,Pehowa
,,,,Shahbad
,,,,Thaneswar
,Mahendragarh,,,Ateli
,,,,Kanina
,,,,Mahendragarh
,,,,Nangal Chaudary
,,,,Narnaul
,Panipat,,,Bapoli
,,,,Israna
,,,,Madlauda
,,,,Panipat
,,,,Samalkha
,Rewari,,Jatusana,Khol
,,,,Nahar
,,,,Rewari
,,,,Bawal
,Rohtak,Lakhan Majra,,
,Sirsa,,,Ellenabad
,,,,Rania
,,,,Sirsa
,,,,Ns Chopta
,,,,Baraguda
,,,,Odhan
,,,,Dabwali
,Sonepat,Kharkhoda,Gohana,Ganaur
,,,,Rai
,,,,Sonepat
,Yamunanagar,,Sadhuara,Chachrauli
,,,,Jagadhri
,,,,Mustafabad
,,,,Radour
,,,,Bilaspur
Himachal Pradesh,Sirmaur,,,Kala Amb Valley
,Una,,Una Valley,
,Una,,Hum Valley,
Jharkhand,Bokaro ,Chas,,
,Chatra ,,,
,Deoghar ,,,
,Dhanbad ,,,Jharia
,,,,Dhanbad
,Dumka ,,,
,E-Singhbhum ,,,Jamshedpur Sadar
,Garhwa ,,,
,Giridih  ,,,
,Godda ,,,Godda
,Gumla ,,,
,Hazaribagh ,,,
,Jamtara  ,,,
,Khunti  ,,,
,Koderma  ,,,
,Latehar  ,,,
,Lohardaga ,Lohardaga,,
,Pakur ,,,
,Palamu ,,,
,Ramgarh  ,,,Ramgarh
,Ranchi ,Ratu,,Kanke
,,Ormanjhi,,
,Sahebganj ,,,
,Saraikela ,Gumhariya,,
,Simdega ,,,
,W-Singhbhum ,,,
Karnataka,Bagalkot,Bilgi (NC),,Badami (C + NC)
,,Jamkhandi (NC),,Bagalkote (C + NC)
,,,,Hungund (NC)
,,,,Mudhol (NC)
,Bangalore Rural,,,Devenhalli (NC)
,,,,Dodaballapur (NC)
,,,,Hoskote (NC)
,,,,Nelamangala (NC)
,Bangalore Urban,,,Anekal (NC)
,,,,Bangalore East (NC)
,,,,Bangalore North (NC)
,,,,Bangalore South (NC)
,Belgaum,Athani (C) ,Bailahongal (C) ,Athani (NC)
,,Bailahongal (NC),,Chikodi (NC)
,,Saundatti (C) ,,Gokak (NC)
,,,,Hukkeri (NC)
,,,,Ramdurg (C + NC)
,,,,Raybag (NC)
,,,,Saundatti (NC)
,Bellary,Kudligi (NC),Bellary (NC),H.B.Halli (NC)
,,,Hadagalli (NC),
,Bidar,Bhalki (NC),,
,Bijapur,Basavana Bagevadi (C + NC),Indi (NC),
,,Bijapur (NC),,
,,Indi (C) ,,
,,Muddebihal (NC),,
,,Sindgi (NC),,
,Chamrajnagara,Kollegal (NC),Chamrajnagara (NC),Gundlupet (NC)
,,Yelandur (C + NC),,
,Chikballapur,,Bagepalli (NC),Chikballapur (NC)
,,,,Chintamani (NC)
,,,,Gauribidalur (NC)
,,,,Gudibanda (NC)
,,,,Sidlaghata (NC)
,Chikmagalur,Tarikere (NC),,Kadur (NC)
,Chitradurga,,Hosadurga (NC),Challakere (NC)
,,,,Chitradurga (NC)
,,,,Hiriyur (NC)
,,,,Holalkere (NC)
,Dakshin Kannada,,Puttur (NC),
,Davangere,Channagiri  (C) ,Harihar (NC),Channagiri (NC)
,,Honnalli (NC),,Davangere (NC)
,,,,Harpanahalli (NC)
,,,,Jagalur (NC)
,Dharwad,Navalgund (NC),,
,Gadag,Gadag (C) ,,Gadag (NC)
,,Mundargi (NC),,Ron (NC)
,,Nargund (C) ,,
,,Ron (C) ,,
,Hassan,,Hassan (NC),Arsikere (NC)
,,,,C R Patna (NC)
,,,,Holenarsipur (NC)
,Haveri,Haveri (NC),Byadgi (NC),
,,Hirekerur (NC),Ranibennur (NC),
,Kolar,,,Bangarpet (NC)
,,,,Kolar (NC)
,,,,Malur (NC)
,,,,Mulbagal (NC)
,,,,Srinivaspur (NC)
,Koppal,,Yelbarga (NC),Gangawati (NC)
,,,,Koppal (NC)
,Mandya,Nagamangala (NC),Maddur (NC),Krishnarajpet (NC)
,,,,Malavalli (NC)
,,,,Mandya (NC)
,,,,Pandavapura (NC)
,Mysore,Mysore (NC),Nanjangud (NC),Krishnrajanagara (NC)
,,,Tirumakudal narsipur (NC),
,Raichur,Lingsugur (NC),,
,,Raichur (NC),,
,Ramanagaram,,Channapatana (NC),Kanakapura (NC)
,,,Magadi (NC),Ranmanagaram (NC)
,Shimoga,Bhadravati (NC),,
,Tumkur,Pavagada (NC),Gubbi (NC),Chicknayakanhalli (NC)
,,,Kunigal (NC),Koratagere (NC)
,,,Sira (NC),Madhugiri (NC)
,,,,Tiptur (NC)
,,,,Tumkur (NC)
,,,,Turuvekere (NC)
,Yadgir,Shahpur (NC),,
,,Yadgir (NC),,
Kerala,Alappuzha,,,
,Ernakulam,Parakkadavu,,
,,Paravoor,,
,,Vypin,,
,Idukki,Kattappana,,
,,Nedumkandam,,
,Kannur,Kalyasseri,,
,,Panur,,
,Kasargod,Kanhangad,Kasargod,
,,Karadka,,
,,Manjeswar,,
,Kollam,Chittumala,,
,Kottayam,,,
,Kozhikode,Balussery,,
,,Kunnamangalam,,
,Malappuram,Kondotty,,
,,Tanur,,
,,Tirurangadi,,
,Palakkad,Pattambi,Malampuzha,Chittoor
,,Thrithala,,
,Pathanamthitta,,,
,Thiruvananthapuram,Athiyannur,,
,,Nedumangad,,
,,Parassala,,
,Thrissur,Mathilakam,,
,,Thalikkulam,,
,Waynad,,,
Madhya Pradesh,Barwani,Rajpur,,Pansemal
,,Thikri,,
,Betul,Betul,,
,Bhopal,Berasia,,
,,Phanda,,
,Buhanpur,Burhanpur,,
,Chhatarpur,Badamalhara         ,,
,,Buxwaha,,
,,Chhatarpur,,
,,Nowgaon,,
,,Rajnagar,,
,Chhindwara,Chhindwara,,
,Damoh,Hatta   ,,
,,Pathariya,,
,Datia,Datia,,
,Dewas,Khategaon,,Dewas
,,,,Sonkutch
,Dhar,Manawar                 ,,Badnawar          
,,Tirla,,Dhar   
,,,,Dharampuri        
,,,, Nalcha
,Guna,Guna,,
,Gwalior,Morar,,
,Indore,Mhow,,Depalpur 
,,,,Indore 
,,,,Sanwer
,Jabalpur,Shahapura,,
,Khargone,Barwaha   ,,
,,Khargone ,,
,,Mahashwar ,,
,Khandwa,Chhegaon Makhan,,
,Mandsaur,Bhanpura ,,Mandsaur
,,Malahargarh ,,Sitamau
,Morena,Kailaras,,
,,Morena     ,,
,,Porsa,,
,,Sabalgarh,,
,Neemuch,Jawad,,
,, Neemuch,,
,Narsinghpur,ChanwarPatha    ,Narsinghpur,
,,Gotegaon ,,
,,Kareli    ,,
,Panna,Ajaygarh,,
,Rajgarh,Biora                     ,,
,, Khilchipur  ,,
,,Narsinghgarh  ,,
,,Sarangpur,,
,Ratlam,Sailana,,Alote                     
,,,,Jaora     
,,,,Piploda    
,,,,Ratlam   
,Rewa,Gangeo,,
,,Sirmour,,
,Satna,Maihar     ,Amarpatan,Rampur Baghalan 
,,Nagod,Sohawal,
,Sagar,Banda         ,,
,,Sagar,,
,Sehore,Astha,,
,,Sehore,,
,Shajapur,Barod  ,Agar,Mohan Barodia
,,Kalapipal,,Nalkhera
,,Shajapur,,Shujalpur
,,,,Susner
,Shivpuri,Badarwas ,,
,,Karera  ,,
,,Khanniyadhana  ,,
,,Narwar   ,,
,,Pichor,,
,Sidhi,Sidhi,,
,Tikamgarh,Baldeogarh ,,
,,Jatara  ,,
,,Niwari,,
,,Palera  ,,
,,Tikamgarh,,
,Ujjain, Khachrod,,Badnagar
,,Mahidpur,,Ghatia
,,,,Ujjain
Maharashtra,Ahmednagar  ,Kopargaon  ,, Rahata 
,,Newasa  ,,
,,Sangamner  ,,
,,Shrirampur  ,,
,Amravati  ,Achalpur  ,Chandur Bazar  ,Daryapur  
,,,,Morshi  
,,,,Warud  
,Buldhana ,Motala  ,,Jalgaon (Jamod)
,Jalgaon  ,Bodwad  ,,Raver  
,,Chopda  ,,Yawal  
,,Parola  ,,
,,Muktainagar ,,
,Latur ,Latur ,,
,Nashik ,Chandwad  ,,Deola 
,,Sinnar  ,,
,,Niphad  ,,
,Pune ,Baramati  ,,
,,Purandhar  ,,
,Sangli ,,Kavathe Mahankal ,Miraj 
,Solapur ,,,Malshiras  
Orissa,Bhadrak,,,
,Jagatsinghpur,,,
,Kendrapara,,,
Punjab,Amritsar,,,Ajnala
,,,,Chogawan
,,,,Harsha China
,,,,Jandiala
,,,,Majitha
,,,,Rayya
,,,,Tarsika
,,,,Verka
,Barnala,,,Barnala
,,,,Mahal Kalan
,,,,Sehna
,Bathinda,,Nathana,Phul
,,,Rampura,Maur
,,,,Bathinda
,Faridkot,,,Faridkot
,,,,Kot Kapura
,Fatehgarh Sahib,,,Khera
,,,,Sirhind
,,,,Amloh
,,,,Bassi Pathana
,,,,Khamanon
,Ferozepur,,,Fazilka
,,,,Ferozpur
,,,,Ghall Khurd
,,,,Guru Har Sahai
,,,,Jalalabad
,,,,Makhu
,,,,Mamdot
,,,,Zira
,Gurdaspur,Narot Jaimal Singh,Gurdaspur,Batala
,,,,Fatehgarh Churian
,,,,Kahnuwan
,,,,Kalanaur
,,,,Qadian
,,,,Sri Hargobindpur
,,,,Dera Baba Nanak
,,,,Dhariwal
,Hoshiarpur,Talwara,Hoshiarpur-1,Dasuya
,,,,Garhsahnkar
,,,,Hazipur
,,,,Tanda
,Jalandhar,,,Adampur
,,,,Bhogpur
,,,,Rurka Kalan
,,,,Jalandhar-East
,,,,Jalandhar-West
