Sl. No.,DISTRICT,SEMI-CRITICAL,CRITICAL,OVER EXPLOITED
,Fatehabad,,Bhattu Kalan,Fatehabad
,,,Bhuna,Ratia
,,,,Tohana 
,,,,Jakhal
,Bhiwani,,Dadri-II,Badra
,, ,Siwani,Dadri-I
,,,,Kairu
,,,,Loharu
,Hissar,Agroha,Adampur,Narnaund
,,Uklana,,
,,Hansi-II,,
,Gurgaon,,,Farukhnagar
,,,,Gurgaon
,,,,Pataudi
,,,,Sohna
,Mewat,,Punhana,Tauru
,, ,,Ferozepur Zhirka
,Faridabad,,Ballabhgarh,Faridabad
,Palwal,,Hathin,Hodel
,,,,Palwal
,,,,Hassanpur
,Jhajjar,Bhadurgarh,Jhajjar,
,,Salhawas,,
,Jind,,Jind,Alewa
,,,Pilukhera,Narwana
,,,Uchana,Safidon
,Kaithal,,,Gulha
,,,,Kaithal
,,,,Kalayat
,,,,Pundri
,,,,Rajaund
,Karnal,,,Assandh
,,,,Gharaunda
,,,,Indri
,,,,Karnal
,,,,Nilokheri
,,,,Nissang
,Kurukshetra,,,Babain
,,,,Ladwa
,,,,Pehowa
,,,,Shahbad
,,,,Thaneswar
,Mahendragarh,,,Ateli
,,,,Kanina
,,,,Mahendragarh
,,,,Nangal Chaudary
,,,,Narnaul
,Panipat,,,Bapoli
,,,,Israna
,,,,Madlauda
,,,,Panipat
,,,,Samalkha
,Rewari,,Jatusana,Nahar
,,,,Rewari
,,,,Bawal
,,,,Khol
,Rohtak,Rohtak,,
,,Lakhan Majra,,
,Sirsa,Odhan,Baraguda,Ellenabad
,,,,Rania
,,,,Sirsa
,,,,Ns Chopta
,,,,
,Sonepat,,Gohana,Ganaur
,,,Kharkhoda,Rai
,,,,Sonepat
,Yamunanagar,,Bilaspur,Jagadhri
,,,,Mustafabad
,,,,Radour
,,,,Sadhuara
,,,,Chachrauli
Himachal Pradesh,Sirmour ,,,Kala Amb Valley
,Una ,,Una valley,
Jharkhand,Bokaro,Chas,-,-
,Dhanbad,-,Dhanbad,-
,,-,,Jharia
,Godda,-,-,Godda
,East Singhbhum,-,-,Jamshedpur
,Ramgarh,,Ramgarh,-
,,-,,-
,Ranchi,Ratu,,-
,,-,-,Kanke
Karnataka,Bagalkot,Mudhol (C ),Jamkhandi (NC),Badami (C+NC)
,,-,-,Bagalkote (C+NC)
,,-,-,Bilgi (NC)
,,-,-,Hungund (NC)
,,-,-,Mudhol(NC)
,Bangalore Rural,-,-,Devenhalli
,,-,-,Dodaballapur
,,-,-,Hoskote
,,-,-,Nelamangala
,Bangalore Urban,-,-,Anekal
,,-,-,Bangalore East
,,-,-,Bangalore North
,,-,-,Bangalore South
,Belgaum,Belgaum (NC),-,Athani (C+NC)
,,Chikodi (C ),-,Bailahongal (C+NC)
,,Gokak (C ),-,Chikodi (NC)
,,Raibagh(C ),-,Gokak (NC)
,,-,-,Hukkeri (NC)
,,-,-,Ramdurg (C+NC)
,,-,-,Raibagh(NC)
,,-,-,Saundatti (C+NC)
,Bellary,Kudligi,Bellary (NC),H.B. Halli
,,-,,Hadagalli
,Bidar,Bidar,Basavana Bagevadi NC),Bhalki (NC)
,Bijapur,Bijapur (NC),-,Indi (NC)
,,Muddebihal (NC),-,-
,,Sindgi (NC),-,-
,Chamrajnagara,Chamrajnagara (NC),-,Gundlupet (NC)
,Chikballapur,Bagepalli,-,Chikballapur
,,-,-,Chintamani
,,-,-,Gauribidalur
,,-,-,Gudibanda
,,-,-,Sidlaghata
,Chikmagalur,Tarikere (NC),Kadur,
,Chitradurga,-,Challakere (NC),Chitradurga
,,-,Hosadurga,Hiriyur (NC)
,,-,-,Holalkere
,Dakshin Kannada,Bantval,-,-
,,Puttur,-,-
,Davangere,-,Harihar NC),Channagiri (NC)
,,-,-,Davangere (NC)
,,-,-,Harpanahalli (NC)
,,-,-,Jagalur
,Dharwad,Dharwad,-,-
,,Navalgund (NC),-,-
,Gadag,Mundargi,-,Gadag (NC)
,,Nargund,-,Ron (NC)
,Gulbarga,Afzalpur,-,
,Hassan,Belur (NC),-,Arsikere (NC)
,,-,-,C R Patna (NC)
,,-,-,Hassan (NC)
,,-,-,Holenarsipur (NC)
,Haveri,Haveri (NC),Byadgi (NC),-
,,Hirekerur (NC),Ranibennur (NC),-
,Kolar,-,-,Bangarpet
,,-,-,Kolar
,,-,-,Malur
,,-,-,Mulbagal
,,-,-,Srinivaspur
,Koppal,Kushtagi (NC),-,Gangawati (NC)
,,-,-,Koppal (NC)
,,-,-,Yelbarga
,Mandya,Maddur (NC),-,Krishnarajpet (NC)
,,Malavalli (NC),-,Mandya (NC)
,,Nagamangala (NC),-,Pandavapura (NC)
,Mysore,Mysore (NC),Tirumakudal Narsipur (NC),-
,,Nanjangud (NC),-,-
,Raichur,Lingsugur (NC),-,-
,Ramanagaram,Channapatana (NC),Magadi,Kanakapura (NC)
,,-,-,Ranmanagaram
,,-,-,Chicknayakanhalli
,Tumkur,Kunigal (NC),-,Gubbi (NC)
,,Pavagada,-,Koratagere
,,-,-,Madhugiri
,,-,-,Sira (NC)
,,-,-,Tiptur (NC)
,,-,-,Tumkur (NC)
,,-,-,Turuvekere (NC)
,Yadgir,Yadgir,-,-
Kerala,Ernakulam,Parakkadavu,-,-
,,Paravoor,,
,,Vyttila,,
,Idukki,Kattappana,-,-
,,Nedumkandam,,
,Kannur,Kuthuparamba,-,-
,,Thalassery,,
,Kasargod,Manjeswar,Kasargod,-
