Sl. No.,DISTRICT,SEMI-CRITICAL,CRITICAL,OVER EXPLOITED
,,-,-,Pallipattu
,,-,-,R.K.Pet
,,-,-,Tiruthani
,Tiruvannamalai,Annakkavur,Kalasapakkam,Chengam
,,Cheyyar,Kilpennathur,Chetpet
,,East Arani,Pudupalayam,Javadhu Hills
,,Pernamallur,Thurinjapuram,Polur
,,Thellar,-,Thandarampattu
,,West Arani,-,Tiruvannamalai
,,-,-,Vandavasi
,,-,-,Vembakkam
,Vellore,Wallajah,Alangayam,Anaicut
,,-,Nemili,Arcot
,,-,Timiri,Gudiyatham
,,-,-,Jolarpet
,,-,-,K.V.Kuppam
,,-,-,Kandili
,,-,-,Kanniyambadi
,,-,-,Katpadi
,,-,-,Madanur
,,-,-,Nattrampalli
,,-,-,Pernampet
,,-,-,Sholinghur
,,-,-,Tiruppathur
,,-,-,Vellore
,Villupuram,Mailam,Kandamangalam,Gingee
,,Sankarapuram,-,Kanai
,,Vanur,-,Kolianur
,,-,-,Marakanam
,,-,-,Melmalaiyanur
,,-,-,Olakkur
,,-,-,Thiyagadurgam
,,-,-,Ulundurpet
,,-,-,Vallam
,Virudhunagar,Virudhunagar,Sivakasi,Rajapalayam
,,-,Srivilliputhur,-
,,-,Vembakottai,-
,,-,Watrap,-
Uttar Pradesh,Agra,Achhnera,Saiyan,Akola
,,Jagner,-,Barauli Ahir
,,Kheragarh,-,Bichpuri
,,-,-,Fatehpur Sikari
,,-,-,Khandauli
,,-,-,Shamsabad
,Aligarh,Chandaus,Atrauli,-
,,Iglas,-,-
,,Khair,-,-
,Allahabad, Bahadurpur,Karchhana,-
,,Dhanupur,-,-
,,Kaurihar,-,-
,,Pratappur,-,-
,,Saidabad,-,-
,,Urwa,-,-
,Ambedkar Nagar,Bhiti,-,-
,Baghpat,Baraut,-,Baghpat
,,-,-,Binauli
,,-,-,Chaprauli
,,-,-,Khekra
,,-,-,Pilana
,Banda,-,Tindwari,-
,Bareilly,Majhgawa,-,-
,,Meerganj,-,-
,Bijnor,Budhanpur (Seohara),Noorpur,-
,,Jaleelpur,-,-
,Budaun,Jagat,-,Ambiapur
,,Salarpur,-,Asafpur
,,-,-,Bisauli
,,-,-,Gunnaur
,,-,-,Islamnagar
,,-,-,Junawai
,,-,-,Sahaswan
,Bulandshahar,Agauta,Gulauthi,-
,,B.B.Nagar,Khurja,-
,,Pahasu,-,-
,,Sikandrabad,-,-
,Chitrakoot Dham,Ram  Nagar,Karvi,-
,Etah,Aliganj,-,Marhara
,,Nidholi Kalan,-,-
,,Sakeet,-,-
,Faizabad,Tarun,-,-
,,Bikapur,,-
,Fatehpur,Airayan,Amauli,-
,,Bahua,Haswa,-
,,Deomai,Hathgaon,-
,,Khajuha,Malawan,-
,,Teliyani,-,-
,,Vijayeepur,-,-
,Firozabad,Madanapur,-,Aron
,,-,-,Eka
,,-,-,Firozabad
,,-,-,Narkhi
,,-,-,Tundla
,G B Nagar,Bisrakh,-,Jewar
,,Dankaur,-,-
,Ghaziabad,Hapur,Bhojpur,Loni
,,Simbholi,-,
,Ghazipur,Ghazipur,-,
,,Jakhaniya,-,
,,Karanda,-,-
,,Saidpur,-,-
,Hathras (Mahamaya Nagar),Sahpau,Sadabad,Hathras
,,-,-,Mursan
,,-,-,Sasni
,J P Nagar,-,Dhanaura,Amroha
,,-,-,Gajraula
,,-,-,Hasanpur
,,-,-,Joya
,Jaunpur,Barsathi,Badlapur,Buxa
,,Dobhi,Dharmapur,Karanja Kalan
,,Khutahan,Maharajganj,Kerakat
,,Muftiganj,-,Sirkoni
,,Sikrara,-,-
,,Sujanganj,-,-
,Jhansi,Babina,Bangra,Mauranipur
,,Baragaon ,-,-
,,Chirgaon,-,-
,Kannauj,Kannauj,-,Jalalabad
,,-,-,Talgram
,Kanpur Nagar,Ghatampur,Bhitar Gaon,-
,,Sarsaul,-,-
,,Shivrajpur,-,-
,Kashiram Nagar,,-,Kasganj
,Kaushambi,Newada,Kara,Chail
,,-,Manjhanpur,Sirathu
,,-,Moorat Ganj,-
,Lucknow,Mal,-,-
,,Malihabad,-,-
,,Mohanlalganj,-,-
,Mahoba,Kabrai,-,Jaitpur
,,-,-,Panwari
,Mainpuri,-,-,Barnahal
,,-,-,Mainpuri
,Mathura,Farah,-,Baldeo
,,Mat,-,Nohjhil
,,-,-,Raya
,Meerut,Daurala,-,Kharkhoda
,,Hastinapur,-,Rajpura
,,Mawana,-,-
,Mirzapur,Chanbey,Majhawan,-
,,City,Sikhar,-
,,Kon,-,-
,Moradabad,Dilari,Bilari,Asmoli
,,Moradabad,Deengarpur,Bahjoi
,,-,-,Baniakhera
,,-,-,Pawansa
,,-,-,Sambhal
,Muzaffarnagar,Charthawal,-,Bhaghara
,,Jansath,-,Budhana
,,-,-,Kairana
,,-,-,Kandhala
,,-,-,Shahpur
,,-,-,Shamli
,,-,-,Thana Bhawan
,,-,-,Un
,Pratapgarh,Baba Bekhernath,Sandwa -Chandrika,Pratapgarh Sadar
,,Patti,Shivgarh,-
,Raibareli,Bahadurpur,Sareni,-
,,Harichandpur,-,-
,,Kheron,-,-
,,Lalganj,-,-
,,Maharajganj,-,-
,,Rahi,-,-
,,Satawan,-,-
,Rampur,Shahbad,-,Chamraua
,,-,-,Saidnagar
,Saharanpur,Deoband,-,Baliakheri
,,Rampur,-,Gangoh
,,-,-,Muzafarabad
,,-,-,Nagal
,,-,-,Nakur
,,-,-,Nanauta
,,-,-,Puwarka
,,-,-,Sarsawa
,St. Ravidas Nagar,Abholi,-,-
,,Gyanpur,-,-
,,Suriyawan,-,-
,Sonbhadra,Ghorawal,-,-
,Sultanpur,Akhand Nagar,-,-
,,Bhadaiyan,-,-
,,Bhadar,-,-
,,Dubeypur,-,-
,,Jagdishpur,-,-
,,Jaisinghpur,-,-
,,P.P.Kannaicha,-,-
,,Sangrampur,-,-
,,Shahgarh,-,-
,,Shukul Bazar,-,-
,Varanasi,Baragaon,Arajiline,-
,,Chiraigaon,Harhuwa,-
,,Cholapur,-,-
,,Kashividyapeeth,-,-
,,Pindra,-,-
Uttaranchal,Haridwar, Bhagwanpur,Laksar,--
,,Khanpur,--,--
,Udham Singh Nagar,Jaspur,--,--
,,Kashipur,--,--
,,Khatima,--,--
West Bengal,Malda,Kaliachak I,--,--
,,Harishchandrapur II,,
,Nadia,Chapra,--,--
,,Hanskhali,,
,,Karimpur I,,
,,Karimpur II,,
,,Tehatta I,,
,,Tehatta II,,
,Barddhaman,Bhatar,--,--
,,Ketugram I,,
,,Memari II,,
,,Magalkote,,
,,Manteswar,,
,,Purbasthali II,,
,Mursidabad,Barwan,--,--
,,Berhampur,,
,,Bhagabangola I,,
,,Bhagabangola II,,
,,Bharatpur I,,
,,Bharatpur II,,
,,Domkal,,
,,Hariharpara,,
,,Jalangi,,
,,Lalgola,,
,,Murjiaganj,,
,,Nabagram,,
,,Nowda,,
,,Raninagar I,,
,,Raninagar II,,
,,Sagardighi,,
,,Suti II,,
,Birbhum,Murarai II,--,--
,,Nalhati II,,
,,Rampurhat II,,
,,Nanoor,,
,Hooghly,Pandua,--,--
,,Goghat I,,
,Purba Medinipur,Mayna,--,--
Daman and Diu,Diu,-,-,Diu
,Daman,Daman,-,
Lakshadweep,Agatti,Agatti,-,-
,Amini,Amini,-,-
,Androth,Androth,-,-
,Kavaratti,Kavaratti,-,-
Pondicherry,UT of Puducherry,-,,Puducherry
