FID,TEHSIL,SUBDIVISIO,DISTRICT,STATE,SID,DID,TID,VILL_CODE,VID,NAME
195, ,GIDDALUR,PRAKASAM,ANDHRA PRADESH,28,18,37,0,2.82E+15,Mudhole
235, ,BALLIKURAVA,PRAKASAM,ANDHRA PRADESH,28,18,9,0,2.82E+15,Kerameri
247, ,BESTAVARAPUPETA,PRAKASAM,ANDHRA PRADESH,28,18,35,0,2.82E+15,Bhainsa
284, ,KANDUKUR,PRAKASAM,ANDHRA PRADESH,28,18,52,0,2.82E+15,Chennur
296, ,CHANDRASEKHARAPURAM,PRAKASAM,ANDHRA PRADESH,28,18,49,0,2.82E+15,Luxettipet
321, ,CHIMAKURTI,PRAKASAM,ANDHRA PRADESH,28,18,32,0,2.82E+15,Sarangapur
323, ,CHINNA GANJAM,PRAKASAM,ANDHRA PRADESH,28,18,29,0,2.82E+15,Tiryani
345, ,CHIRALA,PRAKASAM,ANDHRA PRADESH,28,18,27,0,2.82E+15,Nennal
360, ,DARSI,PRAKASAM,ANDHRA PRADESH,28,18,18,0,2.82E+15,Ichoda
416, ,DONAKONDA,PRAKASAM,ANDHRA PRADESH,28,18,6,0,2.82E+15,Gudihathnoor
419, ,DORNALA,PRAKASAM,ANDHRA PRADESH,28,18,4,0,2.82E+15,Bela
443, ,ERRAGONDAPALEM,PRAKASAM,ANDHRA PRADESH,28,18,1,0,2.82E+15,Tamsi
470, ,JANAKAVARAM PANUGULURU,PRAKASAM,ANDHRA PRADESH,28,18,15,0,2.82E+15,Asifabad
512, ,PONNALURU,PRAKASAM,ANDHRA PRADESH,28,18,47,0,2.82E+15,Kotapalle
539, ,ULAVAPADU,PRAKASAM,ANDHRA PRADESH,28,18,56,0,2.82E+15,Elkathurthi
546, ,KANIGIRI,PRAKASAM,ANDHRA PRADESH,28,18,40,0,2.82E+15,Nirmal
551, ,TALLURU,PRAKASAM,ANDHRA PRADESH,28,18,25,0,2.82E+15,Dahegaon
585, ,KORISAPADU,PRAKASAM,ANDHRA PRADESH,28,18,26,0,2.82E+15,Vemanpalle
591, ,MARRIPUDI,PRAKASAM,ANDHRA PRADESH,28,18,33,0,2.82E+15,Tadwai
595, ,GUDULUR,PRAKASAM,ANDHRA PRADESH,28,18,55,0,2.82E+15,Bheemadevarpalle
612, ,HANUMANTUNIPADU,PRAKASAM,ANDHRA PRADESH,28,18,34,0,2.82E+15,Kubeer
627, ,INKOLLU,PRAKASAM,ANDHRA PRADESH,28,18,14,0,2.82E+15,Kagaznagar
673, ,KAMBHAM,PRAKASAM,ANDHRA PRADESH,28,18,21,0,2.82E+15,Neradigonda
681, ,KARAMCHEDU,PRAKASAM,ANDHRA PRADESH,28,18,13,0,2.82E+15,Bejjur
708, ,KOMAROLU,PRAKASAM,ANDHRA PRADESH,28,18,38,0,2.82E+15,Lokeswaram
709, ,KONAKANAMETLA,PRAKASAM,ANDHRA PRADESH,28,18,23,0,2.82E+15,Rebbana
717, ,TARLUPADU,PRAKASAM,ANDHRA PRADESH,28,18,22,0,2.82E+15,Sirpur
756, ,KONDAPI,PRAKASAM,ANDHRA PRADESH,28,18,41,0,2.82E+15,Laxmanchanda
774, ,PEDDA CHERLOPALLI,PRAKASAM,ANDHRA PRADESH,28,18,48,0,2.82E+15,Mandamarri
821, ,KURICHEDU,PRAKASAM,ANDHRA PRADESH,28,18,7,0,2.82E+15,Inderavelly
836, ,LINGASAMUDRAM,PRAKASAM,ANDHRA PRADESH,28,18,54,0,2.82E+15,Kamalapur
846, ,MADDIPADU,PRAKASAM,ANDHRA PRADESH,28,18,31,0,2.82E+15,Kaddam (Peddur)
870, ,MUNDLAMURU,PRAKASAM,ANDHRA PRADESH,28,18,17,0,2.82E+15,Utnoor
874, ,PARUCHURU,PRAKASAM,ANDHRA PRADESH,28,18,12,0,2.82E+15,Kouthala
891, ,MARKAPUR,PRAKASAM,ANDHRA PRADESH,28,18,19,0,2.82E+15,Bazarhathnoor
894, ,MARTURU,PRAKASAM,ANDHRA PRADESH,28,18,10,0,2.82E+15,Wankdi
911, ,PEDDARAVIDU,PRAKASAM,ANDHRA PRADESH,28,18,5,0,2.82E+15,Talamadugu
931, ,NAGULAUPALAPADU,PRAKASAM,ANDHRA PRADESH,28,18,30,0,2.82E+15,Jannaram
998, ,ONGOLE,PRAKASAM,ANDHRA PRADESH,28,18,43,0,2.82E+15,Khanapur
1030, ,PAMURU,PRAKASAM,ANDHRA PRADESH,28,18,50,0,2.82E+15,Mancherial
1099, ,SINGARAYAKONDA,PRAKASAM,ANDHRA PRADESH,28,18,53,0,2.82E+15,Huzurabad
1103, ,ZARUGUMALLI,PRAKASAM,ANDHRA PRADESH,28,18,46,0,2.82E+15,Bellampalle
1105, ,PODILE,PRAKASAM,ANDHRA PRADESH,28,18,24,0,2.82E+15,Bhimini
1114, ,PULLALACHERUVU,PRAKASAM,ANDHRA PRADESH,28,18,2,0,2.82E+15,Adilabad
1118, ,RACHERLA,PRAKASAM,ANDHRA PRADESH,28,18,36,0,2.82E+15,Tanoor
1158, ,SANTAMAGULURU,PRAKASAM,ANDHRA PRADESH,28,18,8,0,2.82E+15,Narnoor
1159, ,SANTANUTALAPADU,PRAKASAM,ANDHRA PRADESH,28,18,42,0,2.82E+15,Mamda
1202, ,TANGUTUR,PRAKASAM,ANDHRA PRADESH,28,18,45,0,2.82E+15,Kasipet
1224, ,TRIPURANTAKAM,PRAKASAM,ANDHRA PRADESH,28,18,3,0,2.82E+15,Jainad
1237, ,VELIGANDLA,PRAKASAM,ANDHRA PRADESH,28,18,39,0,2.82E+15,Dilawarpur
1278, ,VETAPALEM,PRAKASAM,ANDHRA PRADESH,28,18,28,0,2.82E+15,Tandur
1289, ,YADDANAPUDI,PRAKASAM,ANDHRA PRADESH,28,18,11,0,2.82E+15,Sirpur (T)
1301, ,VOLETIVARIPALEM,PRAKASAM,ANDHRA PRADESH,28,18,51,0,2.82E+15,Jaipur
199, ,GANDVID,RANGA REDDY,ANDHRA PRADESH,28,6,27,0,2.81E+15,Nennal
221, ,BASHEERABAD,RANGA REDDY,ANDHRA PRADESH,28,6,24,0,2.81E+15,Bhimini
232, ,BALANAGAR,RANGA REDDY,ANDHRA PRADESH,28,6,6,0,2.81E+15,Gudihathnoor
240, ,BANTWARAM,RANGA REDDY,ANDHRA PRADESH,28,6,21,0,2.81E+15,Neradigonda
285, ,KANDUKUR,RANGA REDDY,ANDHRA PRADESH,28,6,34,0,2.81E+15,Kubeer
312, ,CHEVELLA,RANGA REDDY,ANDHRA PRADESH,28,6,18,0,2.81E+15,Ichoda
368, ,DOMA,RANGA REDDY,ANDHRA PRADESH,28,6,26,0,2.81E+15,Vemanpalle
382, ,DHARUR,RANGA REDDY,ANDHRA PRADESH,28,6,20,0,2.81E+15,Boath
394, ,PATAN CHERUVU,RANGA REDDY,ANDHRA PRADESH,28,6,16,0,2.81E+15,Jainoor
403, ,KEESARA,RANGA REDDY,ANDHRA PRADESH,28,6,11,0,2.81E+15,Sirpur (T)
481, ,QUTUBULLAPUR,RANGA REDDY,ANDHRA PRADESH,28,6,7,0,2.81E+15,Inderavelly
482, ,MOINABAD,RANGA REDDY,ANDHRA PRADESH,28,6,17,0,2.81E+15,Utnoor
483, ,MOMANPET,RANGA REDDY,ANDHRA PRADESH,28,6,2,0,2.81E+15,Adilabad
484, ,MOMANPET,RANGA REDDY,ANDHRA PRADESH,28,6,3,0,2.81E+15,Jainad
556, ,UPPAL,RANGA REDDY,ANDHRA PRADESH,28,6,13,0,2.81E+15,Bejjur
571, ,GHATKESAR,RANGA REDDY,ANDHRA PRADESH,28,6,12,0,2.81E+15,Kouthala
615, ,HAYATHNAGAR,RANGA REDDY,ANDHRA PRADESH,28,6,14,0,2.81E+15,Kagaznagar
620, ,IBRAHIMPATAN,RANGA REDDY,ANDHRA PRADESH,28,6,35,0,2.81E+15,Bhainsa
759, ,MALKAJGIRI,RANGA REDDY,ANDHRA PRADESH,28,6,10,0,2.81E+15,Wankdi
807, ,KULKACHARLA,RANGA REDDY,ANDHRA PRADESH,28,6,28,0,2.81E+15,Tandur
810, ,NAWABPET,RANGA REDDY,ANDHRA PRADESH,28,6,3,0,2.81E+15,Jainad
811, ,NAWABPET,RANGA REDDY,ANDHRA PRADESH,28,6,19,0,2.81E+15,Bazarhathnoor
851, ,MAHESHWARAM,RANGA REDDY,ANDHRA PRADESH,28,6,33,0,2.81E+15,Tadwai
863, ,MANCHAL,RANGA REDDY,ANDHRA PRADESH,28,6,36,0,2.81E+15,Tanoor
892, ,MARPALLI,RANGA REDDY,ANDHRA PRADESH,28,6,1,0,2.81E+15,Tamsi
897, ,MEDCHAL,RANGA REDDY,ANDHRA PRADESH,28,6,8,0,2.81E+15,Narnoor
935, ,PATAN CHERUVU,RANGA REDDY,ANDHRA PRADESH,28,6,4,0,2.81E+15,Bela
939, ,SERILINGAMPALLI,RANGA REDDY,ANDHRA PRADESH,28,6,5,0,2.81E+15,Talamadugu
1002, ,PARGI,RANGA REDDY,ANDHRA PRADESH,28,6,29,0,2.81E+15,Tiryani
1079, ,PEDDEMUL,RANGA REDDY,ANDHRA PRADESH,28,6,22,0,2.81E+15,Sirpur
1111, ,PUDUR,RANGA REDDY,ANDHRA PRADESH,28,6,30,0,2.81E+15,Jannaram
1164, ,SAROORNAGAR,RANGA REDDY,ANDHRA PRADESH,28,6,15,0,2.81E+15,Asifabad
1174, ,SHAHABAD,RANGA REDDY,ANDHRA PRADESH,28,6,31,0,2.81E+15,Kaddam (Peddur)
1176, ,SHAMIRPET,RANGA REDDY,ANDHRA PRADESH,28,6,9,0,2.81E+15,Kerameri
1177, ,SHAMSHABAD,RANGA REDDY,ANDHRA PRADESH,28,6,32,0,2.81E+15,Sarangapur
1178, ,SHANKARPALLE,RANGA REDDY,ANDHRA PRADESH,28,6,4,0,2.81E+15,Bela
1201, ,TANDUR,RANGA REDDY,ANDHRA PRADESH,28,6,23,0,2.81E+15,Rebbana
1283, ,VIKARABAD,RANGA REDDY,ANDHRA PRADESH,28,6,19,0,2.81E+15,Bazarhathnoor
1318, ,YACHARAM,RANGA REDDY,ANDHRA PRADESH,28,6,37,0,2.81E+15,Mudhole
1322, ,YELAL,RANGA REDDY,ANDHRA PRADESH,28,6,25,0,2.81E+15,Dahegaon
129, ,BHAMINI,SRIKAKULAM,ANDHRA PRADESH,28,11,3,0,2.81E+15,Jainad
145, ,VANGARA,SRIKAKULAM,ANDHRA PRADESH,28,11,17,0,2.81E+15,Utnoor
147, ,SITAMPETA,SRIKAKULAM,ANDHRA PRADESH,28,11,2,0,2.81E+15,Adilabad
160, ,AMUDALAVALASA,SRIKAKULAM,ANDHRA PRADESH,28,11,30,0,2.81E+15,Jannaram
275, ,BURJA,SRIKAKULAM,ANDHRA PRADESH,28,11,26,0,2.81E+15,Vemanpalle
281, ,SOMPETA,SRIKAKULAM,ANDHRA PRADESH,28,11,12,0,2.81E+15,Kouthala
283, ,VAJRAPUKOTTURU,SRIKAKULAM,ANDHRA PRADESH,28,11,13,0,2.81E+15,Bejjur
393, ,MELIYAPUTTI,SRIKAKULAM,ANDHRA PRADESH,28,11,6,0,2.81E+15,Gudihathnoor
402, ,KAVITI,SRIKAKULAM,ANDHRA PRADESH,28,11,11,0,2.81E+15,Sirpur (T)
434, ,ECHCHERLA,SRIKAKULAM,ANDHRA PRADESH,28,11,38,0,2.81E+15,Lokeswaram
458, ,GANGUVARI SIGADAM,SRIKAKULAM,ANDHRA PRADESH,28,11,29,0,2.81E+15,Tiryani
499, ,REGIDI AMADALAVALASA,SRIKAKULAM,ANDHRA PRADESH,28,11,18,0,2.81E+15,Ichoda
527, ,SRIKAKULAM,SRIKAKULAM,ANDHRA PRADESH,28,11,34,0,2.81E+15,Kubeer
541, ,GARA,SRIKAKULAM,ANDHRA PRADESH,28,11,33,0,2.81E+15,Tadwai
617, ,HIRAMANDALAM,SRIKAKULAM,ANDHRA PRADESH,28,11,15,0,2.81E+15,Asifabad
623, ,ICHCHAPURAM,SRIKAKULAM,ANDHRA PRADESH,28,11,10,0,2.81E+15,Wankdi
634, ,JALUMURU,SRIKAKULAM,ANDHRA PRADESH,28,11,24,0,2.81E+15,Bhimini
677, ,KANCHILI,SRIKAKULAM,ANDHRA PRADESH,28,11,9,0,2.81E+15,Kerameri
715, ,PONDURU,SRIKAKULAM,ANDHRA PRADESH,28,11,35,0,2.81E+15,Bhainsa
745, ,KOTABOMMALI,SRIKAKULAM,ANDHRA PRADESH,28,11,23,0,2.81E+15,Rebbana
750, ,TEKKAL,SRIKAKULAM,ANDHRA PRADESH,28,11,21,0,2.81E+15,Neradigonda
772, ,PALKONDA,SRIKAKULAM,ANDHRA PRADESH,28,11,16,0,2.81E+15,Jainoor
794, ,KOTTURU,SRIKAKULAM,ANDHRA PRADESH,28,11,4,0,2.81E+15,Bela
825, ,KUSUMALA,SRIKAKULAM,ANDHRA PRADESH,28,11,8,0,2.81E+15,Narnoor
830, ,LAVERU,SRIKAKULAM,ANDHRA PRADESH,28,11,36,0,2.81E+15,Tanoor
954, ,NANDIGAM,SRIKAKULAM,ANDHRA PRADESH,28,11,14,0,2.81E+15,Kagaznagar
961, ,NARASANNAPETA,SRIKAKULAM,ANDHRA PRADESH,28,11,31,0,2.81E+15,Kaddam (Peddur)
1023, ,PALASA,SRIKAKULAM,ANDHRA PRADESH,28,11,7,0,2.81E+15,Inderavelly
1037, ,PATAPATNAM,SRIKAKULAM,ANDHRA PRADESH,28,11,5,0,2.81E+15,Talamadugu
1096, ,SANTBOMMALI,SRIKAKULAM,ANDHRA PRADESH,28,11,22,0,2.81E+15,Sirpur
1107, ,POLAKI,SRIKAKULAM,ANDHRA PRADESH,28,11,32,0,2.81E+15,Sarangapur
1125, ,RAJAM,SRIKAKULAM,ANDHRA PRADESH,28,11,28,0,2.81E+15,Tandur
1147, ,RANASTHAL,SRIKAKULAM,ANDHRA PRADESH,28,11,37,0,2.81E+15,Mudhole
1157, ,SANTAKAVITI,SRIKAKULAM,ANDHRA PRADESH,28,11,27,0,2.81E+15,Nennal
1161, ,SARAVAKOTA,SRIKAKULAM,ANDHRA PRADESH,28,11,20,0,2.81E+15,Boath
1165, ,SARUBUJJILI,SRIKAKULAM,ANDHRA PRADESH,28,11,25,0,2.81E+15,Dahegaon
1292, ,VIRAGATTAM,SRIKAKULAM,ANDHRA PRADESH,28,11,1,0,2.81E+15,Tamsi
64, ,SABBAVARAM,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,21,0,2.81E+15,Neradigonda
102, ,ACHCHUTAPURAM,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,38,0,2.81E+15,Lokeswaram
161, ,ANAKAPALLE,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,31,0,2.81E+15,Kaddam (Peddur)
162, ,ANANDAPURAM,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,23,0,2.81E+15,Rebbana
163, ,ANANTAGIRI,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,5,0,2.81E+15,Talamadugu
168, ,ARAKU VALLEY,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,4,0,2.81E+15,Bela
179, ,CHODAVARAM,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,32,0,2.81E+15,Sarangapur
189, ,RAVIKAMATAM,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,16,0,2.81E+15,Jainoor
204, ,ELAMANCHILI,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,39,0,2.81E+15,Dilawarpur
253, ,BHIMUNIPATNAM,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,25,0,2.81E+15,Dahegaon
272, ,BUCHCHAYYAPETA,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,33,0,2.81E+15,Tadwai
313, ,CHIDIKADA,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,18,0,2.81E+15,Ichoda
340, ,CHINTAPALLI,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,9,0,2.81E+15,Kerameri
364, ,DEVARAPALLE,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,19,0,2.81E+15,Bazarhathnoor
376, ,MAKAVARAPALEM,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,35,0,2.81E+15,Bhainsa
432, ,DUMBRIGUDA,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,3,0,2.81E+15,Jainad
444, ,G.MADUGULA,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,8,0,2.81E+15,Narnoor
449, ,GAJUVAKA,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,29,0,2.81E+15,Tiryani
503, ,ROLUGUNTA,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,15,0,2.81E+15,Asifabad
505, ,HUKUMPETA,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,6,0,2.81E+15,Gudihathnoor
509, ,KINTADA KOTOPADU,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,20,0,2.81E+15,Boath
552, ,MADUGULA,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,17,0,2.81E+15,Utnoor
572, ,GOLUGONDA,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,11,0,2.81E+15,Sirpur (T)
573, ,GOLUGONDA,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,13,0,2.81E+15,Bejjur
592, ,GUDEM KOTHA VEEDHI,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,10,0,2.81E+15,Wankdi
685, ,KASIMKOTA,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,36,0,2.81E+15,Tanoor
785, ,KOTAURATLA,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,34,0,2.81E+15,Kubeer
800, ,KOYYURU,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,11,0,2.81E+15,Sirpur (T)
902, ,MUNAGAPAKA,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,37,0,2.81E+15,Mudhole
903, ,MUNCHINGIPATTU,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,1,0,2.81E+15,Tamsi
946, ,NAKKAPALLI,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,40,0,2.81E+15,Nirmal
971, ,NARSIPATNAM,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,14,0,2.81E+15,Kagaznagar
973, ,NATAVARAM,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,12,0,2.81E+15,Kouthala
1000, ,PADERU,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,6,0,2.81E+15,Gudihathnoor
1001, ,PADERU,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,7,0,2.81E+15,Inderavelly
1016, ,PADMANABHAM,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,24,0,2.81E+15,Bhimini
1035, ,PARAVADA,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,30,0,2.81E+15,Jannaram
1039, ,PAYAKARAOPETA,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,41,0,2.81E+15,Laxmanchanda
1060, ,PEDDA GANTYADA,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,28,0,2.81E+15,Tandur
1065, ,PEDDABAYALU,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,2,0,2.81E+15,Adilabad
1082, ,PENDURTI,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,22,0,2.81E+15,Sirpur
1143, ,RAMBILLI,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,43,0,2.81E+15,Khanapur
1166, ,SARVASIDDHI RAYAVARAM,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,42,0,2.81E+15,Mamda
1297, ,VISAKHAPATNAM RURAL,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,26,0,2.81E+15,Vemanpalle
1298, ,VISAKHAPATNAM URBAN,VISHAKHAPATNAM,ANDHRA PRADESH,28,13,26,0,2.81E+15,Vemanpalle
56, ,BHOGAPURAM,VIZIANAGARAM,ANDHRA PRADESH,28,12,34,0,2.81E+15,Kubeer
138, ,GARUGUBILLI,VIZIANAGARAM,ANDHRA PRADESH,28,12,5,0,2.81E+15,Talamadugu
149, ,SRUNGAVARAPUKOTA,VIZIANAGARAM,ANDHRA PRADESH,28,12,25,0,2.81E+15,Dahegaon
174, ,BOBBILI,VIZIANAGARAM,ANDHRA PRADESH,28,12,10,0,2.81E+15,Wankdi
186, ,DENKADA,VIZIANAGARAM,ANDHRA PRADESH,28,12,33,0,2.81E+15,Tadwai
193, ,GARIVIDI,VIZIANAGARAM,ANDHRA PRADESH,28,12,20,0,2.81E+15,Boath
219, ,BADANGI,VIZIANAGARAM,ANDHRA PRADESH,28,12,14,0,2.81E+15,Kagaznagar
233, ,BALIJIPETA,VIZIANAGARAM,ANDHRA PRADESH,28,12,9,0,2.81E+15,Kerameri
271, ,BONDAPALLI,VIZIANAGARAM,ANDHRA PRADESH,28,12,23,0,2.81E+15,Rebbana
291, ,PACHIPENTA,VIZIANAGARAM,ANDHRA PRADESH,28,12,12,0,2.81E+15,Kouthala
344, ,CHIPURUPALLE,VIZIANAGARAM,ANDHRA PRADESH,28,12,21,0,2.81E+15,Neradigonda
361, ,DATTIRAJERU,VIZIANAGARAM,ANDHRA PRADESH,28,12,16,0,2.81E+15,Jainoor
362, ,DATTIRAJERU,VIZIANAGARAM,ANDHRA PRADESH,28,12,17,0,2.81E+15,Utnoor
377, ,MAKKUVA,VIZIANAGARAM,ANDHRA PRADESH,28,12,7,0,2.81E+15,Inderavelly
448, ,GAJAPATINAGARAM,VIZIANAGARAM,ANDHRA PRADESH,28,12,19,0,2.81E+15,Bazarhathnoor
460, ,MERAKAMUDIDAM,VIZIANAGARAM,ANDHRA PRADESH,28,12,16,0,2.81E+15,Jainoor
473, ,JIYYAMMAVALASA,VIZIANAGARAM,ANDHRA PRADESH,28,12,4,0,2.81E+15,Bela
522, ,SITANAGARAM,VIZIANAGARAM,ANDHRA PRADESH,28,12,8,0,2.81E+15,Narnoor
540, ,GANTYADA,VIZIANAGARAM,ANDHRA PRADESH,28,12,24,0,2.81E+15,Bhimini
600, ,GUMMA LAKSHM|PURAM,VIZIANAGARAM,ANDHRA PRADESH,28,12,2,0,2.81E+15,Adilabad
609, ,GURLA,VIZIANAGARAM,ANDHRA PRADESH,28,12,22,0,2.81E+15,Sirpur
635, ,JAMI,VIZIANAGARAM,ANDHRA PRADESH,28,12,29,0,2.81E+15,Tiryani
741, ,KOMARADA,VIZIANAGARAM,ANDHRA PRADESH,28,12,1,0,2.81E+15,Tamsi
749, ,SALLUR,VIZIANAGARAM,ANDHRA PRADESH,28,12,11,0,2.81E+15,Sirpur (T)
792, ,KOTTAVALASA,VIZIANAGARAM,ANDHRA PRADESH,28,12,28,0,2.81E+15,Tandur
815, ,VEPADA,VIZIANAGARAM,ANDHRA PRADESH,28,12,26,0,2.81E+15,Vemanpalle
823, ,KURUPAM,VIZIANAGARAM,ANDHRA PRADESH,28,12,3,0,2.81E+15,Jainad
826, ,LAKKAVARAPUKOTA,VIZIANAGARAM,ANDHRA PRADESH,28,12,27,0,2.81E+15,Nennal
868, ,MENTADA,VIZIANAGARAM,ANDHRA PRADESH,28,12,18,0,2.81E+15,Ichoda
872, ,NELLIMARLA,VIZIANAGARAM,ANDHRA PRADESH,28,12,31,0,2.81E+15,Kaddam (Peddur)
934, ,PARVATIPURAM,VIZIANAGARAM,ANDHRA PRADESH,28,12,6,0,2.81E+15,Gudihathnoor
1117, ,PUSAPATIREGA,VIZIANAGARAM,ANDHRA PRADESH,28,12,32,0,2.81E+15,Sarangapur
1134, ,RAMABHADRAPURAM,VIZIANAGARAM,ANDHRA PRADESH,28,12,13,0,2.81E+15,Bejjur
1207, ,TERLAM,VIZIANAGARAM,ANDHRA PRADESH,28,12,15,0,2.81E+15,Asifabad
1300, ,VIZIANAGARAM,VIZIANAGARAM,ANDHRA PRADESH,28,12,30,0,2.81E+15,Jannaram
45, ,HANMAKONDA,WARANGAL,ANDHRA PRADESH,28,9,24,0,2.81E+15,Bhimini
133, ,CHITYALA,WARANGAL,ANDHRA PRADESH,28,9,10,0,2.81E+15,Wankdi
151, ,ALLIKODUR,WARANGAL,ANDHRA PRADESH,28,9,45,0,2.81E+15,Kasipet
212, ,ATMAKUR,WARANGAL,ANDHRA PRADESH,28,9,23,0,2.81E+15,Rebbana
218, ,BACHCHANNAPET,WARANGAL,ANDHRA PRADESH,28,9,3,0,2.81E+15,Jainad
223, ,DHARMASAGARAM,WARANGAL,ANDHRA PRADESH,28,9,6,0,2.81E+15,Gudihathnoor
228, ,GISGONDA,WARANGAL,ANDHRA PRADESH,28,9,36,0,2.81E+15,Tanoor
255, ,BHUPALPALLI,WARANGAL,ANDHRA PRADESH,28,9,11,0,2.81E+15,Sirpur (T)
306, ,CHENNARAOPET,WARANGAL,ANDHRA PRADESH,28,9,38,0,2.81E+15,Lokeswaram
307, ,CHENNARAOPET,WARANGAL,ANDHRA PRADESH,28,9,41,0,2.81E+15,Laxmanchanda
311, ,CHERIAL,WARANGAL,ANDHRA PRADESH,28,9,1,0,2.81E+15,Tamsi
327, ,DUGGONDI,WARANGAL,ANDHRA PRADESH,28,9,22,0,2.81E+15,Sirpur
390, ,MADDURU,WARANGAL,ANDHRA PRADESH,28,9,2,0,2.81E+15,Adilabad
396, ,ETURUNAGARAM,WARANGAL,ANDHRA PRADESH,28,9,14,0,2.81E+15,Kagaznagar
397, ,EVARUPPAL,WARANGAL,ANDHRA PRADESH,28,9,30,0,2.81E+15,Jannaram
418, ,DORNAKAL,WARANGAL,ANDHRA PRADESH,28,9,51,0,2.81E+15,Jaipur
467, ,MOGULLAPALLI,WARANGAL,ANDHRA PRADESH,28,9,9,0,2.81E+15,Kerameri
471, ,JANGAON,WARANGAL,ANDHRA PRADESH,28,9,28,0,2.81E+15,Tandur
500, ,REGONDA,WARANGAL,ANDHRA PRADESH,28,9,19,0,2.81E+15,Bazarhathnoor
508, ,KHANAPUR,WARANGAL,ANDHRA PRADESH,28,9,38,0,2.81E+15,Lokeswaram
568, ,GHANPUR(MULUG),WARANGAL,ANDHRA PRADESH,28,9,12,0,2.81E+15,Kouthala
569, ,GHANPUR(STATION),WARANGAL,ANDHRA PRADESH,28,9,5,0,2.81E+15,Talamadugu
579, ,GOVINDARAOPET,WARANGAL,ANDHRA PRADESH,28,9,17,0,2.81E+15,Utnoor
597, ,GUDUR,WARANGAL,ANDHRA PRADESH,28,9,40,0,2.81E+15,Nirmal
614, ,HASANPARTI,WARANGAL,ANDHRA PRADESH,28,9,7,0,2.81E+15,Inderavelly
691, ,KESAMUDRAM,WARANGAL,ANDHRA PRADESH,28,9,46,0,2.81E+15,Bellampalle
726, ,KODAKANDLA,WARANGAL,ANDHRA PRADESH,28,9,31,0,2.81E+15,Kaddam (Peddur)
762, ,NEKKONDA,WARANGAL,ANDHRA PRADESH,28,9,42,0,2.81E+15,Mamda
788, ,KOTHAGUDEM,WARANGAL,ANDHRA PRADESH,28,9,39,0,2.81E+15,Dilawarpur
820, ,KURAVI,WARANGAL,ANDHRA PRADESH,28,9,50,0,2.81E+15,Mancherial
832, ,LINGAL GHANPURAM,WARANGAL,ANDHRA PRADESH,28,9,29,0,2.81E+15,Tiryani
850, ,MAHBU,WARANGAL,ANDHRA PRADESH,28,9,47,0,2.81E+15,Kotapalle
869, ,MULUG,WARANGAL,ANDHRA PRADESH,28,9,18,0,2.81E+15,Ichoda
875, ,PARVATGIRI,WARANGAL,ANDHRA PRADESH,28,9,43,0,2.81E+15,Khanapur
884, ,MANGAPET,WARANGAL,ANDHRA PRADESH,28,9,15,0,2.81E+15,Asifabad
890, ,MARIPEDA,WARANGAL,ANDHRA PRADESH,28,9,49,0,2.81E+15,Luxettipet
