State,District,Semi Critical Block,Critical Block,Over Exploited Block
,,-,-,Guzliamparai
,,-,-,Oddanchattram
,,-,-,Reddiarchattiram
,,-,-,Sanarpatti
,,-,-,Thoppampatti
,,-,-,Vadamadurai
,,-,-,Vedasandur
,Erode,Perundurai,Bhavanisagar,Ammapet-E
,,T.N.Palayam,Satyamangalam,Andhiyur
,,,Thalavadi,Nambiyur
,,,-,-
,,,-,-
,,,-,-
,Kancheepuram,St. Thomas Mount,Sittamur,Lattur
,,Thiruporur,Thirukalunkundram,Uthiramerur
,,Acharapakkam,-,
,,,-,
,Karur,Aravakurichi,,Kadavur
,,K.R.Puram,-,Thanthoni
,,-,-,
,,,-,
,Krishnagiri,Hosur,,Burgur
,,Kaveripattinam,-,Mathur
,,Shoolagiri,-,Uthangarai
,,,-,Veppanapalli
,,,-,
,Madurai,T.Kallupatti,Allanganullur,Chellampatti
,,Thirumangalam,-,Sedapatti
,,Thiruparunkundram,-,Usilampatti
,,-,-,
,,-,-,
,Nagapattinam,Myladuthurai,,Kollidam
,,-,-,Kuttalam
,,-,-,Sirkazhi
,,-,-,Sembanarkoil
,Namakkal,Kabilarmalai,Malasamutharam,Erumapatti
,,Mohanur,Paramathi,Namagiripettai
,,Thiruchengode,,Puduchatram
,,,,Rasipuram
,,,-,Sendamangalam
,,-,-,Vennandur
,,,,Namakkal
,,,,Pallipalayam
,Perambalur,-,-,Alathur
,,-,,Perambalur
,,-,-,Veppanthattai
,,-,-,Veppur
,Pudukkottai,Thiruvarankulam,-,-
,,,-,-
,,,-,-
,Ramanathapuram,Mandapam,Thirupullani,-
,,Ramanathapuram,,
,Salem,Kolathur_S,Kadayampatti,Attur-S
,,Sankari,,Ayothiapattinam
,,Tharamangalam,,Gangavalli
,,,,Konganapuram
,,,,Magudanchavadi
,,,,Mecheri
,,,-,Nangavalli
,,-,-,Omalur
,,,,P.N.Palayam
,,-,-,Panamarathupatti
,,,,Salem
,,-,-,Thalaivasal
,,-,-,Valapadi
,,-,-,Veerapandi
,Sivagangai,S.Pudur,-,-
,Thanjavur,Mudukkur,Ammapet,
,,Thiruvaiyaru,,
,,Thiruvonam,-,Kumbakonam
,,-,-,Thiruppanandal
,,-,-,Thiruvidaimaruthur
,,-,-,
,Theni,-,Bodinaikkanur,Andipatti
,,-,Cumbum,Uthamapalayam
,,-,Theni,Chinnamanur
,,-,,Myladumparai
,,-,,Periyakulam
,Tiruchirappalli,,Musiri,Manappari
,,,-,Tathaiyangarpettai
,,-,-,Thuraiyur
,,-,-,Uppliyapuram
,Tirunelveli,Alankulam,,Melneelithanallur
,,,,Radhapuram
,,,-,Sankarankoil
,,,-,Valliyur
,Tiruvallur,Sholavaram,Kadambathur,
,,Tiruvallur,Poonamalle,
,Tiruvannamalai,Annakkavur,Arni (West),Chengan
,,Arni (East),Javadi Hill,Kalasapakkam
,,Cheyyar,,Kilpennathur
,,Chetpet,,Polur
,,Vembakkam,,Pudupalayam
,,,-,Thandarampattu
,,-,-,Thiruvalankadu
,,-,-,Thurinjapuram
,,,,Vandavasi
,Tiruvarur,Nannilam,Kodavasal,Valangaiman
,,Needamangalam,,
,Tuticorin,Karunkulam,Pudur,Kayathar
,,Tiruchendur,,Kovilpatti
,,,,Ottapidaram
,,,,Satankulam
,,,,Tuticorin
,,,,Udangudi
,,,,Vilathikulam
,Vellore,Alangayam,Nemili,Allangayam
,,Kaveripakkam,,Anaicut
,,Wallajah,,Arcot
,,,,Gudiyatham
,,,,Jolarpet
,,-,-,K.V.Kuppam
,,-,-,Kandili
,,-,-,Kanniyambadi
,,-,-,Katpadi
,,-,-,Madanur
,,-,-,Nattrampalli
,,-,-,Pernampet
,,-,-,Sholinghur
,,,,Timiri
,,-,-,Tiruppathur
,,-,-,Vellore
,Villupuram,Chinnasalem,Kallakurichi,Gingee
,,Kanai,Thirunavalur,Kandamangalam
,,Thiyagadurgam,Vanur,Kolianur
,,Tirukovilur,,Mailam
,,,,Marakanam
,,,-,Melmalaiyanur
,,,,Mugaiyur
,,-,-,Olakkur
,,,,Rishivandhiyam
,,,,Sankarapuram
,,-,-,Tiruvennainallur
,,-,-,Ulundurpet
,,-,-,Vallam
,,-,-,Vikravandi
,Virudhunagar,Sivakasi,Watrap,Rajapayalam
,,Srivilliputhur,,-
Uttar Pradesh,Agra,Akola,,Shamshabad
,,Bah,-,Barauli Ahir
,,Bichpuri,-,
,,Etmadpur,-,
,,Fatehabad,-,
,,Khandauli,-,
,Aligarh,Atrauli,,-
,,Khair,-,-
,Ambedkar Nagar,Katehari,,
,,,Karchhana,-
,Auraiya,Bidhuna,-,-
,Azamgarh,Palhani,,
,,Rani ki Sarai,,
,,,-,-
,Baghpat,Baghpat,Chaprauli,Binauli
,,-,Khekra,Pilana
,Ballia,Bairia,,-
,Bareilly,Budhanpur (Seohara,-,-
,,Bhutah,-,-
,,Fatehganj,Noorpur,-
,,Nawabganj,-,-
,,Ramnagar,-,
,,Shergarh,-,
,Bijnor,Kiratpur,-,Jalilpur
,Budaun,Dataganj,Dahigawan,Ambiapur
,,Usawan,Islam Nagar,Asafpur
,,-,Miaon,Bisauli
,,,,Jagat
,,-,-,Junawai
,,,,Rajpura
,,,,Sahaswan
,,,,Salarpur
,,,,Wazirganj
,Buland Sahar,Gulaothi,,-
,Deoria,Bankata,,
,,Deoria Sadar,,
,,Gauri Bazar,,
,,Rudrapur,,
,Etah,Jalesar,,Kasganj
,,Nidholi Kalan,,Marehra
,,,,Sakeet
,Faizabad,,Haringteenganj,
,Farrukhabad,Mohamadabad,Kamalganj,Barhpur
,Fatehpur,Airawan,,
,,Deomai,,
,Firozabad,Madanapur,Firozabad,
,,Shikohabad,,
,,Tundla,,
,Ghaziabad,Hapur,,
,,Loni,,
,Gonda,Padri Kripal,,
,Hardoi,Harpalpur,,
,,Madhoganj,,
,,Mallawan,,
,Hathras,Hassain,Hathras,Sadabad
,,,,Sahpau
,,,,Sasni
,Jaunpur,Jalalpur,,
,,Kerakat,,
,Jyotiba Phule Nagar,Joya,,Gajraula
,,,,Gangeshwari
,,,,Hasanpur
,Kannauj,Jalalabad,,
,,Kannauj,,
,,Talgram,,
,Kanpur Nagar,Shivrajpur,,
,Kaushambhi,Chail,,
,Kushi Nagar,Kasaya,,
,,Sukrauli,,
,Lalitpur,Bar,,
,,Talbehat,,
,Lucknow,Bakshi Ka Talab,,Mal
,,Kakori,,
,,Malihabad,,
,,Sarojini Nagar,,
,Manipri,Bamahal,,
,Mathura,Baldeo,,Nohjhil
,,Chhata,,
,,Mat,,
,,Mathura,,
,,Raya,,
,Maunath Bhanjan,Mohammadabad,,
,Moradabad,Asmoli,,Bahjoi
,,Bilari,,Dingerpur
,,Dilari,,Sambhal
,,Pawansa,,
,Muzaffar Nagar,Kairana,,Shahpur
,,Kandhala,,Un
,,Khatauli,,
,,Shamli,,
,,Thanabhawan,,
,Raibareli,Bachharawan,Lalganj,
,,Kheron,Satawan,
,,Maharajganj,,
,,Rahi,,
,,Saraini,,
,Rampur,,,Chamraua
,Saharanpur,Deoband,,Gangoh
,,Nagal,,Nakur
,,Punwarka,,Nanauta
,Shahjahanpur,,Kalan,
,Sitapur,Aliya,,
,,Gondalamau,,
,Unnao,Bangarmau,,
,,Hilauli,,
Uttaranchal,Haridwar,Bahadrabad,,Bhagwanpur
,,Gurukul Narsen,--,Laksar
,,Roorkee,--,--
West Bengal,Burdwan,Bhatar,--,--
,,Ketugram I,,
,,Memari II,,
,,Magalkote,,
,,Manteswar,,
,,Purbasthali II,,
,Birbhum,Murarai II,,
,,Nalhati II,,
,,Rampurhat II,,
,,Nanoor,,
,Hugli,Goghat I,,
,,Pandua,,
,Malda,Harishchandrapur-Ii,,
,,Kaliachak-I,,
,Medinipur (E),Moyna,,
,Medinipur (W),Daspur-II,,
,Mursidabad,Barwan,BharatpurII,--
,,Berhampur,,
,,Bhagabangola I,,
,,Bhagabangola II,,
,,Bharatpur I,,
,,Domkal,,
,,Hariharpara,,
,,Jalangi,,
,,Lalgola,,
,,Murjiaganj,,
,,Nabagram,,
,,Nowda,,
,,Raninagar I,,
,,Sagardighi,,
,,Suti II,,
,Nadia,Chapra,,
,,Hanskhali,,
,,Karimpur I,,
,,Karimpur II,,
,,Tehatta I,,
,,Tehatta II,,
Daman and Diu,Diu,-,-,Diu
,Daman,Daman,-,
Lakshadweep,Agatti,Agatti,,
,Amini,Amini,,
,Kavaratti,Kavaratti,,
Pondicherry,UT of Puducherry,,, Puducherry
