State,District,Semi Critical Block,Critical Block,Over Exploited Block
,,Nellore rural(NC),,
,,Podalakur(NC),,
,,T.P. Gudur,,
,,Venkatagiri,,
,,Vinjamur,,
,Nizamabad,Balkonda(C),Kammarpally,Armoor(C)
,,Birkur©,Nagireddypet,Balkonda(NC)
,,Bodhan©,Nandipet(C),Banswada(NC)
,,Lingampet,Sirikond,Bheemgal
,,Madnoor,,Bhiknoor
,,Morthad©,,Bichkunda
,,Navipet(NC),,Dharpally
,,Nizamsagar(NC),,Dichpally(NC)
,,Pitlam,,Domakonda
,,Renjal,,Jakranpally
,,Sadashivnagar,,Kamareddy
,,Yedpally(NC),,Kotagiri(NC)
,,,,Makloor(NC)
,,,,Morthad(NC)
,,,,Nizamabad(NC)
,,,,Vailpoor(NC)
,,,,Varni(C)
,,,,Yedpally(C)
,Prakasam,Ardhaveedu,Cumbum,Bestavaripeta
,,Cheemakurthy,,Dornala
,,J.Panguluru(NC),,Giddaluru
,,Kanigiri,,Markapuram
,,Komarolu,,Martur
,,Tarlupadu,,Peddaraveedu
,,Veligandla,,Pullacheruvu (NC)
,,Yaddanapudi©,,Racherla
,,,,Talluru
,,,,Tripurantakam
,,,,Yerragondapalem
,Ranga Reddy,Mominpet,Ganded,Shankarpally
,,Nawabpet,Pargi,Medchal
,,Hayathnagar,,Shamirpet
,,Saroommagar,,Keesara
,,Dharur,,Moinabad
,,Peddamul,,Doma
,,Kulakcherla,,Shabad
,,Yacharam,,Shamshabad
,,,,Maheshwaram
,,,,Kandukur
,,,,Ibrahimpatnam
,,,,Manchal
,Vijaynagaram,Cheepurupalli,,
,,Pusapatirega,,
,,Bhogapuram(NC),,
,Vishakhapatnam,Munagapaka,,
,Warangal,Geesugonda©,Geesugonda(NC),Bachannapet
,,Mahabubabad(NC),Narsampet(NC),Cherial
,,Mogullapally,,Devaruppula
,,Nekkonda,,Dharmasagar
,,Sangem(NC),,Duggondi(NC)
,,Wardhannapet ©,,Jangaon
,,,,Kodakandla
,,,,Lingala ghanpur
,,,,Maddur
,,,,Maripeda(NC)
,,,,Narmetta
,,,,Narsimhulapet(NC)
,,,,Nellikudur(NC)
,,,,Parvatagiri(NC)
,,,,Palakurthy
,,,,Raghunathpally
,,,,Rayaparthy
,,,,Regonda(NC)
,,,,Stn Ghanpur
,,,,Thorrur
,,,,Wardhannapet(NC)
,,,, Zaffergadh
,West godavari,Chagallu,Chintalapudi,Denduluru(NC)
,,KamavarapuKota,Devarapalli,Eluru(NC)
,,Tadepalligudem(NC),Dwarakatirumala,Gopalapuram
,,Tallapudi,Nallajarla,Jangareddigudem
,,,,Kovvuru
,,,,Koyyalagudem
,,,,Lingapalem
,,,,Nidadavolu
,,,,Pedavegi
,,,,T.Narsapuram
Chhattisgarh,Bilaspur,Belha,,
,Dhamtari,Dhamtari,,
,Durg,Balod,,
,,Dhamdha,,
,,Durg,,
,,Gurur,,
,,Patan,,
,,Saja,,
Delhi,East,,,East
,,,,
,New Delhi,,,New Delhi
,,,,
,North East,,,North East
,,,,
,North West,,,North West
,,,,
,South,,,South
,,,,
,,,,
,South West,,,South West
,,,,
,,,,
,West,,,West
Gujarat,Ahmedabad,Barvala,Detroj Rampura,City - Dascroi
,,Mandal,Sanand,Dholka
,,Bavla,-,-
,,Viramgam,-,-
,,,,
,Amreli,Amreli,-,-
,,Babra,-,-
,,Bagasara,-,-
,,Khambha,-,-
,,Lathi,-,-
,,Savarkundla,-,-
,,,,
,Anand,Khambhat,,
,,,,
,Banaskantha,Danta,Amirgadh,Deodar
,,,Deesa,Dhanera
,,,-,Tharad
,,,-,Vadgam
,,,-,Kankrej
,,,-,Palanpur
,,,,
,Bharuch,Amod,Bhavnagar,-
,,Jhaghadiya,,
,,,,
,Bhavnagar,Botad,,
,,Ghogha,,
,,Sihor,,
,,Talaja,,
,,,,
,Dohad,Devgadh baria,,
,,Dhanpur,,
,,,,
,Gandhinagar,,-,Dehgam
,,,-,Gandhinagar
,,,-,Kalol
,,,-,Mansa
,,,,
,Jamnagar,JamJodhpur,,
,,Jodiya,,
,,Kalawad,,
,,Okhamandal,-,-
,,,,
,Junagadh,Bhesan,Manavadar,Mangrol
,,Junagadh,Vanthali,
,,Keshod,,
,,Kodinar,,
,,Mendarada,,
,,Sutrapada,,
,,Veraval,,
,,Visavadar,-,
,,,,
,Kachchh,Abdasa,Rapar,Anjar
,,Bhuj,,Bhachau
,,Mundra,,Mandavi
,,Nakhatrana,,
,,-,-,
,Kheda,Balasinor,Mahemdabad,-
,,Kapadvanj,-,-
,,Kathlal,-,-
,,,-,-
,Mahesana,-,Vadnagar,Bechraji
,,-,-,Kadi
,,-,-,Kheralu
,,-,-,Mahesana
,,-,-,Satlasna
,,-,-,Unjha
,,-,-,Vijapur
,,-,-,Visnagar
,,,,
,Panchmahals,Ghoghamba,,
,,Kalol,,
,,Khanpur,,
,,Lunawada,,
,,Monava Hadaf,,
,,Santrampur,,
,,,,
,Patan,-,-,Chanasma
,,-,-,Patan
,,-,-,Sidhpur
,,,,
,Porbandar,Kutiyana,,Porbandar
,,Ranavav,,
,,-,-,
,Rajkot,Dhoraji,Gondal,
,,Jam Kandorana,,
,,Jasdan,,
,,Lodhika,,
,,Morbi,,
,,Paddhari,,
,,Rajkot,,
,,Upleta,,
,,,,
