,District,Recharge from Rainfall,Recharge From Other Sources,Recharge from Rainfall,Recharge From Other Sources,Total ,,, Irrigation ,Domestic & Industrial Water Supply ,Total ,Projected demand for Domestic and Industrial uses  upto 2025 ,Net Ground Water Availability for Future Irrigation use ,Stage of Ground Water Development (%) 
,Patiala,44007,79988,9392,32670,166056,16606,149451,288631,4348,292979,6675,-145855,196
,Ropar,18731,13350,4327,9215,45623,3794,41829,43775,2384,46159,3191,-5136,110
,Mohali,19496,4665,4263,2113,30538,3054,27484,23576,4618,28194,5535,-1626,103
,Sangrur,40154,76431,9016,19456,145057,14506,130551,366396,3031,369427,4445,-240290,283
,Tarn Taran,27149,62516,7297,19040,116002,11600,104402,187566,2664,190230,4217,-87381,182
,,,,,,,,,,,,,,
Rajasthan,Ajmer,27610,1489,0,6412,35511,3305,32206,41547,4691,46238,4691,0,144
,Alwar,57442,3380,7575,11154,79551,6382,73169,121552,9566,131118,9595,399,179
,Banswara,10540,1050,0,14171,25761,2696,23066,9231,1961,11192,2853,10982,49
,Baran,36263,5759,279,9666,51967,4804,47163,52596,3938,56534,4475,5562,120
,Barmer,25196,622,0,1435,27253,2524,24729,23901,6766,30666,6847,2117,124
,Bharatpur,36864,2580,1672,8134,49250,4314,44936,45839,6378,52218,6569,396,116
,Bhilwara,33176,2310,0,10945,46431,4476,41955,50198,3980,54178,3980,0,129
,Bikaner,24004,235,0,1026,25265,1263,24001,25867,8374,34241,9033,4011,143
,Bundi,22293,2754,0,17217,42265,5970,36295,33669,2711,36380,3472,5328,100
,Chittorgarh,25898,1833,0,7546,35276,3417,31860,43227,1379,44606,1379,0,140
,Churu,14101,0,0,0,14101,705,13395,9445,2408,11854,4398,3096,88
,Dausa,21700,1186,343,3145,26373,2620,23753,37886,2487,40374,2487,0,170
,Dholpur,21430,1383,0,5499,28312,2382,25930,30706,2526,33233,2576,1596,128
,Dungarpur,7986,1211,0,4906,14103,1291,12812,8396,882,9278,4416,0,72
,Ganganagar,2711,14301,669,23118,40798,4080,36719,15617,545,16163,1033,20068,44
,Hanumangarh,2954,6950,316,12429,22649,2265,20384,15716,705,16421,1107,3561,81
,Jaipur ,58832,2331,3333,6742,71238,6685,64552,108111,25686,133797,25733,979,207
,Jaisalmer,6721,16,0,55,6792,633,6159,9356,2893,12249,2961,1874,199
,Jalore,40787,1114,0,4383,46285,4086,42200,77952,4090,82042,4191,969,194
,Jhalawar,36546,1968,0,5657,44171,2948,41223,47601,1583,49183,1940,479,119
,Jhunjhunu,21173,213,3498,1466,26350,2350,24000,45604,8571,54175,8604,330,226
,Jodhpur,38126,656,2139,2031,42952,4239,38713,73164,10415,83579,11303,4761,216
,Karauli,31897,1162,0,4254,37313,3617,33697,41177,5064,46241,4984,1239,137
,Kota,31458,3089,0,22142,56689,5359,51330,42097,4891,46988,6251,7776,92
,Nagaur,51178,517,4161,2219,58075,5649,52426,81186,17893,99079,18953,4120,189
,Pali,27262,848,0,4749,32859,3229,29630,31436,2747,34184,3048,959,115
,Pratapgarh,11064,926,0,3532,15521,1436,14086,16884,597,17481,982,399,124
,Rajsamand,8495,786,0,2592,11873,1187,10686,10270,1525,11795,1525,63,110
,Sawai Madhopur,33916,1499,0,4222,39636,3594,36042,37408,7947,45355,8375,209,126
,Sikar,26968,294,4006,880,32148,3037,29111,37052,5842,42894,6238,972,147
,Sirohi,26211,878,0,3249,30338,2854,27485,29952,1108,31061,1484,1126,113
