,District,Recharge from Rainfall,Recharge From Other Sources,Recharge from Rainfall,Recharge From Other Sources,Total ,,, Irrigation ,Domestic & Industrial Water Supply ,Total ,Projected demand for Domestic and Industrial uses  upto 2025 ,Net Ground Water Availability for Future Irrigation use ,Stage of Ground Water Development (%) 
,Pudukkottai,78395,52619,13699,14296,159009,15901,143108,29139,2299,31438,2427,111542,22
,Ramanathapuram,26400,32551,8191,8712,75854,7585,68268,4856,3115,7970,3540,59872,12
,Salem,24115,19454,5155,9450,58174,5817,52356,80527,5105,85632,2866,-31037,164
,Sivagangai,26386,58885,6826,17446,109543,10954,98589,14120,1596,15716,1782,82687,16
,Thanjavur,32512,40275,5469,9416,87673,8767,78905,79511,2421,81933,2752,-3358,104
,Theni,9217,14943,8315,7211,39686,3969,35718,28804,1973,30778,2104,4809,86
,Thiruvallur,28054,48973,2042,1864,80933,8093,72840,28804,20485,49289,21133,22902,68
,Thoothukudi,17598,29460,6071,7377,60507,6051,54456,19506,4030,23536,4565,30385,43
,Tirunelveli,21648,63404,9167,4482,98702,9870,88832,48721,2941,51662,3262,36849,58
,Tiruppur,19141,14243,5060,10805,49250,4925,44325,52448,3801,56248,3676,-11799,127
,Tiruvarur,14476,12448,1977,4410,33311,3331,29980,20077,1343,21420,1527,8376,71
,Tirvannamalai,40015,66707,5000,9760,121482,12148,109334,87993,4444,92437,4972,16369,85
,Trichy,22721,45849,5931,6121,80622,8062,72560,49777,7339,57115,2727,20056,79
,Vellore,26695,29555,4974,4643,65867,6587,59280,53833,8311,62144,9304,-3857,105
,Villupuram,51439,100300,6558,8178,166475,16648,149828,148243,5691,153935,6453,-4869,103
,Virudhunagar,16818,22390,6888,8925,55021,5502,49519,32236,1950,34186,2481,14802,69
,,,,,,,,,,,,,,
Tripura,West Tripura ,48816,0,21602,25363,95781,8084,87697,7134,3104,10238,8463,72100,12
,South Tripura ,37250,0,21170,17420,75840,7027,68813,1980,1725,3705,5622,61211,5
,North Tripura,20457,0,15954,9242,45653,3613,42039,174,1366,1540,4073,37792,4
,Dhalai ,18277,0,15317,7797,41390,4139,37251,30,745,775,1800,35421,2
,,,,,,,,,,,,,,
Uttar Pradesh,Agra,48347,12250,6827,23124,90549,8335,82214,87858,5693,93551,9317,5192,114
,Aligarh,50778,13115,7430,24593,95916,9108,86808,65379,5920,71299,9842,12409,82
,Allahabad,74231,23835,0,25782,123848,6317,117531,83812,11320,95132,15587,21956,81
,Ambedkar Nagar,47963,24800,10664,24983,108410,5420,102989,53578,5016,58595,7932,41479,57
,Amethi,54563,23534,3287,29977,111360,10580,100781,63720,5286,69006,8841,28220,68
,Amroha (J P Nagar),46911,8080,6880,12072,73944,7394,66549,69268,2878,72146,5033,4314,108
,Auraiya,28211,12461,0,26951,67624,3381,64242,41471,2777,44249,3954,18817,69
,Azamgarh,69175,23619,16826,30234,139854,6993,132861,73309,13186,86495,23148,37525,65
,Baghapat,29823,6355,0,12872,49050,3681,45369,42401,2199,44600,3598,934,98
,Bahraich,95364,5868,5581,10979,117793,10243,107549,52440,6798,59238,12951,42159,55
,Ballia,47366,15753,10390,20126,93634,4682,88953,52184,6739,58924,10707,26062,66
,Balrampur,73415,5612,0,10331,89359,4468,84891,38075,4219,42294,5583,41232,50
,Banda,53101,9729,0,8661,71491,3945,67546,34094,2804,36898,3926,29526,55
,Barabanki,91221,38900,18426,70014,218560,10928,207632,126319,7211,133529,10714,70599,64
,Bareilly,135274,22746,0,32447,190467,16071,174396,97066,6785,103851,10476,66853,60
,Basti.,68119,12767,14739,14931,110557,9512,101044,74544,4831,79375,7291,19209,79
,Bijnor,113990,9571,12418,14144,150124,12605,137519,87228,5524,92752,9402,45971,67
,Budaun,85934,10064,9611,16806,122415,11037,111378,88593,5799,94392,8359,17042,85
,Bulandshahar,61151,35717,7471,62993,167331,15466,151866,118443,5953,124396,8403,26314,82
,Chandauli,36585,22595,0,16261,75441,3772,71669,22954,4298,27251,8868,39848,38
,Chitrakoot,23836,1162,0,1492,26490,1995,24495,14043,2155,16197,4206,7586,66
,Deoria,64979,12674,9515,19333,106500,5325,101175,71517,7505,79022,10006,19652,78
,Etah,32177,12040,5513,21601,71331,7133,64198,53131,3550,56682,5638,6878,88
,Etawah,36418,13401,2330,25666,77814,3891,73924,31472,2522,33995,3276,39175,46
,Faizabad,43060,13025,9073,15620,80778,8078,72700,41401,3810,45211,4731,26568,62
,Farrukhabad,42839,6295,4413,11604,65151,3258,61894,46022,3394,49417,5225,10647,80
,Fatehpur,67645,21328,0,30810,119784,8255,111528,100681,5500,106181,9581,4085,95
,Firozabad,35467,13865,5719,25338,80390,7344,73046,81486,4055,85541,7144,5266,117
,G.B.Nagar,19100,8500,2796,20515,50911,5091,45820,39872,2772,42644,3134,3944,93
,Ghaziabad,13444,5484,1730,10938,31596,1580,30016,24457,7109,31567,12456,2452,105
,Ghazipur,61401,25380,11594,34249,132624,7539,125085,77844,7770,85615,12708,34970,68
,Gonda,79389,9364,18395,16039,123187,6159,117028,75828,6834,82662,9582,31618,71
,Gorakhpur,121911,12732,30277,20613,185533,9277,176256,88964,7181,96145,13661,73632,55
,Hamirpur,31678,5400,7263,12448,56788,5253,51535,30091,2952,33042,4944,16732,64
,Hapur,21638,7009,2631,13209,44488,4449,40039,32979,2670,35649,3645,5045,89
,Hardoi,94150,39799,7540,49433,190921,9546,181375,116701,7579,124280,11907,52767,69
,Hathras,24475,12004,3954,22089,62522,5041,57482,45783,2802,48585,3871,10278,85
,Jalaun,71566,28678,9862,84756,194862,9743,185119,48576,4395,52971,6333,130211,29
,Jaunpur,70473,26135,0,39515,136123,11816,124306,101176,9427,110604,15990,14904,89
,Jhansi,36077,4246,7258,16940,64522,3226,61296,37904,3802,41706,4380,19012,68
,Kannauj,34481,9287,3845,20444,68057,3403,64654,39804,3238,43042,4635,24210,67
,Kanpur Dehat,53789,14055,0,23613,91458,4573,86885,55181,3793,58974,5565,26139,68
,Kanpur Nagar,48714,11846,0,22374,82934,4147,78787,56225,10375,66601,24734,0,85
,Kasganj,27819,12595,4718,18766,63898,5807,58090,55147,2658,57805,4206,4026,100
,Kaushambhi,37495,7631,1472,8897,55494,5549,49945,42184,3298,45482,5051,6575,91
,Kushi Nagar,89472,32475,11618,41692,175257,8763,166495,71076,7644,78720,14300,81120,47
,Lakhimpur Kheri,144565,37590,39274,78139,299568,14978,284590,169197,8240,177437,15233,100160,62
,Lalitpur,27587,4824,5604,13695,51709,2585,49124,27215,3056,30271,3512,18397,62
,Lucknow,37945,11883,0,17872,67700,3385,64315,39879,4232,44110,8375,16062,69
,Maharajganj,56730,20125,14733,26478,118066,5903,112163,63577,5760,69337,10069,38516,62
,Mahoba,13128,1222,0,3614,17965,1796,16168,16639,1496,18135,2675,23,112
,Mainpuri,43035,16922,7561,32565,100084,8501,91583,74933,3612,78546,5280,14890,86
,Mathura,40265,24647,7051,44494,116457,11646,104812,92384,4003,96387,6190,22239,92
,Maunath Bhanjan,30417,6603,6224,7594,50838,2542,48296,29635,4125,33759,7289,11372,70
,Meerut,47580,27422,5742,45769,126513,11353,115160,77433,3381,80814,4636,33560,70
,Mirzapur,39704,11376,0,12274,63354,5535,57819,30919,5150,36070,10388,16889,62
,Moradabad,56377,12133,6964,15468,90941,8245,82697,65493,4668,70161,7744,13956,85
,Muzaffarnagar,51273,17292,9560,30232,108357,10218,98139,60527,4718,65246,7644,36019,66
,Pilibhit,90623,18995,0,26764,136382,12452,123930,76128,3846,79974,6034,41768,65
,Pratapgarh,72982,16173,12766,20501,122422,6778,115645,128377,34556,162933,44922,28204,141
,Raebarely,42628,15568,7884,23772,89852,4493,85359,57189,4943,62132,8313,19857,73
,Rampur,47689,10053,5521,14577,77840,7784,70056,70689,4014,74703,7026,7053,107
,Saharanpur,71478,24900,12021,37966,146365,13284,133081,171402,5523,176925,8804,0,133
,Sambhal,45853,7644,5124,12481,71103,7110,63993,65636,4095,69732,6459,1718,109
,Sant Kabeer Nagar,50201,6318,12692,8673,77885,6683,71202,44391,3377,47768,5628,21183,67
,Sant Ravidas Nagar,24920,8916,0,10577,44413,4441,39972,33608,3373,36980,6390,473,93
,Shahjahnpur,103531,15180,10931,20921,150562,13295,137267,76348,5268,81616,7772,53147,59
,Shamli,20672,8905,4384,13102,47063,4706,42357,56694,2636,59331,3841,447,140
,Shrawasti,28955,3416,6988,5875,45234,3124,42110,27376,2239,29615,4315,10419,70
,Siddhrth Nagar,104481,13407,22838,19393,160120,14848,145272,87581,5727,93308,9986,47705,64
,Sitapur,124772,38248,9141,74188,246350,12317,234032,155285,9190,164475,14167,64580,70
,Sonbhadra,18494,3239,0,1420,23153,2047,21106,7620,1480,9100,6706,6780,43
,Sultanpur,52243,27371,2932,32534,115081,10539,104541,70793,5300,76092,9222,24526,73
,Unnao,92496,35570,7583,56837,192486,17043,175443,108387,6163,114550,10001,57054,65
,Varanasi,37096,7270,0,9628,53994,5399,48595,36338,5590,41928,11852,3402,86
,,,,,,,,,,,,,,
Uttaranchal,Dehradun,28304,1344,5185,1782,36614,156,36458,4292,215,4507,4061,28105,12
,Hardwar,22058,15348,5932,30839,74177,3074,71103,38104,1411,39515,2294,30705,56
,Nainital,7713,546,1176,983,10418,76,10341,4369,87,4456,241,5731,43
,Udham Singh Nagar,51388,8455,7703,15279,82825,1187,81639,63566,1271,64837,2747,15326,79
,,,,,,,,,,,,,,
West Bengal,Malda,98062,26189,8413,21102,153766,13854,139912,49349,6129,55478,9423,81140,40
,Nadia,101137,45261,17298,44931,208627,17533,191095,168092,7923,176016,10348,12654,92
,Kochbihar,186567,72428,4735,11049,274778,27478,247301,37722,4327,42049,5827,203752,17
,North 24 Parganas,101900,29335,7576,23718,162530,14959,147570,78061,14044,92104,18559,50951,62
,Dakshin Dinajpur,72030,19662,6151,17206,115049,11505,103544,45253,2562,47814,3276,55015,46
,Uttar Dinajpur,123119,31595,7188,23230,185131,13839,171293,74202,4600,78802,7237,89853,46
,Bankura,91833,27820,20483,29169,169305,15568,153736,56995,4586,61581,7181,89560,40
,Purulia,46951,13027,7942,4650,72569,6612,65957,1456,4489,5944,6220,58281,9
,Jalpaiguri,204758,61381,3840,11850,281830,28183,253647,7132,4278,11410,5751,240764,4
,Barddhaman,185096,52724,12416,32365,282601,24719,257882,82336,9383,91719,15393,160154,36
,Murshidabad,135790,44175,17016,45125,242107,19848,222259,165522,9871,175392,16623,40114,79
,Birbhum,76316,20237,7257,14917,118728,11049,107679,32297,3825,36121,7537,67846,34
,Howrah,14807,5416,1165,6865,28254,1879,26375,4561,2149,6710,5507,16307,25
,Darjeeling,37197,10226,871,1279,49573,4957,44616,799,1436,2235,1956,41861,5
,Hoogly,91552,26354,6476,22506,146888,13994,132895,52750,7038,59787,10471,69674,45
,Paschim Medinipur,231961,70757,11561,38487,352767,32843,319924,95196,7714,102910,12536,212193,32
,Purba Medinipur,53801,15030,1902,9873,80606,8061,72545,20226,2960,23186,4216,48102,32
,,,,,,,,,,,,,,
Andaman and Nicobar Island,Andaman Nicobar,26183,Nil,4621,Nil,30804,2156,28648,63,1208,1271,1375,27209,4.44
,,,,,,,,,,,,,,
Chandigarh,Chandigarh UT,1545,62,488,61,2156,216,1940,0,0,0,,,0
,,,,,,,,,,,,,,
Dadra And Nagar Haveli,UT of Dadra & Nagar Haveli,4265,347,941,663,6216,311,5905,724,563,1287,997,4185,22
,,,,,,,,,,,,,,
Daman and Diu,Daman,978,122,0,159,1259,63,1196,938,125,1063,235,23,89
,Diu,458,31,0,61,550,55,495,509,68,577,80,0,117
,,,,,,,,,,,,,,
Lakshadweep,Agatti,-,-,-,-,108,72,35,,28,28,-,-,78
,Amini,-,-,-,-,103,69,34,,28,28,-,-,82
,Androth,-,-,-,-,193,130,62,,41,41,-,-,66
,Chetlat,-,-,-,-,41,28,14,,9,9,-,-,63
,Kadmat,-,-,-,-,124,83,41,,20,20,-,-,48
,Kalpeni,-,-,-,-,91,61,30,,16,16,-,-,54
,Kiltan,-,-,-,-,65,43,22,,14,14,-,-,67
,Kavaratti,-,-,-,-,144,96,48,,41,41,-,-,85
,Minicoy,-,-,-,-,186,122,64,,38,38,-,-,59
,,,,,,,,,,,,,,
Pondicherry,Puducherry,6561,1925,575,2337,11398,1140,10258,11838,2392,14230,2732,-,139
,Karaikal,2090,4047,241,880,7258,729,6529,537,388,924,353,5642,14
,Mahe,246,0,24,0,270,27,243,0,150,150,154,89,62
,Yanam,saline,,,,,,,,,,,,
