"Country Code","Country","State Code","State","District","Net Groundwater Availability","Projected demand for Domestic and Industrial uses upto 2025","Net Ground Water Availability for Future Irrigation use"
"01","INDIA","05","BIHAR","KHAGARIA","54792.68","975","37871.88"
"01","INDIA","05","BIHAR","KISHANGANJ","70725.47","991","53571.97"
"01","INDIA","05","BIHAR","LAKHISARAI","27769.55","535","17955.75"
"01","INDIA","05","BIHAR","MADHEPURA","62252.14","1177","32397.14"
"01","INDIA","05","BIHAR","MADUBANI","112947.56","2631","73245.66"
"01","INDIA","05","BIHAR","MUNGER","37367.06","808","27422.46"
"01","INDIA","05","BIHAR","MUZAFFARPUR","104989.72","2811","50758.72"
"01","INDIA","05","BIHAR","NALANDA","67248.04","1691","26161.34"
"01","INDIA","05","BIHAR","NAWADA","56870.07","1066","32932.52"
"01","INDIA","05","BIHAR","PATNA","104259.45","3419","64218.35"
"01","INDIA","05","BIHAR","PURNIA","115200.34","1914","64330.43"
"01","INDIA","05","BIHAR","ROHTAS","111651.32","1741","89951.02"
"01","INDIA","05","BIHAR","SAHARSA","59057.44","1115","44760.04"
"01","INDIA","05","BIHAR","SAMASTIPUR","115793.8","2499","60684.7"
"01","INDIA","05","BIHAR","SARAN","86538.16","2316","36511.06"
"01","INDIA","05","BIHAR","SHEIKHPURA","18789.8","375","12054.8"
"01","INDIA","05","BIHAR","SHEOHAR","16459.2","385","9774.8"
"01","INDIA","05","BIHAR","SITAMARHI","66344.01","2008","43840.01"
"01","INDIA","05","BIHAR","SIWAN","84841.68","1954","43514.28"
"01","INDIA","05","BIHAR","SUPAUL","85604.64","1306","62250.44"
"01","INDIA","05","BIHAR","VAISHALI","69471.7","2049","35102.11"
"01","INDIA","05","BIHAR","PASHCHIM CHAMPARAN","139614.88","2306","107498.08"
"01","INDIA","07","CHHATTISGARH","BASTAR","45048.11","2541.77","38631.25"
"01","INDIA","07","CHHATTISGARH","BIJAPUR","76621.76","688.18","75124.65"
"01","INDIA","07","CHHATTISGARH","BILASPUR","41102.44","4681.47","20898.31"
"01","INDIA","07","CHHATTISGARH","DANTEWARA","19055.64","765.93","17029.96"
"01","INDIA","07","CHHATTISGARH","DHAMTARI","46061.57","3130.64","9545.85"
"01","INDIA","07","CHHATTISGARH","DURG","26364.13","4825.31","4304.68"
"01","INDIA","07","CHHATTISGARH","JANJGIR-CHAMPA","37359.34","4218.96","21139.28"
"01","INDIA","07","CHHATTISGARH","JASHPUR","47219.17","2258.36","30130.96"
"01","INDIA","07","CHHATTISGARH","KANKER","85558.03","2165.72","62689.77"
"01","INDIA","07","CHHATTISGARH","KAWARDHA","45092.73","2161.27","20061.57"
"01","INDIA","07","CHHATTISGARH","KORBA","46651.17","4676.56","31475.33"
"01","INDIA","07","CHHATTISGARH","KOREA","50591.32","2913.54","37804.91"
"01","INDIA","07","CHHATTISGARH","MAHASAMUND","61743.05","4716.97","27495.98"
"01","INDIA","07","CHHATTISGARH","NARAYANPUR","25958.29","620.94","24954.15"
"01","INDIA","07","CHHATTISGARH","RAIGARH","40095.65","4548.32","17799.26"
"01","INDIA","07","CHHATTISGARH","RAIPUR","37245.61","6950.76","15393.34"
"01","INDIA","07","CHHATTISGARH","RAJNANDGAON","52148.9","3976.66","20494.26"
"01","INDIA","07","CHHATTISGARH","SURGUJA","44543.69","2757.41","31869.58"
"01","INDIA","10","DELHI","CENTRAL DELHI","139.91","113.66","16.54"
"01","INDIA","10","DELHI","EAST DELHI","517.99","455.94","32.54"
"01","INDIA","10","DELHI","NEW DELHI","224.99","146.88","5.57"
"01","INDIA","10","DELHI","NORTH DELHI","405.17","291.98","67.06"
"01","INDIA","10","DELHI","NORTH EAST DELHI","349.56","299.52","0"
"01","INDIA","10","DELHI","NORTH WEST DELHI","3018.2","1664.46","274.4"
"01","INDIA","10","DELHI","SOUTH DELHI","1223.68","2222.58","3.04"
"01","INDIA","10","DELHI","SOUTH WEST DELHI","3185.82","1605.63","118.89"
"01","INDIA","10","DELHI","WEST DELHI","1150.58","1537.08","52.98"
"01","INDIA","11","GOA","NORTH GOA","8818","2197","5028"
"01","INDIA","11","GOA","SOUTH GOA","5807","1706","3547"
"01","INDIA","12","GUJARAT","AHMEDABAD","55258.4","9597","10592"
"01","INDIA","12","GUJARAT","AMRELI","94796.8","3532","31711.45"
"01","INDIA","12","GUJARAT","ANAND","77708.48","6875","33642.28"
"01","INDIA","12","GUJARAT","BANASKANTHA","114273.13","7638","6622.84"
"01","INDIA","12","GUJARAT","BHARUCH","44342.94","2978","23003.24"
"01","INDIA","12","GUJARAT","BHAVNAGAR","107751.85","7561","35455.55"
"01","INDIA","12","GUJARAT","DANGS","6371.89","758","4172.39"
"01","INDIA","12","GUJARAT","DAHOD","36862.09","5547","17974.49"
"01","INDIA","12","GUJARAT","GANDHINAGAR","41414.79","3753","0"
"01","INDIA","12","GUJARAT","JAMNAGAR","94841.14","6033","31051.64"
"01","INDIA","12","GUJARAT","JUNAGARH","138618.3","9203","44506.7"
"01","INDIA","12","GUJARAT","KACHCHH","82396.68","5694","14989.28"
"01","INDIA","12","GUJARAT","KHERA","73664.47","7862","28634.37"
"01","INDIA","12","GUJARAT","MAHESANA","95072.91","6476","196.02"
"01","INDIA","12","GUJARAT","NARMADA","23073.5","2085","16575.9"
"01","INDIA","12","GUJARAT","NAVSARI","38767.51","3117","20896.91"
"01","INDIA","12","GUJARAT","PANCHMAHAL","81922.98","7007","50266.98"
"01","INDIA","12","GUJARAT","PATAN","26954.46","2495","0"
"01","INDIA","12","GUJARAT","PORBANDAR","19812.59","1618","4484.29"
"01","INDIA","12","GUJARAT","RAJKOT","153600.33","10416","47673.23"
"01","INDIA","12","GUJARAT","SABAR KANTHA","132060.82","7738","36008.62"
"01","INDIA","12","GUJARAT","SURAT","158030.47","8286","104021.97"
"01","INDIA","12","GUJARAT","SURENDRANAGAR","75437.99","3936","29313.99"
"01","INDIA","12","GUJARAT","TAPI","44643.44","1793","18750.53"
"01","INDIA","12","GUJARAT","VADODARA","121645.89","10566","46484.29"
"01","INDIA","12","GUJARAT","VALSAD","39423","3165","19917"
"01","INDIA","13","HARYANA","AMBALA","56306","4875","1675"
"01","INDIA","13","HARYANA","PANCHKULA","14553","377","5314"
"01","INDIA","13","HARYANA","FATEHABAD","63229","414","-52943"
"01","INDIA","13","HARYANA","BHIWANI","62121","2413.7","-43690"
"01","INDIA","13","HARYANA","HISAR","70178","610","-8422"
"01","INDIA","13","HARYANA","GURGAON","23827","2100","-6335"
"01","INDIA","13","HARYANA","MEWAT","21814","2092","4705"
"01","INDIA","13","HARYANA","FARIDABAD","17141","1228","1136"
"01","INDIA","13","HARYANA","PALWAL","46124","1494","-1465"
"01","INDIA","13","HARYANA","JHAJJAR","42462","221","7239"
"01","INDIA","13","HARYANA","JIND","102178","3123","-12093"
"01","INDIA","13","HARYANA","KAITHAL","53507","8238","-68845"
"01","INDIA","13","HARYANA","KARNAL","71946","1755","-15120"
"01","INDIA","13","HARYANA","KURUKSHETRA","51699","11093","-94516"
"01","INDIA","13","HARYANA","MAHENDRAGARH","25630","2596","1427"
"01","INDIA","13","HARYANA","PANIPAT","33281","794","-20860"
"01","INDIA","13","HARYANA","REWARI","30962","2068","1719"
"01","INDIA","13","HARYANA","ROHTAK","47795","1283","13227"
"01","INDIA","13","HARYANA","SIRSA","63678","849","-47922"
"01","INDIA","13","HARYANA","SONIPAT","80195","2169","-8474"
"01","INDIA","13","HARYANA","YAMUNANAGAR","51040","6554","-14161"
"01","INDIA","14","HIMACHAL PRADESH","INDAURA VALLEY","10892.94","647.17","4942.65"
"01","INDIA","14","HIMACHAL PRADESH","NURPUR VALLEY","11958.75","976.44","9505.56"
"01","INDIA","14","HIMACHAL PRADESH","BALH VALLEY","2605.08","933.85","1557.34"
"01","INDIA","14","HIMACHAL PRADESH","PAONTA VALLEY","6219.27","1239.38","4691.1"
"01","INDIA","14","HIMACHAL PRADESH","KALA AMB VALLEY","82.01","42.48","-8.05"
"01","INDIA","14","HIMACHAL PRADESH","NALAGARH VALLEY","8189.74","1916.03","4661.07"
"01","INDIA","14","HIMACHAL PRADESH","UNA","12844.41","1290.67","4503.63"
"01","INDIA","14","HIMACHAL PRADESH","HUM VALLEY","597.45","164.32","-33.01"
"01","INDIA","15","JAMMU AND KASHMIR","JAMMU","89389.24","9398.36","67897.88"
"01","INDIA","15","JAMMU AND KASHMIR","KATHUA","45691.77","4597.19","35625.58"
"01","INDIA","15","JAMMU AND KASHMIR","SRINAGAR","12352.63","9761.26","2327.37"
"01","INDIA","15","JAMMU AND KASHMIR","ANANTNAG","40522.62","13460.778","27027.34"
"01","INDIA","15","JAMMU AND KASHMIR","BARAMULA","51758.42","7996.1","43397.82"
"01","INDIA","15","JAMMU AND KASHMIR","BADGAM","32481.82","6302.07","26118.25"
"01","INDIA","15","JAMMU AND KASHMIR","PULWAMA","32101.114","5390.95","26680.16"
"01","INDIA","15","JAMMU AND KASHMIR","KUPWARA","26407.75","9562.16","16821.59"
"01","INDIA","15","JAMMU AND KASHMIR","UDHAMPUR","10686.79","4199.4","6479.89"
"01","INDIA","15","JAMMU AND KASHMIR","RAJAURI","9999.71","5694.216","4069.99"
"01","INDIA","15","JAMMU AND KASHMIR","PUNCH","11158.77","4364.34","6789.92"
"01","INDIA","15","JAMMU AND KASHMIR","DODA","8468.88","3672.09","4790.79"
"01","INDIA","15","JAMMU AND KASHMIR","KARGIL","3241.55","1064.99","2176.56"
"01","INDIA","15","JAMMU AND KASHMIR","LEH AND LADAKH","3449.55","1258.97","2184.59"
"01","INDIA","16","JHARKHAND","BOKARO","24718.48","1155","21182.98"
"01","INDIA","16","JHARKHAND","CHATRA","30384.12","620","22300.62"
"01","INDIA","16","JHARKHAND","DEVGARH","20666.59","767","17472.97"
"01","INDIA","16","JHARKHAND","DHANBAD","19970.38","926","17278.88"
"01","INDIA","16","JHARKHAND","DUMKA","30154.32","781","21679.57"
"01","INDIA","16","JHARKHAND","PURBI SINGHBHUM","29583.1","864","27026.35"
"01","INDIA","16","JHARKHAND","GARHWA","28938.33","786","26500.95"
"01","INDIA","16","JHARKHAND","GIRIDIH","42331.85","1447","38194.98"
"01","INDIA","16","JHARKHAND","GOODA","22973.74","785","20717.49"
"01","INDIA","16","JHARKHAND","GUMLA","47367.71","608","42156.21"
"01","INDIA","16","JHARKHAND","HAZARIBAGH","34224.78","994","32345.41"
"01","INDIA","16","JHARKHAND","JAMTARA","10727.74","449","8165.99"
"01","INDIA","16","JHARKHAND","KHUNTI","15861.94","309","12753.19"
"01","INDIA","16","JHARKHAND","KODARMA","8935.96","376","7087.34"
"01","INDIA","16","JHARKHAND","LATEHAR","22328.11","438","19493.61"
"01","INDIA","16","JHARKHAND","LOHARDAGA","18277.09","254","16786.09"
"01","INDIA","16","JHARKHAND","PAKUR","13104.97","531","11264.47"
"01","INDIA","16","JHARKHAND","PALAMU","33134.08","1116","27309.58"
"01","INDIA","16","JHARKHAND","RAMGARH","10661.81","543","8992.06"
"01","INDIA","16","JHARKHAND","RANCHI","40314.22","1135","33151.84"
"01","INDIA","16","JHARKHAND","SAHEBGANJ","23592.49","647","21424.49"
"01","INDIA","16","JHARKHAND","SARAIKELA","12351.41","547","11051.41"
"01","INDIA","16","JHARKHAND","SIMDEGA","29324.02","347","26912.52"
"01","INDIA","16","JHARKHAND","PASCHIM SINGHBHUMI","29224.74","860","27814.24"
"01","INDIA","17","KARNATAKA","BAGALKOT","40614","4966","7175"
"01","INDIA","17","KARNATAKA","BANGALORE RURAL","18924","2250","0"
"01","INDIA","17","KARNATAKA","BANGLORE URBAN","12568","6381","0"
"01","INDIA","17","KARNATAKA","BELGAUM","103143","10549","21655"
"01","INDIA","17","KARNATAKA","BELLARY","66305","6410","35378"
"01","INDIA","17","KARNATAKA","BIDAR","29137","3021","10070"
"01","INDIA","17","KARNATAKA","BIJAPUR","47960","8336","8378"
"01","INDIA","17","KARNATAKA","CHAMARAJANAGAR","37168","2915","10857"
"01","INDIA","17","KARNATAKA","CHIKBALLAPUR","29614","1501","250"
"01","INDIA","17","KARNATAKA","CHIKMAGALUR","55301","3490","29501"
"01","INDIA","17","KARNATAKA","CHITRADURGA","50067","4628","2641"
"01","INDIA","17","KARNATAKA","DAKSHIN KANNADA","32995","4215","8977"
"01","INDIA","17","KARNATAKA","DAVANGERE","56716","5007","8553"
"01","INDIA","17","KARNATAKA","DHARWAD","23832","4649","7096"
"01","INDIA","17","KARNATAKA","GADAG","24994","2741","3198"
"01","INDIA","17","KARNATAKA","GULBARGA","63896","7650","39213"
"01","INDIA","17","KARNATAKA","HASSAN","72768","3915","30560"
"01","INDIA","17","KARNATAKA","HAVERI","52072","4816","15435"
"01","INDIA","17","KARNATAKA","KODAGU","25623","1889","18174"
"01","INDIA","17","KARNATAKA","KOLAR","32746","3438","0"
"01","INDIA","17","KARNATAKA","KOPPAL","54513","4131","28325"
"01","INDIA","17","KARNATAKA","MANDHYA","94004","4316","46407"
"01","INDIA","17","KARNATAKA","MYSORE","58410","6250","28623"
"01","INDIA","17","KARNATAKA","RAICHUR","83027","5111","54220"
"01","INDIA","17","KARNATAKA","RAMNAGAR","23168","6377","464"
"01","INDIA","17","KARNATAKA","SHIMOGA","90903","5877","61230"
"01","INDIA","17","KARNATAKA","TUMKUR","81606","6660","11414"
"01","INDIA","17","KARNATAKA","UDUPI","33761","3874","20048"
"01","INDIA","17","KARNATAKA","UTTAR KANNADA","52516","10920","24389"
"01","INDIA","17","KARNATAKA","YADGIR","34949","2841","22876"
"01","INDIA","18","KERALA","ALAPPUZHA","43161","9453","29815"
"01","INDIA","18","KERALA","ERNAKULAM","53872","13638","32533"
"01","INDIA","18","KERALA","IDUKKI","20043","4046","10481"
"01","INDIA","18","KERALA","KANNUR","46901","10999","27889"
"01","INDIA","18","KERALA","KASARGOD","33442","7180","9865"
