"Country Code","Country","State Code","State","District","Block","2004Status","2009Status","2011Status","2013Status"
"01","India","02","ANDHRA PRADESH","ADILABAD","TANUR","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","TIRYANI","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","UTNUR","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","VEMANAPALLE","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ADILABAD","WANKIDI","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","AGALI","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","AMADAGUR","","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","AMARAPURAM","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","ANANTAPUR","OVER_EXPLOITED","SEMI_CRITICAL","","CRITICAL"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","ATMAKURU","","SEMI_CRITICAL","","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","BATHALAPALLE","CRITICAL","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","BELUGUPPA","OVER_EXPLOITED","OVER_EXPLOITED","SEMI_CRITICAL","SAFE"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","BOMMANAHAL","SAFE","SAFE","SAFE","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","BRAHMASAMUDRAM","","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","BUKKAPATNAM","OVER_EXPLOITED","SEMI_CRITICAL","SEMI_CRITICAL","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","BUKKARAYASAMUDRAM","CRITICAL","SEMI_CRITICAL","","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","CHENNEKOTHAPALLE","SAFE","SAFE","SAFE","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","CHILAMATHUR","OVER_EXPLOITED","","","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","DHARMAVARAM","SEMI_CRITICAL","","SEMI_CRITICAL","SAFE"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","GANDLAPENTA","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","GARLADINNE","OVER_EXPLOITED","SEMI_CRITICAL","SEMI_CRITICAL","SAFE"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","GOOTY","","SEMI_CRITICAL","","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","GORENTLA","OVER_EXPLOITED","SEMI_CRITICAL","","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","GUDIBANDA","OVER_EXPLOITED","OVER_EXPLOITED","SEMI_CRITICAL","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","GUMMAGATTA","OVER_EXPLOITED","SEMI_CRITICAL","SEMI_CRITICAL","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","GUNTAKAL","SEMI_CRITICAL","","","SAFE"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","HINDUPUR","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","HIREHALLU HOSHAHALLI","OVER_EXPLOITED","","","CRITICAL"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","KADIRI","OVER_EXPLOITED","SEMI_CRITICAL","","SAFE"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","KALYANDURG","","SEMI_CRITICAL","OVER_EXPLOITED","CRITICAL"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","KAMBADUR","","SEMI_CRITICAL","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","KANAGANAPALLE","SEMI_CRITICAL","SEMI_CRITICAL","SEMI_CRITICAL","CRITICAL"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","KANEKALLU","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","KOTHACHERUVU","CRITICAL","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","KUDERU","","SEMI_CRITICAL","SEMI_CRITICAL","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","KUNDURPI","SEMI_CRITICAL","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","LEPAKSHI","SEMI_CRITICAL","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","MADAKASIRA","SEMI_CRITICAL","CRITICAL","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","MUDIGUBBA","OVER_EXPLOITED","","","SAFE"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","NALLACHERUVU","OVER_EXPLOITED","","","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","NALLAMADA","CRITICAL","","","SAFE"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","NAMBULIPULIKUNTA","CRITICAL","","","SAFE"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","NARPALA","OVER_EXPLOITED","SEMI_CRITICAL","SEMI_CRITICAL","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","OBULADEVARACHERUVU","CRITICAL","SEMI_CRITICAL","SEMI_CRITICAL","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","PAMIDI","CRITICAL","","","SAFE"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","PARAGI","OVER_EXPLOITED","CRITICAL","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","PEDDA PAPPURU","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","PEDDAPAPPUR","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","PEDDAVADUGURU","SEMI_CRITICAL","","","SAFE"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","PENUKONDA","","CRITICAL","SEMI_CRITICAL","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","PUTLUR","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","PUTTAPARTI","OVER_EXPLOITED","","SEMI_CRITICAL","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","RAMAGIRI","SEMI_CRITICAL","SEMI_CRITICAL","","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","RAPTADU","CRITICAL","CRITICAL","SEMI_CRITICAL","CRITICAL"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","RAYADURG","OVER_EXPLOITED","SEMI_CRITICAL","SEMI_CRITICAL","CRITICAL"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","ROLLA","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","RUDDAM","SEMI_CRITICAL","CRITICAL","CRITICAL","CRITICAL"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","SETTURU","OVER_EXPLOITED","SEMI_CRITICAL","","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","SINGANAMALA","CRITICAL","","","SAFE"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","SOMANDEPALLE","CRITICAL","SEMI_CRITICAL","SEMI_CRITICAL","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","ANANTHAPUR","TADIMARRI","CRITICAL","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
