State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Chhattisgarh,Bastar,2004,55.5,11.5,1.7,33.9,52.2,331.7,389.7,322.4,322.5,120.3,2.8,0,1644.2
Chhattisgarh,Bastar,2005,21.8,21.6,3.6,25.9,89.2,165.2,261.7,252.9,344.8,229.2,3.2,0,1419.1
Chhattisgarh,Bastar,2006,0,0,43.7,132,90,127.3,491,422,309.3,1.6,92.9,0,1709.8
Chhattisgarh,Bastar,2007,0,15.3,0,13.5,68.6,337,195.9,377.4,157.7,93.8,0,0,1259.2
Chhattisgarh,Bastar,2008,10,18.2,135.5,17.7,40.3,183.9,360.2,380.5,239.5,11.8,0.7,0,1398.3
Chhattisgarh,Bastar,2009,0,0,0,0,41.9,87.6,446.9,315.5,113,26,7.4,0,1038.3
Chhattisgarh,Bastar,2010,6.1,3.1,10.1,36,38.2,133.1,422.7,436.8,320.1,151.5,35.4,30.1,1623.2
Chhattisgarh,Bilaspur,2004,51.7,0.3,25.3,53.1,82.4,291.6,292.7,330.5,91.4,43.5,4.4,5.4,1272.3
Chhattisgarh,Bilaspur,2005,74.2,39.6,7.7,14,41.5,305.2,450.4,269.4,200.8,72.9,0,0,1475.7
Chhattisgarh,Bilaspur,2006,0,0,75.8,20.2,90.8,56.6,369.4,316.1,128.4,29.6,3.9,0.9,1091.7
Chhattisgarh,Bilaspur,2007,0,61.5,22.1,11.8,26.9,190.2,353.5,306.4,281.6,9.8,5.6,0,1269.4
Chhattisgarh,Bilaspur,2008,4,11.9,34.2,11.3,1.7,249.8,230.8,257.6,236.2,4.8,4.7,0,1047
Chhattisgarh,Bilaspur,2009,7.8,0,0,9.7,23.5,43.1,314.8,301.9,62.6,28,63.4,0,854.8
Chhattisgarh,Bilaspur,2010,3.3,3.5,0.1,6.3,19.6,51.5,300.3,250.5,273.7,36.4,7.3,21.4,973.9
Chhattisgarh,Dantewara,2004,N.A.,N.A.,N.A.,N.A.,N.A.,308.7,275.2,351.6,89.9,55,0,0,N.A.
Chhattisgarh,Dantewara,2005,19,0,0,1,17.3,165.8,295.8,210.2,347.1,121.5,0,0,1177.7
Chhattisgarh,Dantewara,2006,0,0,N.A.,N.A.,0,41.5,283.5,595.2,220.3,11,0,0,N.A.
Chhattisgarh,Dantewara,2007,0,2.5,0,5.3,0,104.8,301.7,398.2,511.3,361.8,0,0,1685.6
Chhattisgarh,Dantewara,2008,0,2,13,3.5,0,202,460.1,387.9,137.4,0.1,0,0,1206
