State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,
Manipur,Churachandpur,2004,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,
Manipur,Churachandpur,2005,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,
Manipur,Churachandpur,2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,
Manipur,Churachandpur,2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,
Manipur,Churachandpur,2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,
Manipur,Churachandpur,2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,
Manipur,Churachandpur,2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,
Manipur,Imphal,2004,5.2,0,20.2,380,152.4,190.8,168.8,171.6,142.9,93.9,10.9,2.1,1338.8,,,,,,,
Manipur,Imphal,2005,0,35.2,99.1,71,112.4,86.4,193.7,182.8,213.8,185.4,19.1,31.8,1230.7,,,,,,,
Manipur,Imphal,2006,0,37.4,1.9,70.1,205.8,169.6,152.9,67.5,94.8,2.3,30.7,13.2,846.2,,,,,,,
Manipur,Imphal,2007,0,184.7,6.6,158.5,256.7,220.2,129.1,89.8,156.9,140.6,49.7,0.2,1393.0,,,,,,,
Manipur,Imphal,2008,33.3,31.7,78.9,14.8,93.2,170.1,256,200.5,85.6,95.8,0.9,2,1062.8,,,,,,,
Manipur,Imphal,2009,0,22.5,40.1,74.4,105.3,108.1,183.1,203.4,113.9,152.1,5.2,0,1008.1,,,,,,,
Manipur,Imphal,2010,7.8,7,98.4,248.4,222.2,260.2,300.9,93,136.9,194.2,16.1,47.3,1632.4,,,,,,,
Manipur,Senapati,2004,N.A.,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,
Manipur,Senapati,2005,N.A.,0,N.A.,31.4,0,138.6,70.9,N.A.,N.A.,N.A.,N.A.,36,N.A.,,,,,,,
Manipur,Senapati,2006,0,0,2.4,180,453.7,271.4,245.1,81,209.9,15,14.4,0.5,1473.4,,,,,,,
Manipur,Senapati,2007,2.2,115.7,15,38.2,267.4,123,312.8,257.6,321.2,197.8,82.4,0,1733.3,,,,,,,
Manipur,Senapati,2008,0,5,29,30.8,106.2,275.8,14.2,329.4,279.6,19.2,0,12,1101.2,,,,,,,
Manipur,Senapati,2009,0,N.A.,70.6,21.2,111.2,104.9,192.6,N.A.,251.9,31.4,15,N.A.,N.A.,,,,,,,
Manipur,Senapati,2010,0,N.A.,0,N.A.,N.A.,N.A.,N.A.,N.A.,114,N.A.,N.A.,N.A.,N.A.,,,,,,,
