State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,,,,
Haryana,Ambala,2004,74.5,0,0,26.3,75.2,146,89.7,607.4,93.2,88.5,0,2.1,1202.9,,,,,,,,,,
Haryana,Ambala,2005,31.4,47.3,36.2,2.5,4.2,97.6,461.9,182.5,194.8,0,0,0,1058.4,,,,,,,,,,
Haryana,Ambala,2006,13,0,60.4,1.5,70.8,68.4,286.8,104.8,38.7,7.8,4.2,4.3,660.7,,,,,,,,,,
Haryana,Ambala,2007,0.4,136.4,107,11.3,12.3,98.5,107,203.1,58.6,1.2,0.5,2,738.3,,,,,,,,,,
Haryana,Ambala,2008,13.1,0.8,0,18.1,129.7,250.9,268,298.5,232.2,13,3.6,0,1227.9,,,,,,,,,,
Haryana,Ambala,2009,7.3,15.6,9.7,21,24.8,48.9,187.8,152.6,308.9,2.9,0.1,0,779.6,,,,,,,,,,
Haryana,Ambala,2010,7,10.9,0,0,17.9,81.5,496.2,161.9,300.9,5.7,1.9,39.8,1123.7,,,,,,,,,,
Haryana,Bhiwani,2004,12.6,0,0,14.6,30.2,42.8,13.3,235.8,11,65.3,0,1.1,426.7,,,,,,,,,,
Haryana,Bhiwani,2005,12.1,45.5,46.8,2.8,9,103,133.9,22.2,114.5,0,0,0,489.8,,,,,,,,,,
Haryana,Bhiwani,2006,0,0,28.6,3.8,40.5,52,157.3,24.8,43.2,5.7,1.2,7,364.1,,,,,,,,,,
Haryana,Bhiwani,2007,0,44.1,39.3,0,18.3,85.3,63.8,70.8,59.7,0,0,0,381.3,,,,,,,,,,
Haryana,Bhiwani,2008,0,0,0,23,118.6,185.6,109.1,240,75.8,2.5,7.6,0.3,762.5,,,,,,,,,,
Haryana,Bhiwani,2009,6.5,8.6,6.7,3.1,14,14.1,47.3,40.2,86.8,0,0.3,0.2,227.8,,,,,,,,,,
Haryana,Bhiwani,2010,9.4,8.3,0.2,0,0.7,17.2,144.8,128.5,123.5,0,1.1,7.4,441.1,,,,,,,,,,
Haryana,Faridabad,2004,19.5,0,0,49.5,30.8,63.5,21.4,293.5,0,156.3,0,0,634.5,,,,,,,,,,
Haryana,Faridabad,2005,15.1,33.2,32.3,14,14,63,243.2,49.8,127.4,0,0,0,592.0,,,,,,,,,,
Haryana,Faridabad,2006,0,0,32,0,15,0,125.6,25.2,71.4,0,0,0,269.2,,,,,,,,,,
Haryana,Faridabad,2007,N.A.,N.A.,N.A.,N.A.,N.A.,52.1,109.4,162,17.4,0,0,0,N.A.,,,,,,,,,,
Haryana,Faridabad,2008,7,0,N.A.,N.A.,N.A.,68.3,187.1,143.6,126.8,0,0,0,N.A.,,,,,,,,,,
Haryana,Faridabad,2009,0,2,0,0,1,6.5,42.7,100.3,197.6,5,0,0,355.1,,,,,,,,,,
Haryana,Faridabad,2010,0,18,N.A.,0,0,1.7,40.2,286,211.7,0,0,0,557.6,,,,,,,,,,
Haryana,Fatehabad,2004,15.5,2,0,12,40,80,0,103.3,19.8,12,0,1,285.6,,,,,,,,,,
Haryana,Fatehabad,2005,18,29.8,37.5,1.5,16,44,138.2,100,105.5,0,0,0,490.5,,,,,,,,,,
Haryana,Fatehabad,2006,0,0,48.3,0,45.8,54.5,75.3,21.7,77.3,0,0,0,322.9,,,,,,,,,,
