State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,
Andhra Pradesh, Khammam,2009,0,0,10.1,2.8,68.3,36.4,185.2,172.1,144.2,81.4,33.6,0,734.1,,,,,
Andhra Pradesh, Khammam,2010,29.5,4.7,2.2,23.8,134.2,153.6,615,304.6,303.6,120,67.5,45,1803.7,,,,,
Andhra Pradesh, Krishna,2009,0,0,0.8,0,105.1,36.1,87.2,175.7,154.8,75.6,99.1,1.7,736.1,,,,,
Andhra Pradesh, Krishna,2010,16.6,0,0,20.1,202.3,131.7,373.1,296.2,318.1,201.8,152.8,92.5,1805.2,,,,,
Andhra Pradesh, Kurnool,2009,0.1,0,12.8,0,67.5,88.6,24.7,88.5,227.3,197.2,57.8,3.4,767.9,,,,,
Andhra Pradesh, Kurnool,2010,4.1,0,0,18.8,41.4,91.7,194,208.5,124.5,80.6,48.2,11.4,823.2,,,,,
Andhra Pradesh, Medak,2009,0,0,0,6.6,21,52.3,64.3,157.6,142.7,41.2,13.8,4.6,504.1,,,,,
Andhra Pradesh, Medak,2010,9.7,13.5,0,5.5,5.3,83.8,337,269.9,199.6,95.2,18.3,0.6,1038.4,,,,,
Andhra Pradesh, Nellore,2009,0.1,0,0.1,0,28.5,33.2,40.3,111.6,66.9,49.6,465.7,109.6,905.6,,,,,
Andhra Pradesh, Nellore,2010,4.9,0,0,17.8,108.3,112.5,116.3,203.7,109.4,244.7,343.9,154.7,1416.2,,,,,
Andhra Pradesh, Nizamabad,2009,0,0,0.1,9.9,15.7,78.7,173.9,188.3,155.5,48,15.8,3.8,689.7,,,,,
Andhra Pradesh, Nizamabad,2010,8.4,30.3,0.9,7.3,0.5,104.1,299.2,303.8,245.4,157.5,34.9,0.4,1192.7,,,,,
Andhra Pradesh, Prakasam,2009,1.9,0,4.5,3.7,40.6,49.3,22.6,98.8,126.5,50.3,216.6,20.3,635.1,,,,,
Andhra Pradesh, Prakasam,2010,17.7,2,4.3,1,265.4,106.9,170.3,205.1,131.7,163.4,227.1,108.1,1403,,,,,
Andhra Pradesh, Rangareddy,2009,0,0,3.3,32.9,20.2,89.9,67,299.8,151.5,77.1,34.7,2.4,778.8,,,,,
Andhra Pradesh, Rangareddy,2010,9.6,3.2,0,13.9,21.2,162.2,272.4,286.6,205.4,99.4,31.7,4.8,1110.4,,,,,
Andhra Pradesh, Srikakulam,2009,0,0,10.2,7.2,26,99.3,215.9,162.5,145.4,122.6,85.2,0,874.3,,,,,
Andhra Pradesh, Srikakulam,2010,0.4,16.4,17.5,3.1,172.7,142.1,236.8,263,207.9,333,178.6,129,1700.5,,,,,
Andhra Pradesh, Vishakhapatnam,2009,0,0,6.3,6.6,24.3,94.9,132.7,92,171.6,116.9,89,0,734.3,,,,,
Andhra Pradesh, Vishakhapatnam,2010,13.6,0.1,2.1,27.5,173.1,156.3,321,167,188,203.5,287.4,163,1702.6,,,,,
Andhra Pradesh, Vizianagaram,2009,0,0,13.3,11.3,50.5,145.1,182.1,242.9,144.2,125,118,0,1032.4,,,,,
Andhra Pradesh, Vizianagaram,2010,46.2,9.6,14.8,5.5,128.9,179.9,293,234,245.9,189.6,167.1,133.4,1647.9,,,,,
Andhra Pradesh, Warangal,2009,0,0,0,0.9,22,50.6,123.7,149.2,180.4,81.1,46.9,0.4,655.2,,,,,
Andhra Pradesh, Warangal,2010,7.8,5.7,0,0,56.2,119.5,499.3,223.7,280.3,99.7,39.2,21.9,1353.3,,,,,
Andhra Pradesh, West Godavari,2009,0,0,1,0,53.3,23.9,157.9,135.8,197.9,51.5,131.2,0.6,753.1,,,,,
Andhra Pradesh, West Godavari,2010,38.3,0,0,35.7,170.1,177.1,373.6,316.9,266.4,206.2,203,113.4,1900.7,,,,,
Andhra Pradesh,Adilabad,2004,3.1,3.7,6.4,0,26.1,70.4,262.6,124.4,126.2,44.2,0,0,667.1,,,,,
Andhra Pradesh,Adilabad,2005,91.8,0.6,15.3,15.5,0,152.1,655.6,136.4,218.4,150.8,0,0,1436.5,,,,,
Andhra Pradesh,Adilabad,2006,0,0,19.9,23.3,65,93.5,261.8,363.6,336,35.3,34.3,0,1232.7,,,,,
Andhra Pradesh,Adilabad,2007,0,0,0.8,22.1,4.3,141.9,109.6,219.2,259.2,31.5,7.9,0,796.5,,,,,
Andhra Pradesh,Adilabad,2008,0,1.9,60.5,5.5,0,144.1,207.1,357.7,129,10.7,0.3,0,916.8,,,,,
Andhra Pradesh,Adilabad,2009,15.5,0,3.9,0,23.8,105,185.4,188.1,115.9,59.4,22.7,0.6,720.3,,,,,
Andhra Pradesh,Adilabad,2010,5.2,10,0.7,3.6,8.8,98.2,408,421.6,298.8,110.3,56.1,4,1425.3,,,,,
Andhra Pradesh,Anantapur,2004,10.8,0,6,34.9,124.2,11.9,105.5,22,158.5,78.3,12.4,0,564.5,,,,,
Andhra Pradesh,Anantapur,2005,1.4,9,3.9,32.3,79,52,135.8,134.5,142.9,181.9,36.1,10.9,819.7,,,,,
Andhra Pradesh,Anantapur,2006,0,0,38.4,8.3,86.8,81.1,27.3,11.4,80.4,67.5,92.4,1,494.6,,,,,
Andhra Pradesh,Anantapur,2007,0,0,0,1.5,13,171.4,63.1,119.9,182.6,115,8.1,15.3,689.9,,,,,
Andhra Pradesh,Anantapur,2008,0,25.2,116.7,0,63,61.7,108,124.2,193.7,130.3,42.1,2.2,867.1,,,,,
Andhra Pradesh,Anantapur,2009,0.4,0,2.7,6.3,77.5,50.8,10.2,100.9,203.1,64,66.6,2.8,585.3,,,,,
Andhra Pradesh,Anantapur,2010,26.9,0,0,47.1,106.2,75.1,109,172.6,75,76.4,162.2,3.3,853.8,,,,,
Andhra Pradesh,Chittor,2004,3.8,2.5,2.9,33.8,184.1,35.3,97.3,19.6,200.6,150.5,79.8,0,810.2,,,,,
Andhra Pradesh,Chittor,2005,0,27.1,13,59.4,78.8,105.3,109.1,155.5,203.3,365.2,286.2,141,1543.9,,,,,
Andhra Pradesh,Chittor,2006,1.5,0,48,20.6,80.6,123.4,17,96.8,141.5,161.2,115.1,38.9,844.6,,,,,
Andhra Pradesh,Chittor,2007,0,2.9,0,26.7,66.2,101.1,141.8,200.7,115.5,214.4,55.4,167.5,1092.2,,,,,
Andhra Pradesh,Chittor,2008,15.9,3.4,51.7,3.1,78.5,37.6,99.6,82.7,146.6,170.3,253.1,10.8,953.3,,,,,
Andhra Pradesh,Chittor,2009,1.3,0,0.3,5.1,54.8,63.4,31.8,154.2,148.7,47.5,188.1,59.2,754.4,,,,,
Andhra Pradesh,Chittor,2010,2.1,0,1.3,17.3,107.1,94.7,162.3,150.1,123,101.8,248.9,70.9,1079.5,,,,,
Andhra Pradesh,Cuddapah,2004,0,0.2,8.7,26.3,146.1,22.8,134,12.9,181.7,74.5,25.3,0,632.5,,,,,
Andhra Pradesh,Cuddapah,2005,0,4.4,5,26.6,39.4,37.8,125.9,96.2,69,333.9,91.8,39.6,869.6,,,,,
Andhra Pradesh,Cuddapah,2006,0,0,35.6,3.8,67.5,43.1,57.1,45.9,162.8,40.2,58.3,13.1,527.4,,,,,
Andhra Pradesh,Cuddapah,2007,0,0,0,14.7,25.2,204.4,52.2,187.9,186,189.5,32.2,18.7,910.8,,,,,
Andhra Pradesh,Cuddapah,2008,0,33.7,47.6,0,26.7,8.9,45.1,97.9,107.1,95.3,185,1.4,648.7,,,,,
Andhra Pradesh,Cuddapah,2009,0.1,0,3.2,2.4,50,48,23.9,146.2,150.7,18.7,123.3,25.1,591.6,,,,,
Andhra Pradesh,Cuddapah,2010,0,2.3,0,13.9,51.9,122.1,160.1,139.6,82.7,74.9,213.5,38.7,899.7,,,,,
Andhra Pradesh,East  Godavari,2004,5,1.9,0,33.7,60.4,154.4,208.6,216.4,155.3,147,0.4,0.2,983.3,,,,,
Andhra Pradesh,East  Godavari,2005,6.2,6.2,8.5,55,25.3,115.8,179.7,103.6,545.6,362,19.9,0,1427.8,,,,,
Andhra Pradesh,East  Godavari,2006,0,0,8.9,61.8,66.4,98.4,107,288.8,229.9,277.8,45,0,1184.0,,,,,
Andhra Pradesh,East  Godavari,2007,0,10.5,0.8,16.2,26.1,221.8,163.6,182.6,348.5,167.6,8.7,1.3,1147.7,,,,,
Andhra Pradesh,East  Godavari,2008,0,49.8,109.2,8.8,50.1,179.3,212.1,280,96.6,75.7,60.2,1.7,1123.5,,,,,
Andhra Pradesh,East  Godavari,2009,0.1,0,1.3,6,43.8,22.4,173,125.3,120.1,59.4,56,0.3,607.7,,,,,
Andhra Pradesh,East  Godavari,2010,1.6,0,0.4,10.9,174.7,167.9,350.4,247.7,170.6,242.4,407.4,134.8,1908.8,,,,,
Andhra Pradesh,Guntur,2004,3.5,0.4,7,9.4,61.4,102.9,192.2,47.5,183.7,132.8,18.7,0,759.5,,,,,
Andhra Pradesh,Guntur,2005,0.3,5.2,4.7,7.6,63.3,22.2,236,76.2,277.9,237.4,18.6,3.3,952.7,,,,,
Andhra Pradesh,Guntur,2006,0,0,45.2,73.6,63.6,86.5,52.6,78.9,148,238.8,65.4,0,852.6,,,,,
Andhra Pradesh,Guntur,2007,0,12.1,0,15.4,32.8,243.6,167.3,157.7,222.5,115.7,40.8,0.7,1008.6,,,,,
Andhra Pradesh,Guntur,2008,0.4,45.3,84.1,5.3,2.5,95,178.7,297.5,78.8,39.3,133.3,4.3,964.5,,,,,
Andhra Pradesh,Guntur,2009,0,0,5,0,55,33.2,27.1,227,142.5,64.8,84.3,4.7,643.6,,,,,
Andhra Pradesh,Guntur,2010,8.6,0,0,9.2,165.3,124.2,349,229.5,233.9,141.7,104.9,118.8,1485.1,,,,,
Andhra Pradesh,Hyderabad,2004,39.5,0.6,32.4,59,41.9,29.4,221.4,68.7,118.2,72.8,0.2,0,684.1,,,,,
Andhra Pradesh,Hyderabad,2005,40,10.3,18.7,24.8,21.8,88.9,369.7,115.4,220.6,221.7,0,0,1131.9,,,,,
