State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,
Tamil Nadu,Chennai,2004,37.7,0,2.6,10.6,232.7,54.6,51,49.7,261.7,329.6,257.7,10.8,1298.7,,,,,,,
Tamil Nadu,Chennai,2005,1.2,5.9,0.8,122.7,41.7,22.5,121,60.3,121,938.7,603.7,442.1,2481.6,,,,,,,
Tamil Nadu,Chennai,2006,2.6,0,17.9,10.6,16.1,59.1,100.9,139.2,134.1,646.6,257.9,20.6,1405.6,,,,,,,
Tamil Nadu,Chennai,2007,0,14.4,0,5.3,1.8,100.1,218.7,196.1,161.7,253.7,99.5,242.8,1294.1,,,,,,,
Tamil Nadu,Chennai,2008,63.1,11.2,114.2,11.7,0.1,65.1,23,100.5,97.1,378,521.1,6.8,1391.9,,,,,,,
Tamil Nadu,Chennai,2009,13.1,0,0.7,0,14,11.3,41.8,93.9,73.6,46.5,493.8,259.5,1048.2,,,,,,,
Tamil Nadu,Chennai,2010,4.7,0.1,0,0,191.1,120.2,146,195.1,107.5,165.6,224.2,263.7,1418.2,,,,,,,
Tamil Nadu, Coimbatore,2004,16.4,0.3,3.7,57.9,140.4,29,42.8,34.8,128.5,153.5,106.3,0.4,714,,,,,,,
Tamil Nadu, Coimbatore,2005,5.9,20.7,43.8,119.8,131.1,25.7,76.6,39,36.3,242.1,202.1,61.5,1004.6,,,,,,,
Tamil Nadu, Coimbatore,2006,17.7,0,55.8,40.2,66.1,31.6,22.3,27.1,60.5,133.6,308.8,1.9,765.6,,,,,,,
Tamil Nadu, Coimbatore,2007,5.2,5.9,0,56.9,71.5,36.8,39.1,77.2,51.3,198,51,129.4,722.3,,,,,,,
Tamil Nadu, Coimbatore,2008,3.6,21.4,112.1,28.4,50.3,145.1,212.8,207.6,129.5,251.8,54.5,17.3,1234.4,,,,,,,
Tamil Nadu, Coimbatore,2009,1.3,0,46.2,28.7,82.4,96.6,360.5,115.6,192.7,81.6,203.6,20.9,1230.1,,,,,,,
Tamil Nadu, Coimbatore,2010,4,0.8,6.9,33.1,61.6,34.1,40,55.3,58.6,168.7,234.2,34.1,731.4,,,,,,,
Tamil Nadu, Cuddalore,2004,21.6,0,7.5,0.4,250.1,59.1,27.6,75.1,253.8,503.1,389.1,16.3,1603.7,,,,,,,
Tamil Nadu, Cuddalore,2005,1.5,7.9,1.6,129.3,75.2,2.2,41,79.6,217.5,260.4,824.3,261.4,1901.9,,,,,,,
