State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Mizoram,Aizwal,2004,0,0,6.4,353.8,214.8,431.6,614.8,379.8,328.3,133.6,2.1,0.7,2465.9
Mizoram,Aizwal,2005,6.1,6.7,153.7,85.1,295.5,118.5,410.7,250.6,308.7,222,34.8,5.4,1897.8
Mizoram,Aizwal,2006,0,4.8,1.5,57.1,387.5,469.1,411.2,264.4,242.2,182.7,2.5,0,2023.0
Mizoram,Aizwal,2007,0,61.3,26.9,222.2,201.1,511.6,424.5,447.1,580.3,185.6,99.3,0,2759.9
Mizoram,Aizwal,2008,37.7,9.4,9.2,55.5,140.4,246.3,258.8,426.4,377.8,164.8,24.6,0,1750.9
Mizoram,Aizwal,2009,0,0.3,N.A.,125.8,201.4,207.5,300.3,331.6,249,231.9,12,0,N.A.
Mizoram,Aizwal,2010,0.1,15.8,135,197.7,308,383.5,282.6,493.8,405.7,246.3,15.2,49.2,2532.9
Mizoram,Chhimtuipui,2004,0,N.A.,71,N.A.,N.A.,161,1217,0,0,135,12,0,N.A.
Mizoram,Chhimtuipui,2005,N.A.,0,N.A.,16,62,171.5,242,N.A.,486,N.A.,5,0,N.A.
Mizoram,Chhimtuipui,2006,0,0,0,5,350,458,779,434.5,324.5,205,0,0,2556.0
Mizoram,Chhimtuipui,2007,0,0,0.1,241,0,791.8,473,0,851.3,189,0,0,2546.2
Mizoram,Chhimtuipui,2008,N.A.,0,N.A.,0,0,N.A.,N.A.,N.A.,337.5,N.A.,N.A.,N.A.,N.A.
Mizoram,Chhimtuipui,2009,N.A.,0,20.7,79,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Mizoram,Chhimtuipui,2010,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0,N.A.
