State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,,,,,,,,,,,,,,
West Bengal,MURSHIDABAD,2007,0,61,23,0,N.A.,334.1,479.2,268.4,417.9,143,N.A.,N.A.,N.A.,,,,,,,,,,,,,,,,,,,,
West Bengal,MURSHIDABAD,2008,6.2,2.1,2.3,7.8,32.9,248.2,378.5,210.1,219.5,66.2,0,0,1173.8,,,,,,,,,,,,,,,,,,,,
West Bengal, Murshidabad,2009,0.2,0,24.4,0,176.6,73.8,185.5,358.5,381.6,150.7,0,0,1351.3,,,,,,,,,,,,,,,,,,,,
West Bengal, Murshidabad,2010,0.2,0.1,0,0,88,263.5,100.9,171.3,174.4,89.9,2,50.4,940.7,,,,,,,,,,,,,,,,,,,,
West Bengal,NADIA,2004,0,0,1,38.3,87.4,208.7,146.5,215.6,414.5,141.3,0,9,1262.3,,,,,,,,,,,,,,,,,,,,
West Bengal,NADIA,2005,20,6,104.2,104.2,59.9,145.1,274.2,143.8,139.6,351.4,0,7.2,1355.6,,,,,,,,,,,,,,,,,,,,
West Bengal,NADIA,2006,0,0,0,6,144.1,95.9,353.4,218.6,427.1,51.5,0.5,0,1297.1,,,,,,,,,,,,,,,,,,,,
West Bengal,NADIA,2007,0,80.8,35.9,19.7,71.8,205.3,471.4,208.7,454.3,107,38,0,1692.9,,,,,,,,,,,,,,,,,,,,
West Bengal,NADIA,2008,70.6,35,10.2,92,96.4,259.8,301.2,219.5,314,81.5,0,0,1480.2,,,,,,,,,,,,,,,,,,,,
West Bengal, Nadia,2009,0,0,33.3,0.4,249.5,87.7,234.2,506.8,303.9,59.9,20.6,0.2,1496.5,,,,,,,,,,,,,,,,,,,,
West Bengal, Nadia,2010,0,14.5,0,29.4,94.2,173.4,106.9,87.9,180.6,110.1,6.8,42.4,846.2,,,,,,,,,,,,,,,,,,,,
West Bengal,NORTH 24 PARGANAS,2004,0.6,0.1,6.9,70,61.3,285.9,245.2,334,351.6,234.1,0,0,1589.7,,,,,,,,,,,,,,,,,,,,
West Bengal,NORTH 24 PARGANAS,2005,21.3,0.6,87.8,41.2,123.3,177.1,352.5,270.7,121.7,399.1,0,0,1595.3,,,,,,,,,,,,,,,,,,,,
West Bengal,NORTH 24 PARGANAS,2006,0,0,13.1,57.9,139.7,121.2,427,308.9,413.7,99.2,3.9,0,1584.6,,,,,,,,,,,,,,,,,,,,
West Bengal,NORTH 24 PARGANAS,2007,1.1,56.5,16.5,63.6,101.4,275.6,427.9,227.5,432.8,70.5,75.6,N.A.,N.A.,,,,,,,,,,,,,,,,,,,,
West Bengal,NORTH 24 PARGANAS,2008,59.7,39.4,29,50,193,238.3,305.7,128.4,314.2,127,0,0,1484.7,,,,,,,,,,,,,,,,,,,,
