State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,,,,
Punjab,Amritsar,2004,37.9,11,0,6.9,44,45.8,131.6,65.4,2.8,28.5,3.3,4.4,381.6,,,,,,,,,,
Punjab,Amritsar,2005,69.3,64.4,39.2,10.6,4.9,62.1,205.6,110.3,120.9,3.4,2.7,0,693.4,,,,,,,,,,
Punjab,Amritsar,2006,8.4,8.2,41.7,0.2,39.1,106.5,365.6,124.7,194.3,40.6,11,17.2,957.5,,,,,,,,,,
Punjab,Amritsar,2007,0,89,45,0.3,19.9,143.1,58.9,138.5,62.7,0,13.6,4,575,,,,,,,,,,
Punjab,Amritsar,2008,32.3,8,0,67.4,28.5,168.8,144.3,355.5,46,14,0,4.5,869.3,,,,,,,,,,
Punjab,Amritsar,2009,14.7,17.4,12.8,15.5,1.6,0.8,80.7,72.6,46.9,0,13.4,0,276.4,,,,,,,,,,
Punjab,Amritsar,2010,0.2,7.9,1.3,0.1,5.8,18.1,171.4,188.1,77.2,4.3,0,4.4,478.8,,,,,,,,,,
Punjab, Bhatinda,2004,28.1,8.4,0,0.4,52.4,74.9,29.9,105.3,14.4,19.2,0,0,333,,,,,,,,,,
Punjab, Bhatinda,2005,46.2,69.1,42.6,3.5,21.1,82.2,168.5,11,109.6,0,0,0,553.8,,,,,,,,,,
Punjab, Bhatinda,2006,14,0,60.2,1.4,49.4,59.7,50.3,1.3,50.7,2.1,19.5,9.2,317.8,,,,,,,,,,
Punjab, Bhatinda,2007,0,79.5,10.8,0,0,54.1,56.6,22.8,27.5,0,2.2,0,253.5,,,,,,,,,,
Punjab, Bhatinda,2008,3.7,2.9,0,23.2,36.5,190.8,58.2,155.3,47.5,8,0,0.9,527,,,,,,,,,,
Punjab, Bhatinda,2009,13.8,19.1,5.8,10.5,3.9,5.6,106.1,18.1,69.1,0,0.2,0,252.2,,,,,,,,,,
Punjab, Bhatinda,2010,3.4,12.9,2.2,0,3,34.1,116.1,103.2,79.9,0,0,2.5,357.3,,,,,,,,,,
Punjab, Faridkot,2004,32.8,10.6,0,0,27.6,40,8.5,7.5,4,0,0,0,131,,,,,,,,,,
Punjab, Faridkot,2005,N.A.,N.A.,N.A.,N.A.,N.A.,0,26,0,N.A.,N.A.,N.A.,0,N.A.,,,,,,,,,,
Punjab, Faridkot,2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,106.5,83.8,25,N.A.,N.A.,2.6,N.A.,,,,,,,,,,
Punjab, Faridkot,2007,0,6.2,20.5,0,6.8,80,0,200.7,38.4,0,0,14.2,366.8,,,,,,,,,,
Punjab, Faridkot,2008,14.2,8,0,12.8,36.8,63.8,51.4,157.2,0,13.2,0,2,359.4,,,,,,,,,,
Punjab, Faridkot,2009,28,32.2,10.8,13.6,0,5.2,126.8,24,77.1,5.3,0,0,323,,,,,,,,,,
Punjab, Faridkot,2010,0,14,0,0,2,21,105,35,75.2,0,0,0,252.2,,,,,,,,,,
Punjab, Fatehgarh Sahib,2004,28,0,0,2,0,18,10,123,4,37,0,0,222,,,,,,,,,,
Punjab, Fatehgarh Sahib,2005,23,28,9,0,0,2,197,103,N.A.,0,0,0,N.A.,,,,,,,,,,
Punjab, Fatehgarh Sahib,2006,0,0,0,0,0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0,N.A.,,,,,,,,,,
Punjab, Fatehgarh Sahib,2007,0,0,5,1,0,2,0,125.5,22.5,0,0,0,156,,,,,,,,,,
Punjab, Fatehgarh Sahib,2008,8.1,0,0,7,58,14,28,73,13,5,0,0,206.1,,,,,,,,,,
Punjab, Fatehgarh Sahib,2009,3,6,12,12,3,24.7,76,7,18,0,0,0,161.7,,,,,,,,,,
Punjab, Fatehgarh Sahib,2010,7,13,0,0,0,23.5,128,5,106.4,0,0,22,304.9,,,,,,,,,,
Punjab, Ferozpur,2004,30,11.2,0,1.8,21.3,44,5.2,34.4,10.6,14.6,0.7,1.5,175.3,,,,,,,,,,
Punjab, Ferozpur,2005,38.8,40.7,52.7,11.9,6.1,10.3,171.6,80.5,83.9,0,0,0,496.5,,,,,,,,,,
Punjab, Ferozpur,2006,9.7,0,34.4,0,22.6,68.7,49.6,45,119.5,12,4,7,372.5,,,,,,,,,,
Punjab, Ferozpur,2007,0,50,18.3,0,0,61.1,84,56,17.5,0,0,3,289.9,,,,,,,,,,
Punjab, Ferozpur,2008,3,0.5,0,8,11,12.5,5,60.3,11,5,0,3,119.3,,,,,,,,,,
Punjab, Ferozpur,2009,12.5,2.4,1.1,19.5,0.5,2,21.5,11.7,61.8,0,0,0,133,,,,,,,,,,
Punjab, Ferozpur,2010,0,1.5,0,0,0,8.1,86.3,32.2,29.3,0,0,6.8,164.2,,,,,,,,,,
Punjab, Gurdaspur,2004,118.3,17.2,0,23.3,36,77,179.5,166.7,20.2,43.2,6.5,13,700.9,,,,,,,,,,
Punjab, Gurdaspur,2005,60.9,137.2,77.6,19.4,18.6,46.9,420.7,201.6,132.3,0.8,0,0,1116,,,,,,,,,,
Punjab, Gurdaspur,2006,20.4,10.4,64,8.7,32.4,86.5,359.5,232.5,123.7,64.4,9.1,20.8,1032.4,,,,,,,,,,
Punjab, Gurdaspur,2007,0,78.3,169.1,14.5,39.3,187.8,231.8,418.8,40.8,0,8.8,9.7,1198.9,,,,,,,,,,
Punjab, Gurdaspur,2008,25.1,24.3,0,41.2,39.7,379.3,232,442.2,23.5,8.9,0,4.2,1220.4,,,,,,,,,,
Punjab, Gurdaspur,2009,13.7,28.1,5.2,18.5,5.7,19.3,247.4,197.5,30.5,2.4,30.9,0,599.2,,,,,,,,,,
