State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,
Jammu and Kashmir,Anantnag,2004,125.1,78.3,13.3,145.8,65.9,75.6,52.7,65.6,28.5,81.1,27.8,17,776.7,,,,,
Jammu and Kashmir,Anantnag,2005,178.1,379.6,148.3,93.1,100.2,39.1,127.2,30.8,31.6,16.8,29.4,1.1,1175.3,,,,,
Jammu and Kashmir,Anantnag,2006,204,93.5,108,58.7,31.1,68.6,120.2,141.6,151.8,34.5,61.8,133.8,1207.6,,,,,
Jammu and Kashmir,Anantnag,2007,24.6,65.5,281.1,7.8,60.5,82.6,59.1,87,44.2,0.3,0,55.5,768.2,,,,,
Jammu and Kashmir,Anantnag,2008,139.7,155,15.9,84.4,101.5,72.2,62.2,73.1,66,37.7,31.2,112.5,951.4,,,,,
Jammu and Kashmir,Anantnag,2009,166.1,128.2,76.5,107.7,82.9,92.7,78.4,47.2,43.9,5.6,67.4,27.9,924.5,,,,,
Jammu and Kashmir,Anantnag,2010,53.9,110,65.2,142.9,266.9,100.1,91.2,107.2,87.7,62.6,25.6,57.2,1170.5,,,,,
Jammu and Kashmir, Badgam,2004,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,
Jammu and Kashmir, Badgam,2005,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,
Jammu and Kashmir, Badgam,2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,
Jammu and Kashmir, Badgam,2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,
Jammu and Kashmir, Badgam,2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,
Jammu and Kashmir, Badgam,2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,
Jammu and Kashmir, Badgam,2010,N.A.,N.A.,39.2,136.3,182.1,64.6,68.9,64.7,16.6,48,1.2,47.4,N.A.,,,,,
Jammu and Kashmir, Doda,2004,272.8,117.8,4.7,116.5,92.6,124.7,93.4,73.5,14.6,119.7,43.4,40.8,1114.5,,,,,
Jammu and Kashmir, Doda,2005,206.9,576.4,231.1,70.5,64.1,39.3,266.3,60.6,72.9,6.2,11.4,0,1605.7,,,,,
Jammu and Kashmir, Doda,2006,326.7,117.6,187.9,63.9,53.7,70,240.6,214.4,283,67,12.2,37.9,1674.9,,,,,
Jammu and Kashmir, Doda,2007,4.9,151.9,353.2,14,62.3,66.9,88.7,100.4,28.8,0.9,0,83.9,955.9,,,,,
Jammu and Kashmir, Doda,2008,25.1,227,7.7,122.7,65.6,102.2,102.6,72.8,48,44.8,6.6,131.7,956.8,,,,,
Jammu and Kashmir, Doda,2009,160,151.9,82.7,141,59.6,50.6,112.2,51.7,59.1,7.1,81.2,19.1,976.2,,,,,
Jammu and Kashmir, Doda,2010,48,240.8,41.6,79.2,177.6,109.2,167.2,189,110,36.2,29.8,73.8,1302.4,,,,,
Jammu and Kashmir, Jammu,2004,110.2,25.9,0,42.5,25.2,103.2,350.9,164.6,78.5,48.5,4.4,25.1,979.0,,,,,
Jammu and Kashmir, Jammu,2005,123,139.5,111.6,12.7,12.2,24.6,340.1,162.8,41.6,1.8,0,0,969.9,,,,,
Jammu and Kashmir, Jammu,2006,70.8,4.2,44.6,10.7,16.1,150.2,379.9,269.4,123.8,56,7,32.4,1165.1,,,,,
Jammu and Kashmir, Jammu,2007,0,95.9,243.6,3,28,185.2,274,333,42.4,0,3.7,8.9,1217.7,,,,,
Jammu and Kashmir, Jammu,2008,98,23.4,2.2,56.4,42.8,228.2,384.9,225.8,20,21.1,0,20.3,1123.1,,,,,
Jammu and Kashmir, Jammu,2009,69.5,34.1,15.6,41.1,11.6,18.6,244.4,273.4,26.1,7.2,4.2,0.6,746.4,,,,,
Jammu and Kashmir, Jammu,2010,7.5,26.9,4.9,6.2,39.1,67,272.9,586.1,84.4,31.5,2.6,52.8,1181.9,,,,,
Jammu and Kashmir, Kathua,2004,119,6.7,0,42,21.3,83.8,363.6,214.8,66.2,46.8,11.6,15.6,991.4,,,,,
Jammu and Kashmir, Kathua,2005,45.8,174.4,65.6,12.8,7,16.4,404.4,277.8,210.2,1.4,0,0,1215.8,,,,,
Jammu and Kashmir, Kathua,2006,27.6,20,64.5,10.2,16.4,30.7,54.3,104.2,56.2,41.8,148.7,91.9,666.5,,,,,
Jammu and Kashmir, Kathua,2007,0,86.6,188.2,0,51,367,438.4,673.6,16.2,0,3.2,30,1854.2,,,,,
Jammu and Kashmir, Kathua,2008,46.4,28,0,40.8,11.8,286.6,390.6,451.8,31.6,61,0,13,1361.6,,,,,
Jammu and Kashmir, Kathua,2009,41.8,69.6,17.4,53,23.8,45.2,237,148.4,38.6,0,38.6,0,713.4,,,,,
Jammu and Kashmir, Kathua,2010,4,54.2,4.8,0,18.8,121,281.4,552.2,164.6,44.8,6.8,68.2,1320.8,,,,,
Jammu and Kashmir, Kupwara,2004,120.7,104.5,15.4,172.5,74,41.4,51.2,50.8,52.8,69.9,31.7,68.6,853.5,,,,,
Jammu and Kashmir, Kupwara,2005,105.9,297.7,176.4,71.7,74.1,6.2,67.5,29.9,16.9,23.6,50.1,0,920.0,,,,,
Jammu and Kashmir, Kupwara,2006,205.5,134.6,109.7,145,44,0.4,0.3,17.2,10.8,0,0,0,667.5,,,,,
Jammu and Kashmir, Kupwara,2007,9.7,96,206.8,21.4,51.5,108.6,79.1,41.5,3.9,1.8,0,31.6,651.9,,,,,
Jammu and Kashmir, Kupwara,2008,220.8,69.7,26.6,142.5,58.9,18.2,57.3,75.1,26.1,43.5,82.4,162.1,983.2,,,,,
Jammu and Kashmir, Kupwara,2009,131.3,168.9,115.2,181.4,74.5,44.5,59.6,13.9,45.6,18.3,38.2,22.1,913.5,,,,,
Jammu and Kashmir, Kupwara,2010,26.4,193.3,79.7,178.5,249.9,58.3,223.6,142.3,15.9,29,1.3,17.6,1215.8,,,,,
Jammu and Kashmir, Ladakh (Leh),2004,0.4,0,0.3,0.5,0,1.3,0,2.4,0,1.1,1.5,0,7.5,,,,,
Jammu and Kashmir, Ladakh (Leh),2005,4.3,3.5,0.5,5.4,0.1,0.2,4.7,0,0,0,0,0,18.7,,,,,
Jammu and Kashmir, Ladakh (Leh),2006,14.2,0,0,3,0.4,104.9,94.2,151.5,134.7,43.9,146.8,157.6,851.2,,,,,
