State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,,
Daman and Diu,Diu,2004,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0,N.A.,,,,,,,,
Daman and Diu,Diu,2005,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0,N.A.,N.A.,,,,,,,,
Daman and Diu,Diu,2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,53.7,N.A.,N.A.,0,N.A.,,,,,,,,
Daman and Diu,Diu,2007,3,2,0,0,0,N.A.,N.A.,N.A.,0,N.A.,N.A.,N.A.,N.A.,,,,,,,,
Daman and Diu,Diu,2008,N.A.,N.A.,N.A.,N.A.,0,N.A.,431.4,155,254,0,0,0,N.A.,,,,,,,,
Daman and Diu,Diu,2009,0,0,0,0,0,124.3,763.5,6.3,5.5,3,5,0,907.6,,,,,,,,
Daman and Diu,Diu,2010,0,0,0,0,0,73.7,793.2,285.6,30.6,0,0,0,1183.1,,,,,,,,
