State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Dadra and Nagar Haveli,Dadra & Nagar Haveli,2009,0,0,0,0,0,130.6,1448.1,251.4,174.5,92.9,0,0,2097.5
Dadra and Nagar Haveli,Dadra & Nagar Haveli,2010,0,0,0,0,0,265.4,931.2,801.7,556.8,64.8,0,0,2619.9
Dadra and Nagar Haveli,DNH & Daman,2004,0,0,0,0,0,393.2,827.2,1350.2,145.5,17.6,0,0,2733.7
Dadra and Nagar Haveli,DNH & Daman,2005,0,0,0,0,0,1014.8,613.4,476.3,652.2,12.3,0,0,2769.0
Dadra and Nagar Haveli,DNH & Daman,2006,0,0,0,0,0,425.4,1023.7,474,185,32.1,0,0,2140.2
Dadra and Nagar Haveli,DNH & Daman,2007,0,0,0,0,0,343.9,756,782.9,605.2,0,2.3,0,2490.3
Dadra and Nagar Haveli,DNH & Daman,2008,0,0.1,0,0,0,108.7,763,1031.5,377.3,2.5,0,0,2283.1
