State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,,,,,,,,,,
Rajasthan, Bikaner,2007,0,60.9,35.6,0.8,6.6,43.9,74.9,61.5,43.4,0,0,0,327.6,,,,,,,,,,,,,,,,
Rajasthan, Bikaner,2008,0.2,0.3,0.8,36.1,54.9,54.9,44.4,114.9,24.9,0,0,6.8,338.2,,,,,,,,,,,,,,,,
Rajasthan, Bikaner,2009,2,7.9,15.5,0,16.2,21.8,108.5,23.2,8.5,0.1,0,0.8,204.5,,,,,,,,,,,,,,,,
Rajasthan, Bikaner,2010,1.3,1.9,0,0.2,10.5,79.4,86.4,114.4,109.7,1.5,3.5,7.3,416.1,,,,,,,,,,,,,,,,
Rajasthan, Bundi,2004,0,0,0,0,6,12.7,55.7,410,10.7,21,0,0,516.1,,,,,,,,,,,,,,,,
Rajasthan, Bundi,2005,0,0,4.3,10,0.3,69.7,255,37,186,0,0,0,562.3,,,,,,,,,,,,,,,,
Rajasthan, Bundi,2006,0,0,3,0,3.8,57.5,184.3,204.9,64.4,0,0,0,517.9,,,,,,,,,,,,,,,,
Rajasthan, Bundi,2007,0,32.4,12.2,0,3.3,147.9,212.3,119.8,56,0,0,1.8,585.7,,,,,,,,,,,,,,,,
Rajasthan, Bundi,2008,0,0,0.5,0,1.8,164.9,167.8,117.5,107,1.5,3.8,0,564.8,,,,,,,,,,,,,,,,
Rajasthan, Bundi,2009,0,0,0,0,0.3,35.5,207.8,99.9,23.5,9.2,11,0,387.2,,,,,,,,,,,,,,,,
Rajasthan, Bundi,2010,0,2.5,0,0,0,22,129.8,262.6,123.3,0,75,1.5,616.7,,,,,,,,,,,,,,,,
Rajasthan, Chittorgarh,2004,0.4,0,0,0,0.3,57.2,193.9,611.3,37,59.7,0,0,959.8,,,,,,,,,,,,,,,,
Rajasthan, Chittorgarh,2005,0,0,0,4,0.6,44.5,252.7,138.8,198,0,0,0,638.6,,,,,,,,,,,,,,,,
Rajasthan, Chittorgarh,2006,0,0,6.9,0,1.7,140.3,244.2,602.1,126.6,0,0,0,1121.8,,,,,,,,,,,,,,,,
Rajasthan, Chittorgarh,2007,0,8.4,0.6,0,0,22.2,316.2,213.7,48.8,0,0,0.4,610.3,,,,,,,,,,,,,,,,
Rajasthan, Chittorgarh,2008,0,0,1.2,12,6.2,98.6,286.6,279.8,121.2,8.2,0,0,813.8,,,,,,,,,,,,,,,,
Rajasthan, Chittorgarh,2009,0,0,0.9,0,8,49.8,313.3,197.1,61.9,9.8,6.1,0,646.9,,,,,,,,,,,,,,,,
Rajasthan, Chittorgarh,2010,0,0.1,0,0,0,41.4,214.6,329.1,111.1,0,75.5,5.6,777.4,,,,,,,,,,,,,,,,
Rajasthan, Churu,2004,3.5,0,0,0.9,26.4,15.2,30.5,120.8,15.9,30.1,0,2.4,245.7,,,,,,,,,,,,,,,,
Rajasthan, Churu,2005,2.4,49.6,21.5,3.9,23.4,56.3,114.5,8.9,79.6,0,0.1,0,360.2,,,,,,,,,,,,,,,,
