State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,,,,,,,,,,
Rajasthan, Nagaur,2006,0,0,1,0,24.3,20.5,139.2,59.7,10.7,9.8,0,0,265.2,,,,,,,,,,,,,,,,
Rajasthan, Nagaur,2007,0,33.5,31.8,0,1,7,90.7,69.5,27,0,0,0.5,261.0,,,,,,,,,,,,,,,,
Rajasthan, Nagaur,2008,0,0,0,3,11.3,90,72.7,162.2,44,0,0,0,383.2,,,,,,,,,,,,,,,,
Rajasthan, Nagaur,2009,4,0,0,0,0,26.5,74.3,35.3,9,0,0,0,149.1,,,,,,,,,,,,,,,,
Rajasthan, Nagaur,2010,0,4.8,0,0,0,47.7,135.3,234.8,89.8,0,17.3,0,529.7,,,,,,,,,,,,,,,,
Rajasthan, Pali,2004,0,0,0,0,3.3,51.9,71.6,190.3,14.2,28.7,0,0,360.0,,,,,,,,,,,,,,,,
Rajasthan, Pali,2005,0,0,0,11.2,6.8,40,103.2,73.6,123.6,0,0,0,358.4,,,,,,,,,,,,,,,,
Rajasthan, Pali,2006,0,0,10.4,0,0,46.4,107.7,292.4,76.1,0,0,0,533.0,,,,,,,,,,,,,,,,
Rajasthan, Pali,2007,0,3.3,0.6,0,0,45.9,291.1,71.1,32.1,0,0,0,444.1,,,,,,,,,,,,,,,,
Rajasthan, Pali,2008,0,0,0,3.7,0,20.3,40.6,170.1,45.9,0,0,0,280.6,,,,,,,,,,,,,,,,
Rajasthan, Pali,2009,0,0,0,0,0,28,179.3,60.1,3.2,0,0,0,270.6,,,,,,,,,,,,,,,,
Rajasthan, Pali,2010,0,0,0,0,0,6.8,159.8,248.4,121.4,0,41.1,2.3,579.8,,,,,,,,,,,,,,,,
Rajasthan, Rajsamand,2004,0,0,0,0,0,41.1,80.2,273.8,48.8,0,0,0,443.9,,,,,,,,,,,,,,,,
Rajasthan, Rajsamand,2005,0,0,0.5,0,0,48.4,153.2,188,269.6,0,0,0,659.7,,,,,,,,,,,,,,,,
Rajasthan, Rajsamand,2006,0,0,0,0,0,75.4,115.2,415.2,60.8,0,0,0,666.6,,,,,,,,,,,,,,,,
Rajasthan, Rajsamand,2007,0,0,1.4,0,2,17.8,343.4,90,54,0,0,0,508.6,,,,,,,,,,,,,,,,
Rajasthan, Rajsamand,2008,0,0,0,0,0,34.4,60.9,142.1,77,0,0,0,314.4,,,,,,,,,,,,,,,,
Rajasthan, Rajsamand,2009,0,0,0,0,0,60.6,239.3,85.4,3.9,0,1.2,0,390.4,,,,,,,,,,,,,,,,
Rajasthan, Rajsamand,2010,0,0,0,0,0,19.7,217.9,311.9,90.7,0,168,0,808.2,,,,,,,,,,,,,,,,
