State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,
Madhya Pradesh,Balaghat,2004,45.3,0.8,0,0.7,8,210,263.5,340.7,108.8,9.6,3.9,0,991.3,,,,,
Madhya Pradesh,Balaghat,2005,91.5,17.2,3.3,0.6,37.2,227.6,553.1,473.1,440.2,94.1,0,0,1937.9,,,,,
Madhya Pradesh,Balaghat,2006,0,0,80.7,38.2,29.6,64.4,494.4,676.6,149.5,6.7,8.6,0.4,1549.1,,,,,
Madhya Pradesh,Balaghat,2007,0,24.2,19.9,19,2.8,218.2,403.3,220.9,268.5,11.9,68.4,0,1257.1,,,,,
Madhya Pradesh,Balaghat,2008,0,17.8,49.3,1.2,0.4,289.1,302.5,485,169.7,8.5,1.9,0,1325.4,,,,,
Madhya Pradesh,Balaghat,2009,0,0,2.5,4,10.1,30.3,568.4,260.7,112,22.6,81.5,5.1,1097.2,,,,,
Madhya Pradesh,Balaghat,2010,1.9,4.4,0.2,0,0.8,100.7,620.4,282.9,290.5,25,8.3,8.8,1343.9,,,,,
Madhya Pradesh,Barwani,2004,N.A.,N.A.,0,0,0,92.1,144.8,334.6,78.3,54.8,0,0,N.A.,,,,,
Madhya Pradesh,Barwani,2005,0,0,0,N.A.,0,79.2,171.5,152.3,105.2,0,0,0,N.A.,,,,,
Madhya Pradesh,Barwani,2006,0,0,N.A.,N.A.,N.A.,62.3,374.7,499.5,184.6,25.6,0,0,N.A.,,,,,
Madhya Pradesh,Barwani,2007,0,0,0,0,0,66.8,363.7,206.2,96.9,0,0,0,733.6,,,,,
Madhya Pradesh,Barwani,2008,0,0,0,0,0,42.7,135.8,149.6,146.2,35.7,0,0,510.0,,,,,
Madhya Pradesh,Barwani,2009,1,0,0,0,0,42.6,147.6,92.4,167.5,8.4,73,54.2,586.7,,,,,
Madhya Pradesh,Barwani,2010,0,0,0,0,0,140.2,241.5,248.8,116.7,13,107.8,0,868,,,,,
Madhya Pradesh,Betul,2004,15.1,0,0,0,8.4,99.8,192.2,386.3,47.2,44.4,4.5,0,797.9,,,,,
Madhya Pradesh,Betul,2005,36.9,3.6,16.4,25.1,0.5,106.3,301.8,172.4,263.7,8.4,0,0,935.1,,,,,
Madhya Pradesh,Betul,2006,0,0,119.4,16.8,8.3,40.1,326.3,412,173.8,8.5,33.6,0,1138.8,,,,,
Madhya Pradesh,Betul,2007,0,1.3,8.3,2.1,5.5,131.8,551.6,354,228.1,0,18.3,0,1301.0,,,,,
Madhya Pradesh,Betul,2008,5.6,0,0,2.8,0.2,142.9,160.8,223.4,170.1,44.8,N.A.,0,N.A.,,,,,
Madhya Pradesh,Betul,2009,0.2,0,0.4,0.4,0.3,78.1,512,134.9,125.3,71.2,119,25.1,1066.9,,,,,
Madhya Pradesh,Betul,2010,3.6,15.5,6.8,0,0.4,118,317.1,343,179.4,46.6,81.6,0.1,1112.1,,,,,
Madhya Pradesh,Bhind,2004,51.4,0,0,0,0.4,66.4,58,167.8,85.2,56.5,0,0,485.7,,,,,
Madhya Pradesh,Bhind,2005,4.3,0,11,0,4.3,36.8,222.6,74.1,97.5,0,0,2.1,452.7,,,,,
Madhya Pradesh,Bhind,2006,0,0,18.5,0,0,74.7,182,77.6,46.9,2.2,0,0,401.9,,,,,
Madhya Pradesh,Bhind,2007,0,55.6,32.6,1.9,7.6,67.7,122.2,126.9,64.1,0,0,0,478.6,,,,,
Madhya Pradesh,Bhind,2008,0,0,0,0.3,40.5,189.1,322.2,257.5,157.9,6,0,0,973.5,,,,,
Madhya Pradesh,Bhind,2009,0,0,0,0,0,1,112.3,167,92.8,135,6.1,10.8,525,,,,,
Madhya Pradesh,Bhind,2010,0,0,0,0,0,21.4,316.7,184.1,272.8,0.5,48.1,5.8,849.4,,,,,
Madhya Pradesh,Bhopal,2004,64.7,0,0,0.4,1.5,46,249.5,415.6,19.2,11.3,1.3,0,809.5,,,,,
Madhya Pradesh,Bhopal,2005,1.7,1.6,14.3,0.8,0.6,45.4,672.8,149.2,238.7,0.5,0,0,1125.6,,,,,
Madhya Pradesh,Bhopal,2006,0,0,108.8,17.3,94,64.6,311.2,903.8,406.7,27.8,3.6,2,1939.8,,,,,
Madhya Pradesh,Bhopal,2007,0.2,21.3,0,0.3,12.1,80.5,425.8,175.1,236.5,0,0,1,952.8,,,,,
Madhya Pradesh,Bhopal,2008,0,0,11.6,1.8,18.6,152.5,220.3,187.4,137.2,1.1,9.5,0,740.0,,,,,
Madhya Pradesh,Bhopal,2009,36.3,0,0,2.6,0,111.9,528.3,110.6,130.2,143.1,104,36.2,1203.2,,,,,
Madhya Pradesh,Bhopal,2010,12.4,8.2,3.6,0,0.2,76.7,244.9,200,76.3,46,113.4,4.4,786.1,,,,,
Madhya Pradesh,Chhatarpur,2004,12,0,0,5.9,4.6,215.3,130.3,348.8,190.7,33.1,0,0,940.7,,,,,
Madhya Pradesh,Chhatarpur,2005,10.9,9.7,44.3,10.1,1.5,56.5,465.6,272.9,105.8,24.9,0,4.4,1006.6,,,,,
Madhya Pradesh,Chhatarpur,2006,0,0,46.7,19.6,39.7,31.4,313.7,157.5,37,3.2,0.1,0,648.9,,,,,
Madhya Pradesh,Chhatarpur,2007,0.5,61.4,11.1,0,38.7,72.6,139.5,182.7,66.8,0,0,1.9,575.2,,,,,
Madhya Pradesh,Chhatarpur,2008,0,0.1,9.2,1.8,7,252.3,250.1,311.3,95.3,6.4,4.8,0,938.3,,,,,
Madhya Pradesh,Chhatarpur,2009,12,0.6,0.6,1.2,7.4,29,231.6,169.6,130,159.8,61,7,809.8,,,,,
Madhya Pradesh,Chhatarpur,2010,1.2,10.7,12.8,0.8,4.6,18.2,374.4,292,133.5,46.4,21,0.2,915.8,,,,,
Madhya Pradesh,Chindwara,2004,12.5,0,0,0,10.2,107.3,132.9,185.8,54.3,29.4,42.1,0,574.5,,,,,
Madhya Pradesh,Chindwara,2005,30,0,39.4,2.4,3.6,191.9,458.5,168.9,271.4,45.9,0,0,1212.0,,,,,
Madhya Pradesh,Chindwara,2006,0,0,133.6,0,2,33.4,372.2,425.5,106.1,2.8,17.9,0,1093.5,,,,,
Madhya Pradesh,Chindwara,2007,0,0,0,3.1,9.7,132.1,334,168.5,262,0,18.1,0,927.5,,,,,
Madhya Pradesh,Chindwara,2008,0,12.8,27.4,8.8,0.8,110.6,127.8,165.7,194.8,19.3,0,0,668.0,,,,,
Madhya Pradesh,Chindwara,2009,0,0,0,0,0,45.8,725.2,91,247.4,52.9,97.3,29.1,1288.7,,,,,
Madhya Pradesh,Chindwara,2010,0,0,0,0,0,160.3,329.7,382.3,196.3,8.2,56.7,0,1133.5,,,,,
Madhya Pradesh,Damoh,2004,39.2,0,0,20,4.6,264.4,352.4,293.5,62.4,12.2,0,0,1048.7,,,,,
Madhya Pradesh,Damoh,2005,7,0,0,0,0,191.4,922.4,352.2,168.3,7,0,18.5,1666.8,,,,,
Madhya Pradesh,Damoh,2006,0,0,38.4,14.2,0,14,339,311,79,0,10.4,0,806.0,,,,,
Madhya Pradesh,Damoh,2007,0,22.6,4.6,0,22.4,109,229.2,356.6,139.7,0,0,4.8,888.9,,,,,
Madhya Pradesh,Damoh,2008,0,0,0,4,0.5,579,256.3,315.5,99.6,4.5,0,0,1259.4,,,,,
Madhya Pradesh,Damoh,2009,25.1,0,0,11,5.6,19,230,153.1,192.6,46.9,101.1,8.7,793.1,,,,,
Madhya Pradesh,Damoh,2010,0,2,0,0,0,10.3,498.8,316.3,199.8,0,0,0.9,1028.1,,,,,
Madhya Pradesh,Datia,2004,1,0,0,6.4,1,67.3,121,245,75.5,50.5,0,0,567.7,,,,,
Madhya Pradesh,Datia,2005,0,0,30.6,2,6.8,35.5,255.5,63,89.8,0,0,0,483.2,,,,,
Madhya Pradesh,Datia,2006,N.A.,N.A.,28,0,0,60,211.5,92,43,1.5,0,0,N.A.,,,,,
Madhya Pradesh,Datia,2007,0,42.3,14.3,0,3,126,105.9,167.2,109.7,0,0,0,568.4,,,,,
Madhya Pradesh,Datia,2008,0,0,0,4.4,4.1,398.2,294.9,243.1,93.3,2.7,3.3,0,1044.0,,,,,
Madhya Pradesh,Datia,2009,0,0.9,0.5,0.7,0.4,27.9,219.4,248.5,123.1,20.7,3,9.7,654.8,,,,,
Madhya Pradesh,Datia,2010,6,16.6,0,2.2,1.4,25.3,224,205.1,232.9,0,64.7,6.9,785.1,,,,,
Madhya Pradesh,Dewas,2004,0,0,0,0,0,34,312.9,452.2,46.2,9.2,0,0,854.5,,,,,
Madhya Pradesh,Dewas,2005,0,0,0,N.A.,0,81.7,187.4,138.3,202.2,0,0,0,N.A.,,,,,
Madhya Pradesh,Dewas,2006,0,0,N.A.,0,0,43.2,287.5,594.6,341.8,9.4,0,0,N.A.,,,,,
Madhya Pradesh,Dewas,2007,0,0,0,0,0,85.9,395.7,342.7,189,0,0,0,1013.3,,,,,
Madhya Pradesh,Dewas,2008,0,0,0,0,0,32.4,83.7,190.9,86.3,11.3,0,0,404.6,,,,,
Madhya Pradesh,Dewas,2009,0,0,0,0,0,60.3,365.2,156.4,79.3,98.7,19.8,0,779.7,,,,,
Madhya Pradesh,Dewas,2010,0,0,0,0,0,41.4,201.6,402.5,132,12.7,0,0,790.2,,,,,
Madhya Pradesh,Dhar,2004,0,0,0,0,2.8,66,196.4,390.4,50.9,14.8,0,0,721.3,,,,,
Madhya Pradesh,Dhar,2005,0,0,3.6,3.6,0.5,55.5,245.6,74.5,174.9,1.7,0,0,559.9,,,,,
Madhya Pradesh,Dhar,2006,0,0,10.3,0,0,68.4,329.9,461.6,205.5,5.2,2.5,0,1083.4,,,,,
Madhya Pradesh,Dhar,2007,0.4,0,0,0,6.5,134.3,432.2,373.2,214.4,0,0,0,1161.0,,,,,
Madhya Pradesh,Dhar,2008,0,0,0,0,0,71.9,241,99.5,242.1,32.8,0,0,687.3,,,,,
Madhya Pradesh,Dhar,2009,0,0,0.8,0,4.6,64.6,314.1,119,105.9,54.7,56.6,6.7,727,,,,,
Madhya Pradesh,Dhar,2010,0.5,0.3,0,0,0.3,99.4,211.7,324,143.1,0,49.2,0,828.5,,,,,
Madhya Pradesh,Dindori,2004,N.A.,0,0,0,0,238.3,236,564.2,105.1,17.8,2.4,0,N.A.,,,,,
Madhya Pradesh,Dindori,2005,78,23.6,0,0,0,248.4,442.3,311,160.9,57.6,37.6,0.6,1360.0,,,,,
Madhya Pradesh,Dindori,2006,0,0,0,4.8,44,33.9,496.9,322.4,51.9,0,12.6,0,966.5,,,,,
Madhya Pradesh,Dindori,2007,0,21.2,58,14,4.6,82.2,321.8,280,187.8,5.6,0,0,975.2,,,,,
Madhya Pradesh,Dindori,2008,0,0,0,0,0,24.6,267.9,318.1,151.1,20.5,0,0,782.2,,,,,
Madhya Pradesh,Dindori,2009,40.6,0,0,13.2,1.2,28.5,189.2,156.8,105.7,24.1,45.2,0.8,605.3,,,,,
Madhya Pradesh,Dindori,2010,0,10.6,2,0,23.9,39,389.9,333.6,217.9,13,18.5,0,1048.4,,,,,
Madhya Pradesh,Guna,2004,4.3,0,0,0,14.1,144.3,178,358.2,48.6,44.4,0,0,791.9,,,,,
Madhya Pradesh,Guna,2005,0.8,0.3,35.7,0.3,5.9,116.5,518.5,107.1,126,0,0,0,911.1,,,,,
Madhya Pradesh,Guna,2006,0,0,85.6,0,17.1,48.3,364.4,299.1,172.5,6.6,0.3,0,993.9,,,,,
Madhya Pradesh,Guna,2007,0.2,28.1,0,2.7,7.4,113.2,255.6,187.2,170.7,0,0,0.7,765.8,,,,,
Madhya Pradesh,Guna,2008,0,0,1.1,1.5,0.6,441.4,156.5,221.3,145.8,0,12.4,0,980.6,,,,,
Madhya Pradesh,Guna,2009,1.1,0,0.1,1.9,2.2,65.1,191.9,214.6,104.2,35.5,48.5,12.2,677.3,,,,,
Madhya Pradesh,Guna,2010,2.2,7.3,0,0,0.1,66.9,346.5,216,92.6,22.7,45.1,3.6,803,,,,,
Madhya Pradesh,Gwalior,2004,42.4,0,0,2.6,9.1,48.7,166.1,380.3,42.2,44.2,0,0,735.6,,,,,
Madhya Pradesh,Gwalior,2005,6.6,0,14.7,0.3,16.2,46.9,407.7,92.3,131.9,0,0,1.7,718.3,,,,,
Madhya Pradesh,Gwalior,2006,0,0,22.6,0.6,9.2,176.7,187.6,68.5,57.4,22.5,0,0,545.1,,,,,
Madhya Pradesh,Gwalior,2007,1.3,48.1,20.6,0,13.8,82.8,135.1,114.5,119.8,0,0,4.5,540.5,,,,,
Madhya Pradesh,Gwalior,2008,0,0,0.1,6,5.5,208.1,217.7,228.1,99.5,2.5,1.3,0,768.8,,,,,
Madhya Pradesh,Gwalior,2009,0.4,0.2,4.2,1.1,3.9,8.4,167.7,111.5,89.1,93.2,25.6,11.3,516.6,,,,,
Madhya Pradesh,Gwalior,2010,0.3,10.3,0,0,4.4,74.5,169.4,304,276,0,78.2,4.2,921.3,,,,,
Madhya Pradesh,Harda,2004,N.A.,N.A.,0,0,0,100.8,351.8,359.4,19.2,58.4,0,0,N.A.,,,,,
Madhya Pradesh,Harda,2005,N.A.,N.A.,0,N.A.,0,91.8,404,113.4,193.9,0,0,0,N.A.,,,,,
Madhya Pradesh,Harda,2006,0,0,50.6,0,0,27.4,324.9,389.3,203.5,0,14.8,0,1010.5,,,,,
Madhya Pradesh,Harda,2007,0,0,0,0,0,110.6,598.1,286.2,145.7,0,0,0,1140.6,,,,,
Madhya Pradesh,Harda,2008,0,0,0,0,0,103.6,167.3,254.8,84.4,2.3,0,0,612.4,,,,,
Madhya Pradesh,Harda,2009,0,0,0,0,0,55.2,683.4,153.1,107.1,72.4,51.9,10.3,1133.4,,,,,
Madhya Pradesh,Harda,2010,0,8.8,0,0,0,37,404.9,313.7,157.8,34.5,25.2,0,981.9,,,,,
Madhya Pradesh,Hoshangabad,2004,40,0,0,0.6,32.4,58.3,396.4,679.3,52.4,16.5,0.8,0,1276.7,,,,,
Madhya Pradesh,Hoshangabad,2005,17.8,5,9.2,1.1,0.2,204,630.8,234.3,280.2,3.8,0,0,1386.4,,,,,
Madhya Pradesh,Hoshangabad,2006,0,0,84.2,0,27.9,45.8,536,878,307.1,7,8.5,7.3,1901.8,,,,,
Madhya Pradesh,Hoshangabad,2007,0,9,6.1,1.8,20.4,159.4,510.8,245.5,139.8,0,0,0,1092.8,,,,,
Madhya Pradesh,Hoshangabad,2008,1.2,0,1.3,1.3,2.9,139.2,184.6,293.1,120.5,60.5,19.2,0,823.8,,,,,
