State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,,,
Assam,Kokrajhar,2005,13.6,4.8,133.7,265,458.4,808.9,748.3,601.3,174.8,463.3,13.5,0,3685.6,,,,,,,,,
Assam,Kokrajhar,2006,0,1,0,131.7,390.8,397.7,537.2,343.9,572,12,0,19.2,2405.5,,,,,,,,,
Assam,Kokrajhar,2007,0,0,34.6,267.9,407.4,637.6,700,374.4,618.2,198,0,1,3239.1,,,,,,,,,
Assam,Kokrajhar,2008,48,6.6,135.4,315.4,336.8,481,517.2,1202.1,561.4,232.4,0,0,3836.3,,,,,,,,,
Assam,Kokrajhar,2009,1.4,0,73.2,152.4,587.2,452.4,312.3,879.1,124.2,266.9,0,0,2849.1,,,,,,,,,
Assam,Kokrajhar,2010,N.A.,0,87.1,595.2,643.6,660.1,859.9,578.5,626.2,45.5,0.1,0,N.A.,,,,,,,,,
Assam,Lakhimpur,2004,29.8,36,155.3,254.1,638.6,441.2,493.8,477.7,320.7,296.4,2.9,31.9,3178.4,,,,,,,,,
Assam,Lakhimpur,2005,42.7,116.6,164.8,229.6,275.1,545.5,504.4,649.8,147,102.6,37.8,0,2815.9,,,,,,,,,
Assam,Lakhimpur,2006,6.3,130.5,33.5,218.3,339.6,658,570.2,398.4,324.6,123.2,48.7,25.1,2876.4,,,,,,,,,
Assam,Lakhimpur,2007,13.8,81.5,41.3,295.4,411,650.6,675.2,512.5,409,122,14.1,19.4,3245.8,,,,,,,,,
Assam,Lakhimpur,2008,53,39.5,96.4,151.5,272.2,602.8,472.6,561.2,333.4,99.6,9.5,1.1,2692.8,,,,,,,,,
Assam,Lakhimpur,2009,15.8,24,26.1,188.7,237.4,327.4,455.9,746.2,152.4,150.5,30.5,10.4,2365.3,,,,,,,,,
Assam,Lakhimpur,2010,N.A.,N.A.,149.8,349,349.6,808.6,488.7,490,529.9,59.2,38.5,4.4,N.A.,,,,,,,,,
Assam,Morigaon,2004,13.2,9,9.6,253.4,149.2,296.7,277.8,102,279.1,278.3,0,1.4,1669.7,,,,,,,,,
Assam,Morigaon,2005,36,7.7,106.7,77.5,148.5,137.2,291.4,240.6,141.4,214.6,27.8,0,1429.4,,,,,,,,,
Assam,Morigaon,2006,0,22.3,0,116.8,72.2,312.3,246.6,251.2,222,48.8,21.8,7,1321.0,,,,,,,,,
Assam,Morigaon,2007,0,78.1,23.4,128.2,128.1,255.1,478.6,213.4,192.2,112.4,28.2,0,1637.7,,,,,,,,,
Assam,Morigaon,2008,31.4,6,118.8,81.2,153.4,319.4,388.9,272.6,322.2,114.8,0,4.8,1813.5,,,,,,,,,
Assam,Morigaon,2009,0,0,41.8,25,231.6,96.7,383.4,269.6,137.6,95.2,4.6,10.8,1296.3,,,,,,,,,
Assam,Morigaon,2010,N.A.,N.A.,46.9,178.6,235.7,488.7,270.6,322.5,146.1,109.2,0.6,2.4,N.A.,,,,,,,,,
Assam,N. C. Hills,2004,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,
Assam,N. C. Hills,2005,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,
Assam,N. C. Hills,2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,
Assam,N. C. Hills,2007,N.A.,N.A.,15,143,385,397,N.A.,0,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,
Assam,N. C. Hills,2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,
Assam,N. C. Hills,2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0,N.A.,,,,,,,,,
Assam,N. C. Hills,2010,N.A.,N.A.,36.3,195.5,104.2,195.8,201,241.4,178,45.8,3.1,23.3,N.A.,,,,,,,,,
Assam,N.A.lbari,2004,24.6,22,114.4,346.4,290.4,670.5,667.5,133.9,113.5,130.2,0.9,13.5,2527.8,,,,,,,,,
Assam,N.A.lbari,2005,15.3,25.9,156.4,402.3,211.9,314,392.4,501.5,159,194.7,12.3,0,2385.7,,,,,,,,,
Assam,N.A.lbari,2006,0,27.4,3.4,200.1,182.4,436.6,244,104.6,209.7,71.3,26.4,12.8,1518.7,,,,,,,,,
Assam,N.A.lbari,2007,0,89.3,43.1,301.5,223.4,419.1,519.8,246.8,246.5,218.1,13.2,0,2320.8,,,,,,,,,
Assam,N.A.lbari,2008,29.1,18.9,120.4,343.4,199.7,299.1,446.6,328.1,265.1,144,0,0,2194.4,,,,,,,,,
Assam,N.A.lbari,2009,0,1.8,55.7,140.8,179.5,237.5,387,313.7,93.4,99.7,7.9,12.6,1529.6,,,,,,,,,
Assam,N.A.lbari,2010,N.A.,N.A.,138.8,516.7,393.3,602.2,281.4,186.6,240.4,45.4,3.1,2.2,N.A.,,,,,,,,,
Assam,Nowgong,2004,21.4,0,5.5,300.3,23.8,172.6,268.6,134.9,154.7,194.4,0,3.2,1279.4,,,,,,,,,
Assam,Nowgong,2005,57,9.2,91.3,71.7,93.4,101.9,178.1,197.1,80.8,137,0.9,0,1018.4,,,,,,,,,
Assam,Nowgong,2006,0,22.7,13.1,58.5,183.3,186.7,160,157.2,179.5,62.4,22.4,23.3,1069.1,,,,,,,,,
Assam,Nowgong,2007,0,56.9,13.2,159.9,108.8,290.2,297.6,240.3,341.3,123.6,45.8,0,1677.6,,,,,,,,,
Assam,Nowgong,2008,16.8,3.4,62.4,159.5,99.6,253.7,161.1,288,215.6,94.1,0,0,1354.2,,,,,,,,,
Assam,Nowgong,2009,0,1.9,22.7,28.4,79,87.1,159.2,150.1,84.8,101.2,0.6,0.1,715.1,,,,,,,,,
Assam,Nowgong,2010,N.A.,N.A.,45.8,168.7,205.8,226.3,162.5,362.7,161.4,105.9,6.1,3.2,N.A.,,,,,,,,,
Assam,Sibsagar,2004,47.6,66.4,82.7,232.8,300.1,344.3,386.9,290.1,236.2,181.3,7.4,0.1,2175.9,,,,,,,,,
Assam,Sibsagar,2005,38.7,61.7,159,227.8,152.7,217.3,397.8,423,62.7,101.5,11.5,0,1853.7,,,,,,,,,
Assam,Sibsagar,2006,0.2,97.9,12.5,117.5,156.9,231.7,367.6,196.2,171.3,26.4,31.1,4.4,1413.7,,,,,,,,,
Assam,Sibsagar,2007,4,38.1,14.7,203.9,99.3,281.3,403.4,293.9,359.1,24.6,23.5,6.5,1752.3,,,,,,,,,
Assam,Sibsagar,2008,16,5.6,77.9,97,193.5,327.8,356.5,293.9,190.6,108.1,4.6,0.3,1671.8,,,,,,,,,
Assam,Sibsagar,2009,7.1,28.7,26.1,122.4,88,256,280.8,396.1,309.8,105.9,23.5,0,1644.4,,,,,,,,,
Assam,Sibsagar,2010,N.A.,N.A.,60.7,317.9,303.8,267.7,417.6,347.8,432.9,159.7,28.2,0,N.A.,,,,,,,,,
Assam,Sonitpur,2004,12.2,20.3,55.6,295.8,378.9,316.1,330,318.9,256.6,186.4,1.5,5.9,2178.2,,,,,,,,,
Assam,Sonitpur,2005,18.8,27.2,87,196.9,238.1,231.1,217.9,296.9,88.2,150.7,8,0,1560.8,,,,,,,,,
Assam,Sonitpur,2006,0.2,39.9,0.9,161.4,195.5,313.1,131.5,131.2,130.8,58.3,22.1,7.1,1192.0,,,,,,,,,
Assam,Sonitpur,2007,1.1,79.7,33.8,323.2,258.5,450.2,412.7,426.3,349.9,94.2,19.5,25.6,2474.7,,,,,,,,,
Assam,Sonitpur,2008,43.1,4,64.2,231,253.7,446.7,475.1,369.1,210.5,123.5,2.4,1.2,2224.5,,,,,,,,,
Assam,Sonitpur,2009,5.4,14.6,39.4,95,244,289.1,331.2,312.3,155,108.8,31.2,7.4,1633.4,,,,,,,,,
Assam,Sonitpur,2010,N.A.,N.A.,126.9,328.8,342.6,703.4,299.2,404,220,38.7,7.3,1.1,N.A.,,,,,,,,,
Assam,Tinsukia,2004,35.5,72.4,180,263.6,419.5,306.6,617.9,302.3,366.1,176.3,2.1,16.2,2758.5,,,,,,,,,
Assam,Tinsukia,2005,55.2,183.4,331.3,217.4,236,300.1,485.4,415.4,102.2,145.3,16.7,0,2488.4,,,,,,,,,
Assam,Tinsukia,2006,0,155.5,64.6,168.2,223.5,259,390.8,324.1,274.5,83.8,19.4,15.8,1979.2,,,,,,,,,
Assam,Tinsukia,2007,3.1,99.8,22.2,241.5,191,431.5,564.7,294.1,436.9,117.4,28.1,19.9,2450.2,,,,,,,,,
Assam,Tinsukia,2008,44.2,51.3,272.3,213.1,180.5,445,491.6,521.9,151.7,79.7,7.7,7.7,2466.7,,,,,,,,,
Assam,Tinsukia,2009,31.2,31.5,46.4,158.6,118,268.3,344.2,554.2,213.8,129.9,39,1.7,1936.8,,,,,,,,,
Assam,Tinsukia,2010,N.A.,N.A.,141.7,494.2,438.2,333,461.1,263.8,358.2,86.9,39.8,27.8,N.A.,,,,,,,,,
