 Andhra Pradesh,,,,,,,,,
6,Nawada,1,Meskaur,,,,,,
7,Patna,1,Sampatchak,,,,,,
,,2,Patna Sadar,,,,,,
8,Samastipur,1,Tajpur,,,,,,
9,Vaishali,1,Hazipur,,,,,,
 Chhattisgarh  ,,,,,,,,,
1,Balod,1,Balod,,,1,Gurur,,
2,Bemetara,1, Bemetara,,,,,,
,,2,Saja,,,,,,
3,Bilaspur,1, Belha,,,,,,
,,2,Takhatpur,,,,,,
4,Dhamtari,1, Kurud,1,Dhamtari,,,,
,,2,Nagari,,,,,,
5,Durg,1, Dhamdha,,,,,,
,,2,Durg,,,,,,
,,3,Patan,,,,,,
6,Gariaband,1, Fingeshwar,,,,,,
7,Janjgir - Champa,1, Malkhroda,,,,,,
8,Kawardha,1,Kawardha,,,,,,
,,2,Pandariya,,,,,,
9,Raigarh,1, Pussore,1,Baramkela,,,,
10,Raipur,1, Dharsiwa,,,,,,
11,Rajnandgaon,1,Dongargaon,,,,,,
,,2,Rajnandgaon,,,,,,
 Delhi,,,,,,,,,
1,Central Delhi,1,Darya Ganj,,,1,Karol Bagh,,
,,2,Pahar Ganj,,,,,,
2,East Delhi,,,,,1,Preet Vihar,,
,,,,,,2,Vivek Vihar,,
3,New Delhi,,,,,1,Chanakya Puri,,
,,,,,,2,Connaught Place,,
4,North Delhi,1,Kotwali,,,,,,
,,,,,,,,,
5,North East Delhi,,,,,1,Seema Puri,,
,,,,,,2,Shahdara,,
,,,,,,3,Seelam Pur,,
6,North West Delhi,1,Narela,,,1,Model Town,,
,,2,Saraswati Vihar,,,,,,
7,South Delhi,1,Defence Colony,,,1,Hauz Khas,,
,,,,,,2,Kalkaji,,
8,South West Delhi,1,Najafgarh,,,1,Delhi Cantonment,,
,,,,,,2,Vasant Vihar,,
9,West Delhi,,,,,1,Patel Nagar,,
,,,,,,2,Rajouri Garden,,
 Gujarat,,,,,,,,,
1,Ahmedabad,1,Detroj-Rampura,1,City-Daskroi,,,1,Dhanduka
,,2,Virmagam,2,Dholka,,,,
4,Banaskantha,,,1,Palanpur,1,Deesa,1,Bhabar
,,,,,,2,Deodar,2,Vav
,,,,,,3,Dhanera,,
,,,,,,4,Kankrej,,
,,,,,,5,Tharad,,
,,,,,,6,Vadgam,,
9,Gandhinagar,,,,,1,Dahegam,,
,,,,,,2,Gandhinagar,,
,,,,,,3,Kalol,,
,,,,,,4,Mansa,,
12,Kachchh,1,Nakhatrana,1,Anjar,1,Bhachau,1,Gandhidham
,,,,2,Bhuj,2,Mandvi,,
14,Mahesana,,,1,Vadnagar,1,Bechraji,,
,,,,,,2,Kadi,,
,,,,,,3,Kheralu,,
,,,,,,4,Mahesana,,
,,,,,,5,Satlasna,,
,,,,,,6,Visnagar,,
,,,,,,7,Unjha,,
,,,,,,8,Vijapur,,
18,Patan,,,,,1,Chanasma,1,Harij
,,,,,,2,Patan,2,Sami
,,,,,,3,Siddhpur,3,Radhanpur
,,,,,,,,4,Santhalpur
19,Porbandar,1,Porbandar,,,,,,
,,,,,,,,,
20,Rajkot,,,,,,,1,Maliya
21,Sabarkantha,1,Idar,,,,,,
,,2,Prantij,,,,,,
,,3,Talod,,,,,,
,,4,Wadali,,,,,,
23,Surendranagar,,,,,,,1,Lakhtar
25,Vadodara,1,Vadodara,,,,,,
 Haryana,,,,,,,,,
1,Ambala,1,Ambala Ii,,,1,Barara,,
,,2,Shazadpur,,,2,Naraingarh,,
,,,,,,3,Saha,,
2,Panchkula,,,1,Raipur Rani,,,,
3,Fatehabad,1,Bhuna,,,1,Bhattu Kalan,,
,,, ,,,2,Fatehabad,,
,,,,,,3,Ratia,,
,,,,,,4,Tohana ,,
,,,,,,5,Jakhal,,
4,Bhiwani,, ,1,Bhawani Khera,1,Badra,,
,,,,2,Bhiwani,2,Kairu,,
,,,,3,Dadri-I,3,Loharu,,
,,,,4,Dadri-Ii,4,Behal,,
,,,,,,5,Tosham,,
5,Hissar,1,Uklana,1,Hansi-I,1,Adampur,,
,,,,2,Hansi-Ii (Bass),2,Narnaund,,
6,Gurgaon,,,1,Gurgaon,1,Farukhnagar,,
,,,,,,2,Pataudi,,
,,,,,,3,Sohna,,
7,Mewat,,,1,Punhana,1,Tauru,,
8,Faridabad,,,1,Faridabad,1,Ballabhgarh,,
9,Palwal,1,Hathin,1,Hassanpur,1,Palwal,,
,,2,Hodel,,,,,,
10,Jind,1,Julana,1,Uchana,1,Alewa,,
,,,,,,2,Jind,,
,,,,,,3,Narwana,,
,,,,,,4,Safidon,,
11,Kaithal,,,,,1,Gulha,,
,,,,,,2,Kaithal,,
,,,,,,3,Kalyat,,
,,,,,,4,Pundri,,
,,,,,,5,Rajaund,,
,,,,,,6,Siwan,,
12,Karnal,,,,,1,Assandh,,
,,,,,,2,Gharaunda,,
,,,,,,3,Karnal,,
,,,,,,4,Nilokheri,,
,,,,,,5,Nissang,,
