Andhra Pradesh,,,,
16,Model Town,895.32,868.72,0
17,Narela,5619.74,2951,696.06
18,Saraswati Vihar,2539.54,1173.65,127.13
19,Defence Colony,731.52,422.99,9.11
20,Hauz Khas,1777.18,4152.01,0
21,Kalkaji,1162.33,2092.74,0
22,Delhi Cantonment,1102.8,945.21,0
23,Najafgarh,7347.27,1203.57,356.66
24,Vasant Vihar,1107.37,2668.11,0
25,Patel Nagar,1663.06,2959.71,0
26,Panjabi Bagh,1469.09,929.17,158.95
27,Rajouri Garden,319.6,722.37,0
Goa,,,,
1,North Goa,8818,2197,5028
2,South Goa,5807,1706,3547
Gujarat ,,,,
1,Ahmedabad,55258.4,9597,10592
2,Amreli,94796.8,3532,31711.45
3,Anand,77708.48,6875,33642.28
4,Banaskantha,114273.13,7638,6622.84
5,Bharuch,44342.94,2978,23003.24
6,Bhavnagar,107751.85,7561,35455.55
7,Dang,6371.89,758,4172.39
8,Dohad,36862.09,5547,17974.49
9,Gandhinagar,41414.79,3753,0
10,Jamnagar,94841.14,6033,31051.64
11,Junagadh,138618.3,9203,44506.7
12,Kachchh,82396.68,5694,14989.28
13,Kheda,73664.47,7862,28634.37
14,Mahesana,95072.91,6476,196.02
15,Narmada,23073.5,2085,16575.9
16,Navsari,38767.51,3117,20896.91
17,Panchmahals,81922.98,7007,50266.98
18,Patan,26954.46,2495,0
19,Porbandar,19812.59,1618,4484.29
20,Rajkot,153600.33,10416,47673.23
21,Sabarkantha,132060.82,7738,36008.62
22,Surat,158030.47,8286,104021.97
23,Surendranagar,75437.99,3936,29313.99
24,Tapi,44643.44,1793,18750.53
25,Vadodara,121645.89,10566,46484.29
26,Valsad,39423,3165,19917
Haryana,,,,
1,Ambala,56306,4875,1675
2,Panchkula,14553,377,5314
3,Fatehabad,63229,414,-52943
4,Bhiwani,62121,2413.7,-43690
5,Hissar,70178,610,-8422
6,Gurgaon,23827,2100,-6335
7,Mewat,21814,2092,4705
8,Faridabad,17141,1228,1136
9,Palwal,46124,1494,-1465
10,Jhajjar,42462,221,7239
11,Jind,102178,3123,-12093
12,Kaithal,53507,8238,-68845
13,Karnal,71946,1755,-15120
14,Kurukshetra,51699,11093,-94516
15,Mahendragarh,25630,2596,1427
16,Panipat,33281,794,-20860
17,Rewari,30962,2068,1719
18,Rohtak,47795,1283,13227
19,Sirsa,63678,849,-47922
20,Sonepat,80195,2169,-8474
21,Yamunanagar,51040,6554,-14161
Himachal Pradesh,,,,
1,Indaura,10892.94,647.17,4942.65
2,Nurpur,11958.75,976.44,9505.56
3,Balh,2605.08,933.85,1557.34
4,Paonta,6219.27,1239.38,4691.1
5,Kala Amb,82.01,42.48,-8.05
6,Nalagarh,8189.74,1916.03,4661.07
7,Una,12844.41,1290.67,4503.63
8,Hum,597.45,164.32,-33.01
Jammu and Kashmir,,,,
1,Jammu,89389.24,9398.36,67897.88
2,Samba,20865.11,2175.6,17789.51
3,Kathua,45691.77,4597.19,35625.58
4,Srinagar,12352.63,9761.26,2327.37
5,Ganderbal,15972.96,3505.69,12231.77
6,Anantnag,40522.62,13460.778,27027.34
7,Kulgam,18384.43,2192.536,16157.4
8,Baramulla,51758.42,7996.1,43397.82
9,Bandipora,11740.64,2581.2,9123.44
10,Badgam,32481.82,6302.07,26118.25
11,Pulwama,32101.114,5390.95,26680.16
12,Shopian,19578.8,2299,17258.8
13,Kupwara,26407.75,9562.16,16821.59
14,Udhampur,10686.79,4199.4,6479.89
15,Reasi,5577.19,2810.76,2758.93
16,Ramban,5666.63,2873.86,2792.77
17,Rajouri,9999.71,5694.216,4069.99
18,Kishtwar,6526.18,1756.21,4769.97
19,Poonch,11158.77,4364.34,6789.92
20,Doda,8468.88,3672.09,4790.79
21,Kargil,3241.55,1064.99,2176.56
22,Leh,3449.55,1258.97,2184.59
Jharkhand,,,,
1,Bokaro,24718.48,1155,21182.98
