Country Code,Country,State Code,State,District,2004 Average,2005 Average,2006 Average,2007 Average,2008 Average,2009 Average,2010 Average,2011 Average,2012 Average,2013 Average
1,INDIA,4,ASSAM,DHEMAJI,,,,,,,,0,227.1,162.7
1,INDIA,4,ASSAM,DHUBRI,233.6,291.4,129.9,186.6,164.2,151.8,211,149.5,227.6,126.1
1,INDIA,4,ASSAM,DIBRUGARH,220.1,172.4,187.9,198.1,204,181.9,219.5,155.3,198.5,196.1
1,INDIA,4,ASSAM,GOALPARA,236.7,234.2,161.9,195.3,229.7,181.1,226.6,135.9,169.8,167.6
1,INDIA,4,ASSAM,GOLAGHAT,155.9,118.8,104.6,113,112.6,102.7,170.4,128.8,120.9,115.8
1,INDIA,4,ASSAM,HAILAKANDI,218.1,222.5,183.5,239.7,191.7,91.4,167.3,102.3,155.5,166.1
1,INDIA,4,ASSAM,JORHAT,176,134.7,126,152.3,148.2,115,207.5,148.1,130.6,158.8
1,INDIA,4,ASSAM,KAMRUP,156,144.8,99.1,157.4,133.3,120,212.2,112.5,157.7,119
1,INDIA,4,ASSAM,KARBI ANALOG,126.9,93.6,77.1,111.6,98.8,72.7,94.4,70.3,85.9,104.4
1,INDIA,4,ASSAM,KARIMGANJ,377.6,342.2,270.4,289.3,127.1,191.4,302,157.5,234.3,194.8
1,INDIA,4,ASSAM,KOKRAJHAR,386.3,307.1,200.5,269.9,319.7,237.4,372.4,222.9,317.1,239.9
1,INDIA,4,ASSAM,LAKHIMPUR,264.9,234.7,239.7,270.5,224.4,197.1,326.8,236.4,227.9,197.1
1,INDIA,4,ASSAM,MORIGAON,139.1,119.1,110.1,136.5,151.1,108,180.1,104.3,118.1,130.4
1,INDIA,4,ASSAM,N.C HILLS,,,,188,,0,122.4,81.4,251.1,132.6
1,INDIA,4,ASSAM,NALBARI,210.6,198.8,126.6,193.4,182.9,127.5,241,125.8,185.4,127.1
1,INDIA,4,ASSAM,NAGAON,106.6,84.9,89.1,139.8,112.8,59.6,144.8,94,103.8,
1,INDIA,4,ASSAM,SIBSAGAR,181.3,154.5,117.8,146,139.3,137,233.6,135,138.5,145.5
1,INDIA,4,ASSAM,SONITPUR,181.5,130.1,99.3,206.2,185.4,136.1,247.2,141.9,171.4,
1,INDIA,4,ASSAM,TINSUKIA,229.9,207.4,164.9,204.2,205.6,161.4,264.5,148.2,222,177.1
1,INDIA,4,ASSAM,UDALGURI,,,,,,,,98.8,227.7,160.8
1,INDIA,5,BIHAR,ARARIYA,175.7,115.3,118.5,176.2,243,115.4,121.4,155.1,94.9,166.1
1,INDIA,5,BIHAR,ARWAL,,,,,,,,103.4,71.4,83.3
1,INDIA,5,BIHAR,AURANGABAD,77.4,55.7,140.8,271.5,171.6,206.5,47.5,83.4,92.3,62.5
1,INDIA,5,BIHAR,BANKA,,,,,,,,89.9,53.9,158
1,INDIA,5,BIHAR,BEGUSARAI,84.4,73,102.1,93.9,,110,116.7,115.1,64.7,75.5
1,INDIA,5,BIHAR,BHABUA,125.5,74.3,,,,80.9,52.3,103.3,90.5,105.3
1,INDIA,5,BIHAR,BHAGALPUR,104.3,99.3,108.8,136.3,92.5,124.9,63.8,105.4,64.4,107.9
1,INDIA,5,BIHAR,BHOJPUR,56,70.7,93.9,209.7,200.2,80.6,114.3,92.1,108.4,132.9
1,INDIA,5,BIHAR,BUXAR,75.5,125.6,96.3,158.4,222.8,135,100.4,78.4,29.9,89.7
1,INDIA,5,BIHAR,DRABHANGA,89.3,72,189.7,241.9,189.5,140.7,157.7,114.8,105.6,112.1
1,INDIA,5,BIHAR,GAYA,76.9,51.7,93,86.4,92.5,72.8,56.9,105,87.9,59.8
1,INDIA,5,BIHAR,GOPALGANJ,60,48.1,,165.8,246.1,127.4,80.3,76,79.4,73.2
1,INDIA,5,BIHAR,JAMUI,,,,,,183,101.8,74.1,48.5,85.3
1,INDIA,5,BIHAR,JAHANABAD,,,,,315.6,73.1,50.2,93.3,70.9,62.9
1,INDIA,5,BIHAR,KATIHAR,119.7,188.1,174.1,175.1,172.1,127,61.6,80.5,73.7,112
1,INDIA,5,BIHAR,KHAGARIA,80.6,164.8,156.4,212.8,255.9,148.7,68.9,76.6,70.1,77.3
1,INDIA,5,BIHAR,KISHANGANJ,152.6,191.7,146.9,72,583.8,125.1,209,196.9,185.4,240
1,INDIA,5,BIHAR,LAKHISARAI,,,,,,,,82,64.3,50.6
1,INDIA,5,BIHAR,MADHEPURA,110.1,22,,41.3,,154.2,68.3,91.3,73.5,118.9
1,INDIA,5,BIHAR,MADUBANI,108.4,118.7,121,312.6,164.6,173.6,57.5,100.5,63.8,111.7
1,INDIA,5,BIHAR,MUNGER,90.9,109.8,98.7,315.2,305,243.8,210.2,51.5,92.1,81.8
1,INDIA,5,BIHAR,MUZAFFARPUR,111.3,84,102.7,218.7,152.5,82.2,69.8,115.4,84.8,76.5
1,INDIA,5,BIHAR,NALANDA,44.6,67.6,5.7,,,110.7,61,121,88.5,76.3
1,INDIA,5,BIHAR,NAWADA,,,,,,,,70.2,47.3,56.7
1,INDIA,5,BIHAR,PACHIM CHAMPARAN,87.3,146,230.4,375.7,273.3,239.6,222.8,125.4,120.6,114.6
1,INDIA,5,BIHAR,PATNA,68.2,77.7,85,146.8,138.9,68.6,64.3,96.8,77.7,76.5
1,INDIA,5,BIHAR,PURBA CHAMPARAN,118.8,108.8,80.4,233.3,175.6,99.5,106.6,116.6,84.5,96.4
1,INDIA,5,BIHAR,PURNIA,163,157.7,120,157.9,170.2,148.5,174.3,191.9,70.5,120.1
1,INDIA,5,BIHAR,ROHTAS,57.4,59.3,87.6,83.3,88.6,89.2,60.9,88.9,84.7,81.9
1,INDIA,5,BIHAR,SAHARSA,263.3,168.6,194.7,269.2,212.3,155.4,186.9,123.7,82,99.1
1,INDIA,5,BIHAR,SAMASTIPUR,64.2,79.9,172.9,229.6,155.5,131.3,55.9,98.6,50,62.2
1,INDIA,5,BIHAR,SARAN,43.5,20.3,66.2,101.1,152.6,76.9,66.7,100.9,70.5,76.8
1,INDIA,5,BIHAR,SHEIKHPURA,,,,,,,,58.7,72.3,49.8
1,INDIA,5,BIHAR,SHEOHAR,,,,,,,,110.3,77.5,71.2
1,INDIA,5,BIHAR,SITAMARHI,160.2,149.9,178.8,281.6,294.9,133.9,108.7,164.7,92,64.2
1,INDIA,5,BIHAR,SIWAN,67.4,110.4,104.5,243.6,237.3,79.4,172.8,73.9,115,152
1,INDIA,5,BIHAR,SUPAUL,131.3,42.7,,16.7,22.1,83.7,89.4,107.6,74.1,107.6
1,INDIA,5,BIHAR,VAISHALI,,,91.5,172,150.7,53,52,89.2,78.3,58.2
1,INDIA,6,CHANDIGARH,CHANDIGARH,103.6,84.7,62.7,81,102,72.8,101.2,,,
1,INDIA,7,CHHATTISGARH,BASTAR,137,118.3,142.5,104.9,116.5,86.5,135.3,96.7,128.5,119.5
1,INDIA,7,CHHATTISGARH,BIJAPUR,,,,,,,,99.4,166,231.3
1,INDIA,7,CHHATTISGARH,BILASPUR,106,123,91,105.8,87.2,71.2,81.2,107.5,112.5,120.8
1,INDIA,7,CHHATTISGARH,DANTEWARA,154.3,98.1,115.1,140.5,100.5,59.1,135.9,101.6,159.4,
1,INDIA,7,CHHATTISGARH,DHAMTARI,76.3,91.7,110,83.9,75.1,92.7,100.9,91.9,91,121.8
1,INDIA,7,CHHATTISGARH,DURG,83.2,110.4,73.9,89,75.4,66.2,95.8,106.9,91,130.7
1,INDIA,7,CHHATTISGARH,JANJGIR_CHAMPA,87.6,101.4,100.3,116.3,117,72.8,101,110,121.5,102.1
1,INDIA,7,CHHATTISGARH,JASHPUR,110.7,116.2,69.7,102.8,117.7,88.7,94.5,154.9,112.6,83.6
1,INDIA,7,CHHATTISGARH,KANKER,86.5,113.2,131,103,54.3,72.4,123.4,101,115.2,135.2
1,INDIA,7,CHHATTISGARH,KAWARDHA,85.2,107.4,85.9,54.5,57.9,51,102.1,85.7,86.4,89.5
1,INDIA,7,CHHATTISGARH,KORBA,113,123.5,62.6,71.4,102.8,68.5,91.1,124.2,117.5,101.6
1,INDIA,7,CHHATTISGARH,KOREA,80.4,96.1,102.1,109.9,83.2,68.1,58.5,150.7,121,133.9
1,INDIA,7,CHHATTISGARH,MAHASAMUND,101.9,114.9,115.3,97.9,78.7,99.2,94.2,108.2,126.5,125.9
1,INDIA,7,CHHATTISGARH,NARAYANPUR,,,,,,,,93.3,123,131.4
1,INDIA,7,CHHATTISGARH,RAIGARH,87.5,103.9,90.8,107.6,126.2,81.5,82.4,107.4,103.1,101.8
