Country Code,Country,State Code,State,District,Annual Replenishable Ground Water Resource,Projected demand for Domestic and Industrial uses upto 2025,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)
1,India,29,Rajasthan,BUNDI,42265,3472,5328,100
1,India,29,Rajasthan,CHITTAURGARH,35276,1379,0,140
1,India,29,Rajasthan,CHURU,14101,4398,3096,88
1,India,29,Rajasthan,DAUSA,26373,2487,0,170
1,India,29,Rajasthan,DHAULPUR,28312,2576,1596,128
1,India,29,Rajasthan,DUNGARPUR,14103,4416,0,72
1,India,29,Rajasthan,GANGANAGAR,40798,1033,20068,44
1,India,29,Rajasthan,HANUMANGARH,22649,1107,3561,81
1,India,29,Rajasthan,JAIPUR,71238,25733,979,207
1,India,29,Rajasthan,JAISALMER,6792,2961,1874,199
1,India,29,Rajasthan,JALORE,46285,4191,969,194
1,India,29,Rajasthan,JHALAWAR,44171,1940,479,119
1,India,29,Rajasthan,JHUNJHUNU,26350,8604,330,226
1,India,29,Rajasthan,JODHPUR,42952,11303,4761,216
1,India,29,Rajasthan,KARAULI,37313,4984,1239,137
1,India,29,Rajasthan,KOTA,56689,6251,7776,92
1,India,29,Rajasthan,NAGAUR,58075,18953,4120,189
1,India,29,Rajasthan,PALI,32859,3048,959,115
1,India,29,Rajasthan,PRATAPGARH,15521,982,399,124
1,India,29,Rajasthan,RAJSAMAND,11873,1525,63,110
1,India,29,Rajasthan,SAWAI MADHOPUR,39636,8375,209,126
1,India,29,Rajasthan,SIKAR,32148,6238,972,147
1,India,29,Rajasthan,SIROHI,30338,1484,1126,113
1,India,29,Rajasthan,TONK,48353,9104,1841,99
1,India,29,Rajasthan,UDAIPUR,28685,3946,450,103
1,India,30,Sikkim,North,,67,142,38
1,India,30,Sikkim,South,,247,1001,22
1,India,30,Sikkim,East,,489,216,61
1,India,30,Sikkim,West,,219,1763,13
1,India,31,Tamil Nadu,Ariyalur,34996,2506,15198,51
1,India,31,Tamil Nadu,Chennai,3007,6961,-4255,226
1,India,31,Tamil Nadu,Coimbatore,48757,5338,-6376,115
1,India,31,Tamil Nadu,Cuddalore,137454,57188,16619,86
1,India,31,Tamil Nadu,Dharmapuri,41760,2191,-12406,132
1,India,31,Tamil Nadu,Dindigul,59617,2745,-10356,119
1,India,31,Tamil Nadu,Erode,77336,6986,3961,94
1,India,31,Tamil Nadu,Kancheepuram,117250,8940,32746,66
1,India,31,Tamil Nadu,Kanyakumari,33829,1623,24566,19
1,India,31,Tamil Nadu,Karur,35914,2207,2194,92
1,India,31,Tamil Nadu,Krishnagiri,39437,2782,-12478,133
1,India,31,Tamil Nadu,Madurai,73186,1836,27620,58
1,India,31,Tamil Nadu,Nagapattinam,17684,1274,-525,102
1,India,31,Tamil Nadu,Namakkal,54637,1915,5695,89
1,India,31,Tamil Nadu,Nilgiris,13216,625,10724,10
1,India,31,Tamil Nadu,Perambalur,23069,1118,-7408,135
1,India,31,Tamil Nadu,Pudukkottai,159009,2427,111542,22
1,India,31,Tamil Nadu,Ramanathapuram,75854,3540,59872,12
1,India,31,Tamil Nadu,Salem,58174,2866,-31037,164
1,India,31,Tamil Nadu,Sivaganga,109543,1782,82687,16
1,India,31,Tamil Nadu,Thanjavur,87673,2752,-3358,104
1,India,31,Tamil Nadu,Theni,39686,2104,4809,86
1,India,31,Tamil Nadu,Tiruvallur,80933,21133,22902,68
1,India,31,Tamil Nadu,Thoothukudi,60507,4565,30385,43
1,India,31,Tamil Nadu,Tirunelveli,98702,3262,36849,58
1,India,31,Tamil Nadu,Tiruppur,49250,3676,-11799,127
1,India,31,Tamil Nadu,Tiruvarur,33311,1527,8376,71
1,India,31,Tamil Nadu,Tirvannamalai,121482,4972,16369,85
1,India,31,Tamil Nadu,Trichy,80622,2727,20056,79
1,India,31,Tamil Nadu,Vellore,65867,9304,-3857,105
1,India,31,Tamil Nadu,Villupuram,166475,6453,-4869,103
1,India,31,Tamil Nadu,Virudhunagar,55021,2481,14802,69
1,India,33,Tripura,WEST TRIPURA,95781,8463,72100,12
1,India,33,Tripura,SOUTH TRIPURA,75840,5622,61211,5
1,India,33,Tripura,NORTH TRIPURA,45653,4073,37792,4
1,India,33,Tripura,DHALAI,41390,1800,35421,2
1,India,35,Uttar Pradesh,AGRA,90549,9317,5192,114
1,India,35,Uttar Pradesh,ALIGARH,95916,9842,12409,82
1,India,35,Uttar Pradesh,ALLAHABAD,123848,15587,21956,81
1,India,35,Uttar Pradesh,AMBEDKAR NAGAR,108410,7932,41479,57
1,India,35,Uttar Pradesh,Amethi,111360,8841,28220,68
1,India,35,Uttar Pradesh,Amroha (J P Nagar),73944,5033,4314,108
1,India,35,Uttar Pradesh,AURAIYA,67624,3954,18817,69
1,India,35,Uttar Pradesh,AZAMGARH,139854,23148,37525,65
1,India,35,Uttar Pradesh,BAGHPAT,49050,3598,934,98
1,India,35,Uttar Pradesh,BAHRAICH,117793,12951,42159,55
1,India,35,Uttar Pradesh,BALLIA,93634,10707,26062,66
1,India,35,Uttar Pradesh,BALRAMPUR,89359,5583,41232,50
1,India,35,Uttar Pradesh,BANDA,71491,3926,29526,55
1,India,35,Uttar Pradesh,BARABANKI,218560,10714,70599,64
1,India,35,Uttar Pradesh,BAREILLY,190467,10476,66853,60
1,India,35,Uttar Pradesh,BASTI,110557,7291,19209,79
1,India,35,Uttar Pradesh,BIJNOR,150124,9402,45971,67
1,India,35,Uttar Pradesh,BUDAUN,122415,8359,17042,85
1,India,35,Uttar Pradesh,BULANDSHAHR,167331,8403,26314,82
1,India,35,Uttar Pradesh,CHANDAULI,75441,8868,39848,38
1,India,35,Uttar Pradesh,CHITRAKOOT,26490,4206,7586,66
1,India,35,Uttar Pradesh,DEORIA,106500,10006,19652,78
1,India,35,Uttar Pradesh,ETAH,71331,5638,6878,88
1,India,35,Uttar Pradesh,ETAWAH,77814,3276,39175,46
1,India,35,Uttar Pradesh,FAIZABAD,80778,4731,26568,62
1,India,35,Uttar Pradesh,FARRUKHABAD,65151,5225,10647,80
1,India,35,Uttar Pradesh,FATEHPUR,119784,9581,4085,95
1,India,35,Uttar Pradesh,FIROZABAD,80390,7144,5266,117
1,India,35,Uttar Pradesh,GAUTAM BUDDHA NAGAR,50911,3134,3944,93
1,India,35,Uttar Pradesh,GHAZIABAD,31596,12456,2452,105
1,India,35,Uttar Pradesh,GHAZIPUR,132624,12708,34970,68
1,India,35,Uttar Pradesh,GONDA,123187,9582,31618,71
1,India,35,Uttar Pradesh,GORAKHPUR,185533,13661,73632,55
1,India,35,Uttar Pradesh,HAMIRPUR,56788,4944,16732,64
1,India,35,Uttar Pradesh,Hapur,44488,3645,5045,89
1,India,35,Uttar Pradesh,HARDOI,190921,11907,52767,69
1,India,35,Uttar Pradesh,HATHRAS,62522,3871,10278,85
1,India,35,Uttar Pradesh,JALAUN,194862,6333,130211,29
1,India,35,Uttar Pradesh,JAUNPUR,136123,15990,14904,89
1,India,35,Uttar Pradesh,JHANSI,64522,4380,19012,68
1,India,35,Uttar Pradesh,KANNAUJ,68057,4635,24210,67
1,India,35,Uttar Pradesh,KANPUR DEHAT,91458,5565,26139,68
1,India,35,Uttar Pradesh,KANPUR NAGAR,82934,24734,0,85
1,India,35,Uttar Pradesh,Kasganj,63898,4206,4026,100
1,India,35,Uttar Pradesh,KAUSHAMBI,55494,5051,6575,91
1,India,35,Uttar Pradesh,KUSHINAGAR,175257,14300,81120,47
1,India,35,Uttar Pradesh,Lakhimpur Kheri,299568,15233,100160,62
1,India,35,Uttar Pradesh,LALITPUR,51709,3512,18397,62
1,India,35,Uttar Pradesh,LUCKNOW,67700,8375,16062,69
1,India,35,Uttar Pradesh,MAHRAJGANJ,118066,10069,38516,62
1,India,35,Uttar Pradesh,MAHOBA,17965,2675,23,112
1,India,35,Uttar Pradesh,MAINPURI,100084,5280,14890,86
1,India,35,Uttar Pradesh,MATHURA,116457,6190,22239,92
1,India,35,Uttar Pradesh,Maunath Bhanjan,50838,7289,11372,70
1,India,35,Uttar Pradesh,MEERUT,126513,4636,33560,70
1,India,35,Uttar Pradesh,MIRZAPUR,63354,10388,16889,62
1,India,35,Uttar Pradesh,MORADABAD,90941,7744,13956,85
1,India,35,Uttar Pradesh,MUZAFFARNAGAR,108357,7644,36019,66
1,India,35,Uttar Pradesh,PILIBHIT,136382,6034,41768,65
1,India,35,Uttar Pradesh,PRATAPGARH,122422,44922,28204,141
1,India,35,Uttar Pradesh,RAE BARELI,89852,8313,19857,73
1,India,35,Uttar Pradesh,RAMPUR,77840,7026,7053,107
1,India,35,Uttar Pradesh,SAHARANPUR,146365,8804,0,133
1,India,35,Uttar Pradesh,Sambhal,71103,6459,1718,109
1,India,35,Uttar Pradesh,SANT KABIR NAGAR,77885,5628,21183,67
1,India,35,Uttar Pradesh,SANT RAVIDAS NAGAR,44413,6390,473,93
1,India,35,Uttar Pradesh,SHAHJAHANPUR,150562,7772,53147,59
1,India,35,Uttar Pradesh,Shamli,47063,3841,447,140
1,India,35,Uttar Pradesh,SHRAWASTI,45234,4315,10419,70
1,India,35,Uttar Pradesh,SIDDHARTHNAGAR,160120,9986,47705,64
1,India,35,Uttar Pradesh,SITAPUR,246350,14167,64580,70
1,India,35,Uttar Pradesh,SONBHADRA,23153,6706,6780,43
1,India,35,Uttar Pradesh,SULTANPUR,115081,9222,24526,73
1,India,35,Uttar Pradesh,UNNAO,192486,10001,57054,65
1,India,35,Uttar Pradesh,VARANASI,53994,11852,3402,86
1,India,34,Uttaranchal,Dehradun,36614,4061,28105,12
1,India,34,Uttaranchal,Hardwar,74177,2294,30705,56
1,India,34,Uttaranchal,Nainital,10418,241,5731,43
1,India,34,Uttaranchal,Udham Singh Nagar,82825,2747,15326,79
1,India,36,West Bengal,MALDAH,153766,9423,81140,40
1,India,36,West Bengal,NADIA,208627,10348,12654,92
1,India,36,West Bengal,KOCHBIHAR,274778,5827,203752,17
1,India,36,West Bengal,NORTH 24 PARGANAS,162530,18559,50951,62
1,India,36,West Bengal,SOUTH DINAJPUR,115049,3276,55015,46
1,India,36,West Bengal,NORTH DINAJPUR,185131,7237,89853,46
1,India,36,West Bengal,BANKURA,169305,7181,89560,40
1,India,36,West Bengal,PURULIYA,72569,6220,58281,9
1,India,36,West Bengal,JALPAIGURI,281830,5751,240764,4
1,India,36,West Bengal,BARDDHAMAN,282601,15393,160154,36
1,India,36,West Bengal,MURSHIDABAD,242107,16623,40114,79
1,India,36,West Bengal,BIRBHUM,118728,7537,67846,34
1,India,36,West Bengal,HAORA,28254,5507,16307,25
1,India,36,West Bengal,DARJILING,49573,1956,41861,5
1,India,36,West Bengal,HUGLI,146888,10471,69674,45
1,India,36,West Bengal,WEST MEDINIPUR,352767,12536,212193,32
1,India,36,West Bengal,EAST MEDINIPUR,80606,4216,48102,32
1,India,1,Andaman and Nicobar Island,Andaman Nicobar,30804,1375,27209,4.44
1,India,6,Chandigarh,CHANDIGARH,2156,,,0
1,India,8,Dadra And Nagar Haveli,Dadra And Nagar Haveli,6216,997,4185,22
1,India,9,Daman and Diu,Daman,1259,235,23,89
1,India,9,Daman and Diu,Diu,550,80,0,117
1,India,19,Lakshadweep,Agatti,108,,,78
1,India,19,Lakshadweep,Amini,103,,,82
1,India,19,Lakshadweep,Androth,193,,,66
1,India,19,Lakshadweep,Chetlat,41,,,63
1,India,19,Lakshadweep,Kadmat,124,,,48
1,India,19,Lakshadweep,Kalpeni,91,,,54
1,India,19,Lakshadweep,Kiltan,65,,,67
1,India,19,Lakshadweep,Kavaratti,144,,,85
1,India,19,Lakshadweep,Minicoy,186,,,59
1,India,27,Pondicherry,Pondicherry,11398,2732,,139
1,India,27,Pondicherry,Karaikal,7258,353,5642,14
1,India,27,Pondicherry,Mahe,270,154,89,62
1,India,27,Pondicherry,Yanam,,,,
