Country Code,Country,State Code,State,District,Annual Replenishable Ground Water Resource,Projected demand for Domestic and Industrial uses upto 2025,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)
1,India,5,Bihar,SIWAN,83349,7402,28724,59
1,India,5,Bihar,SUPAUL,82032,5391,45608,36
1,India,5,Bihar,VAISHALI,78027,7421,28687,57
1,India,5,Bihar,West Champaran,157955,9275,101339,27
1,India,7,Chhattisgarh,BASTAR,99098,4121,80508,13
1,India,7,Chhattisgarh,Bijapur,81905,750,76276,2
1,India,7,Chhattisgarh,BILASPUR,64175,6048,30530,47
1,India,7,Chhattisgarh,Dantewara,53793,1468,46674,6
1,India,7,Chhattisgarh,DHAMTARI,49942,3679,9254,78
1,India,7,Chhattisgarh,DURG,89707,8890,24472,69
1,India,7,Chhattisgarh,JANJGIR - CHAMPA,39244,4371,20459,42
1,India,7,Chhattisgarh,JASHPUR,50283,2263,30548,35
1,India,7,Chhattisgarh,KANKER,90510,2104,66978,21
1,India,7,Chhattisgarh,KAWARDHA,36589,2184,11224,66
1,India,7,Chhattisgarh,KORBA,49107,5676,30945,32
1,India,7,Chhattisgarh,KORIYA,54264,1960,39000,23
1,India,7,Chhattisgarh,MAHASAMUND,63413,5066,30518,47
1,India,7,Chhattisgarh,Narayanpur,30292,640,27738,3
1,India,7,Chhattisgarh,RAIGARH,43164,4616,18087,53
1,India,7,Chhattisgarh,RAIPUR,125934,11065,64634,43
1,India,7,Chhattisgarh,RAJNANDGAON,46592,3478,18084,58
1,India,7,Chhattisgarh,SURGUJA,173514,7509,118049,27
1,India,10,Delhi,Central,385,346,34,333
1,India,10,Delhi,East,1283,1421,3,487
1,India,10,Delhi,New Delhi,798,160,24,266
1,India,10,Delhi,North,1556,906,401,290
1,India,10,Delhi,North East,1255,1135,0,509
1,India,10,Delhi,North West,8631,5954,872,420
1,India,10,Delhi,South,4581,6399,0,564
1,India,10,Delhi,South West,9752,6109,0,509
1,India,10,Delhi,West,2811,3762,0,554
1,India,11,Goa,NORTH GOA,14257,2166,5610,30
1,India,11,Goa,SOUTH GOA,9982,1682,4079,26
1,India,12,Gujarat,Ahmedabad,61686,9597,12740,78
1,India,12,Gujarat,Amreli,80836,3532,26488,64
1,India,12,Gujarat,Anand,78879,6875,33576,52
1,India,12,Gujarat,Banaskantha,115525,7638,5917,107
1,India,12,Gujarat,Bharuch,40916,2978,19710,47
1,India,12,Gujarat,Bhavnagar,94280,7561,30271,64
1,India,12,Gujarat,Dang,9103,758,6988,17
1,India,12,Gujarat,Dohad,37254,5547,16588,50
1,India,12,Gujarat,Gandhinagar,48838,4257,0,120
1,India,12,Gujarat,Jamnagar,90014,6033,29068,64
1,India,12,Gujarat,Junagadh,137228,9203,47807,62
